Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_IST,Remaining,lat,lon
,Spain,04/27/2020 14:50,226629,23190,117727,2020-04-27 14:50:00,85712,39.3262345,-4.838064900000001
,Italy,04/27/2020 14:50,197675,26644,64928,2020-04-27 14:50:00,106103,45.6209,9.768892999999998
,France,04/27/2020 14:50,162100,22856,44903,2020-04-27 14:50:00,94341,46.603353999999996,1.8883334999999999
,Germany,04/27/2020 14:50,157770,5976,114500,2020-04-27 14:50:00,37294,51.0834196,10.4234469
,UK,04/27/2020 14:50,152840,20732,344,2020-04-27 14:50:00,131764,54.70235450000001,-3.2765752999999997
,Turkey,04/27/2020 14:50,110130,2805,29140,2020-04-27 14:50:00,78185,38.959759399999996,34.9249653
,Iran,04/27/2020 14:50,90481,5710,69657,2020-04-27 14:50:00,15114,32.6475314,54.56435160000001
,Russia,04/27/2020 14:50,87147,794,7346,2020-04-27 14:50:00,79007,64.6863136,97.7453061
,Brazil,04/27/2020 14:50,63100,4286,30152,2020-04-27 14:50:00,28662,-10.333333300000001,-53.2
,Canada,04/27/2020 14:50,46895,2560,17321,2020-04-27 14:50:00,27014,61.0666922,-107.9917071
Brussels,Belgium,04/27/2020 14:50,46687,7207,10878,2020-04-27 14:50:00,28602,50.8436709,4.3674367
,Netherlands,04/27/2020 14:50,37845,4475,250,2020-04-27 14:50:00,33120,52.500169799999995,5.7480820999999995
,Switzerland,04/27/2020 14:50,29061,1610,21800,2020-04-27 14:50:00,5651,46.7985624,8.231973599999998
,Peru,04/27/2020 14:50,27517,728,8088,2020-04-27 14:50:00,18701,-6.8699697,-75.0458515
,Portugal,04/27/2020 14:50,23864,903,1329,2020-04-27 14:50:00,21632,40.0332629,-7.889626299999999
,Ecuador,04/27/2020 14:50,22719,576,1366,2020-04-27 14:50:00,20777,-1.3397668,-79.3666965
,Ireland,04/27/2020 14:50,19262,1087,9233,2020-04-27 14:50:00,8942,52.865196,-7.9794599
,Sweden,04/27/2020 14:50,18640,2194,1005,2020-04-27 14:50:00,15441,59.67497120000001,14.5208584
,Saudi Arabia,04/27/2020 14:50,17522,139,2357,2020-04-27 14:50:00,15026,25.62426180000001,42.352832799999995
,Israel,04/27/2020 14:50,15466,202,6796,2020-04-27 14:50:00,8468,31.531311300000002,34.8667654
,Austria,04/27/2020 14:50,15274,549,12362,2020-04-27 14:50:00,2363,47.2000338,13.199959
,Mexico,04/27/2020 14:50,14677,1351,8354,2020-04-27 14:50:00,4972,19.4326296,-99.1331785
,Singapore,04/27/2020 14:50,14423,12,1060,2020-04-27 14:50:00,13351,1.340863,103.8303918
,Japan,04/27/2020 14:50,13441,372,1809,2020-04-27 14:50:00,11260,36.5748441,139.2394179
,Chile,04/27/2020 14:50,13331,189,7024,2020-04-27 14:50:00,6118,-31.7613365,-71.3187697
,Pakistan,04/27/2020 14:50,13328,281,3029,2020-04-27 14:50:00,10018,30.3308401,71.247499
,Poland,04/27/2020 14:50,11761,539,2466,2020-04-27 14:50:00,8756,52.215933,19.134422
,Romania,04/27/2020 14:50,11036,628,3054,2020-04-27 14:50:00,7354,45.98521289999999,24.6859225
