Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
933,112,30,791,2020-04-18 15:07:00,,2020-04-18,27
906,99,30,777,2020-04-17 22:01:00,,2020-04-17,66
840,54,30,756,2020-04-16 21:38:00,,2020-04-16,56
784,43,25,716,2020-04-15 20:35:00,,2020-04-15,70
714,40,23,651,2020-04-14 23:37:00,,2020-04-14,49
665,32,21,612,2020-04-13 21:50:00,,2020-04-13,58
607,32,18,557,2020-04-12 21:08:00,,2020-04-12,52
555,32,18,505,2020-04-11 07:00:00,,2020-04-11,34
521,32,15,474,2020-04-10 22:00:00,,2020-04-10,37
484,32,15,437,2020-04-09 22:00:00,,2020-04-09,40
444,29,14,401,2020-04-08 23:00:00,,2020-04-08,21
423,18,14,391,2020-04-07 23:00:00,,2020-04-07,56
367,18,11,338,2020-04-06 23:00:00,,2020-04-06,18
349,15,7,327,2020-04-05 23:00:00,,2020-04-05,50
299,10,7,282,2020-04-04 23:50:00,,2020-04-04,18
281,10,6,265,2020-04-03 23:30:00,,2020-04-03,8
273,10,6,257,2020-04-02 23:30:00,,2020-04-02,36
237,5,4,228,2020-04-01 23:00:00,,2020-04-01,63
174,5,4,165,2020-03-31 23:30:00,,2020-03-31,4
170,2,4,164,2020-03-30 22:30:00,,2020-03-30,50
120,2,4,114,2020-03-29 23:10:00,,2020-03-29,10
110,2,4,104,2020-03-28 23:30:00,,2020-03-28,0
110,2,4,104,2020-03-27 23:30:00,,2020-03-27,16
94,2,4,88,2020-03-26 22:40:00,,2020-03-26,10
84,2,2,80,2020-03-25 22:00:00,,2020-03-25,10
74,1,1,72,2020-03-24 22:30:00,,2020-03-24,32
42,1,1,40,2020-03-23 23:40:00,,2020-03-23,2
40,1,1,38,2020-03-22 22:30:00,,2020-03-22,16
24,1,0,23,2020-03-21 23:30:00,,2020-03-21,0
24,1,0,23,2020-03-20 22:45:00,,2020-03-20,2
22,1,0,21,2020-03-19 23:30:00,,2020-03-19,0
22,1,0,21,2020-03-18 23:30:00,,2020-03-18,0
22,1,0,21,2020-03-17 22:30:00,,2020-03-17,1
21,1,0,20,2020-03-16 22:00:00,,2020-03-16,5
16,1,0,15,2020-03-15 23:30:00,,2020-03-15,5
11,0,0,11,2020-03-14 22:30:00,,2020-03-14,4
7,0,0,7,2020-03-13 22:00:00,,2020-03-13,0
7,0,0,7,2020-03-12 22:00:00,,2020-03-12,0
7,0,0,7,2020-03-11 22:30:00,,2020-03-11,2
5,0,0,5,2020-03-10 23:00:00,,2020-03-10,1
4,0,0,4,2020-03-09 22:30:00,,2020-03-09,0
4,0,0,4,2020-03-08 22:00:00,,2020-03-08,3
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,,2020-02-28,0
1,0,0,1,2020-02-27 22:00:00,,2020-02-27,0
1,0,0,1,2020-02-26 23:30:00,,2020-02-26,0
1,0,0,1,2020-02-25 22:00:00,,2020-02-25,0
1,0,0,1,2020-02-24 23:00:00,,2020-02-24,0
