Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
2534,894,367,1273,2020-04-19 00:12:00,,2020-04-19,116
2418,846,364,1208,2020-04-18 15:07:00,,2020-04-18,0
2418,846,364,1208,2020-04-17 22:01:00,,2020-04-17,258
2160,708,336,1116,2020-04-16 21:38:00,,2020-04-16,90
2070,691,326,1053,2020-04-15 20:35:00,,2020-04-15,0
2070,691,326,1053,2020-04-14 23:37:00,,2020-04-14,156
1914,591,293,1030,2020-04-13 21:50:00,,2020-04-13,89
1825,460,275,1090,2020-04-12 21:08:00,,2020-04-12,64
1761,405,256,1100,2020-04-11 07:00:00,,2020-04-11,0
1761,405,256,1100,2020-04-10 22:00:00,,2020-04-10,95
1666,347,235,1084,2020-04-09 22:00:00,,2020-04-09,94
1572,237,205,1130,2020-04-08 23:00:00,,2020-04-08,104
1468,113,193,1162,2020-04-07 23:00:00,,2020-04-07,45
1423,90,173,1160,2020-04-06 23:00:00,,2020-04-06,103
1320,90,152,1078,2020-04-05 23:00:00,,2020-04-05,69
1251,90,130,1031,2020-04-04 23:50:00,,2020-04-04,80
1171,62,105,1004,2020-04-03 23:30:00,,2020-04-03,185
986,61,86,839,2020-04-02 23:30:00,,2020-04-02,139
847,61,58,728,2020-04-01 23:00:00,,2020-04-01,131
716,46,44,626,2020-03-31 23:30:00,,2020-03-31,132
584,37,35,512,2020-03-30 22:30:00,,2020-03-30,73
511,31,31,449,2020-03-29 23:10:00,,2020-03-29,57
454,31,29,394,2020-03-28 23:30:00,,2020-03-28,45
409,29,26,354,2020-03-27 23:30:00,,2020-03-27,42
367,29,25,313,2020-03-26 22:40:00,,2020-03-26,65
302,65,21,216,2020-03-25 22:00:00,,2020-03-25,38
264,24,19,221,2020-03-24 22:30:00,,2020-03-24,34
230,65,17,148,2020-03-23 23:40:00,,2020-03-23,29
201,65,17,119,2020-03-22 22:30:00,,2020-03-22,62
139,65,15,59,2020-03-21 23:30:00,,2020-03-21,45
94,32,11,51,2020-03-20 22:45:00,,2020-03-20,4
90,32,9,49,2020-03-19 23:30:00,,2020-03-19,15
75,32,7,36,2020-03-18 23:30:00,,2020-03-18,14
61,10,5,46,2020-03-17 22:30:00,,2020-03-17,1
60,10,4,46,2020-03-16 22:00:00,,2020-03-16,6
54,10,4,40,2020-03-15 23:30:00,,2020-03-15,15
39,10,3,26,2020-03-14 22:30:00,,2020-03-14,13
26,10,2,14,2020-03-13 22:00:00,,2020-03-13,0
26,10,2,14,2020-03-12 22:00:00,,2020-03-12,6
20,0,0,20,2020-03-11 22:30:00,,2020-03-11,0
20,0,0,20,2020-03-10 23:00:00,,2020-03-10,0
20,0,0,20,2020-03-09 22:30:00,,2020-03-09,0
20,0,0,20,2020-03-08 22:00:00,,2020-03-08,1
19,0,0,19,2020-03-07 22:00:00,,2020-03-07,2
17,0,0,17,2020-03-06 20:30:00,,2020-03-06,0
17,0,0,17,2020-03-05 20:30:00,,2020-03-05,0
17,0,0,17,2020-03-04 22:00:00,,2020-03-04,9
8,0,0,8,2020-03-03 23:30:00,,2020-03-03,3
5,0,0,5,2020-03-02 22:00:00,,2020-03-02,2
3,0,0,3,2020-03-01 23:00:00,,2020-03-01,2
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,,2020-02-28,0
1,0,0,1,2020-02-27 22:00:00,,2020-02-27,0
1,0,0,1,2020-02-26 23:30:00,,2020-02-26,0
1,0,0,1,2020-02-25 22:00:00,,2020-02-25,0
