Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
723,333,37,353,2020-04-24 15:23:00,2020-04-24,0
723,309,37,377,2020-04-23 16:20:00,2020-04-23,6
717,282,37,398,2020-04-22 16:22:00,2020-04-22,0
717,248,37,432,2020-04-21 17:14:00,2020-04-21,4
713,235,36,442,2020-04-20 16:35:00,2020-04-20,9
704,205,35,464,2020-04-19 16:30:00,2020-04-19,8
696,191,35,470,2020-04-18 15:07:00,2020-04-18,0
696,191,35,470,2020-04-17 22:01:00,2020-04-17,23
673,169,33,471,2020-04-16 21:38:00,2020-04-16,0
673,169,33,471,2020-04-15 20:35:00,2020-04-15,27
646,128,29,489,2020-04-14 23:37:00,2020-04-14,0
646,128,29,489,2020-04-13 21:50:00,2020-04-13,45
601,71,26,504,2020-04-12 21:08:00,2020-04-12,0
601,71,26,504,2020-04-11 07:00:00,2020-04-11,0
601,71,26,504,2020-04-10 22:00:00,2020-04-10,18
583,58,25,500,2020-04-09 22:00:00,2020-04-09,19
564,52,23,489,2020-04-08 23:00:00,2020-04-08,19
545,39,22,484,2020-04-07 23:00:00,2020-04-07,20
525,31,21,473,2020-04-06 23:00:00,2020-04-06,24
501,26,18,457,2020-04-05 23:00:00,2020-04-05,35
466,21,17,428,2020-04-04 23:50:00,2020-04-04,27
439,16,16,407,2020-04-03 23:30:00,2020-04-03,11
428,10,15,403,2020-04-02 23:30:00,2020-04-02,38
390,10,14,366,2020-04-01 23:00:00,2020-04-01,14
376,10,12,354,2020-03-31 23:30:00,2020-03-31,6
370,10,8,352,2020-03-30 22:30:00,2020-03-30,36
334,1,6,327,2020-03-29 23:10:00,2020-03-29,26
308,1,3,304,2020-03-28 23:30:00,2020-03-28,41
267,1,3,263,2020-03-27 23:30:00,2020-03-27,43
224,1,3,220,2020-03-26 22:40:00,2020-03-26,36
188,1,1,186,2020-03-25 22:00:00,2020-03-25,24
164,1,1,162,2020-03-24 22:30:00,2020-03-24,31
133,1,1,131,2020-03-23 23:40:00,2020-03-23,20
