Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
41,0,2,39,2020-04-12 01:00:00,,2020-04-12,0
41,0,2,39,2020-04-11 15:30:00,,2020-04-11,0
41,0,2,39,2020-04-10 15:30:00,,2020-04-10,0
41,0,2,39,2020-04-09 15:30:00,,2020-04-09,0
41,0,0,41,2020-04-08 15:30:00,,2020-04-08,0
41,0,0,41,2020-04-07 15:30:00,,2020-04-07,0
41,0,0,41,2020-04-06 14:30:00,,2020-04-06,0
41,0,0,41,2020-04-05 15:30:00,,2020-04-05,0
41,0,0,41,2020-04-04 14:30:00,,2020-04-04,0
41,0,0,41,2020-04-03 14:30:00,,2020-04-03,0
41,0,0,41,2020-04-02 14:30:00,,2020-04-02,0
41,0,0,41,2020-04-01 23:55:00,,2020-04-01,5
36,0,0,36,2020-03-31 23:45:00,,2020-03-31,7
29,0,0,29,2020-03-30 23:45:00,,2020-03-30,20
9,0,0,9,2020-03-29 14:30:00,,2020-03-29,2
7,0,0,7,2020-03-28 14:30:00,,2020-03-28,0
7,0,0,7,2020-03-27 14:40:00,,2020-03-27,0
7,0,0,7,2020-03-26 23:55:00,,2020-03-26,0
