Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
92,32,0,60,2020-04-15 20:35:00,,2020-04-15,0
92,32,0,60,2020-04-14 23:37:00,,2020-04-14,0
92,32,0,60,2020-04-13 21:50:00,,2020-04-13,0
92,29,0,63,2020-04-12 21:08:00,,2020-04-12,6
86,27,0,59,2020-04-11 07:00:00,,2020-04-11,0
86,27,0,59,2020-04-10 22:00:00,,2020-04-10,4
82,20,0,62,2020-04-09 22:00:00,,2020-04-09,5
77,14,0,63,2020-04-08 23:00:00,,2020-04-08,3
74,14,0,60,2020-04-07 23:00:00,,2020-04-07,3
71,2,0,69,2020-04-06 23:00:00,,2020-04-06,7
64,1,0,63,2020-04-05 23:00:00,,2020-04-05,0
64,1,0,63,2020-04-04 23:50:00,,2020-04-04,2
62,1,0,61,2020-04-03 23:30:00,,2020-04-03,2
60,1,0,59,2020-04-02 23:30:00,,2020-04-02,5
55,1,0,54,2020-04-01 23:00:00,,2020-04-01,0
55,1,0,54,2020-03-31 23:30:00,,2020-03-31,5
50,1,0,49,2020-03-30 22:30:00,,2020-03-30,0
50,1,0,49,2020-03-29 23:10:00,,2020-03-29,4
46,1,0,45,2020-03-28 23:30:00,,2020-03-28,13
33,1,0,32,2020-03-27 23:30:00,,2020-03-27,5
28,1,0,27,2020-03-26 22:40:00,,2020-03-26,9
19,1,0,18,2020-03-25 22:00:00,,2020-03-25,2
17,1,0,16,2020-03-24 22:30:00,,2020-03-24,5
12,1,0,11,2020-03-23 23:40:00,,2020-03-23,3
9,1,0,8,2020-03-22 22:30:00,,2020-03-22,4
5,1,0,4,2020-03-21 23:30:00,,2020-03-21,0
5,1,0,4,2020-03-20 22:45:00,,2020-03-20,0
5,1,0,4,2020-03-19 23:30:00,,2020-03-19,1
4,0,0,4,2020-03-18 23:30:00,,2020-03-18,1
3,0,0,3,2020-03-17 22:30:00,,2020-03-17,1
2,0,0,2,2020-03-16 22:00:00,,2020-03-16,0
2,0,0,2,2020-03-15 23:30:00,,2020-03-15,0
2,0,0,2,2020-03-14 22:30:00,,2020-03-14,0
2,0,0,2,2020-03-13 22:00:00,,2020-03-13,0
