Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
6711,5539,83,1089,2020-04-26 15:29:00,2020-04-26,16
6695,5372,80,1243,2020-04-25 17:01:00,2020-04-25,20
6675,5136,79,1460,2020-04-24 15:23:00,2020-04-24,14
6661,5045,75,1541,2020-04-23 16:20:00,2020-04-23,12
6649,4920,74,1655,2020-04-22 16:22:00,2020-04-22,4
6645,4685,71,1889,2020-04-21 17:14:00,2020-04-21,26
6619,4258,71,2290,2020-04-20 16:35:00,2020-04-20,13
6606,4230,70,2306,2020-04-19 16:30:00,2020-04-19,41
6565,4163,69,2333,2020-04-18 15:07:00,2020-04-18,39
6526,3821,65,2640,2020-04-17 22:01:00,2020-04-17,58
6468,3747,63,2658,2020-04-16 21:38:00,2020-04-16,21
6447,3686,63,2698,2020-04-15 20:35:00,2020-04-15,47
6400,3598,61,2741,2020-04-14 23:37:00,2020-04-14,41
6359,3494,61,2804,2020-04-13 21:50:00,2020-04-13,46
6313,3338,59,2916,2020-04-12 21:08:00,2020-04-12,20
6293,3265,56,2972,2020-04-11 07:00:00,2020-04-11,10
6283,3141,55,3087,2020-04-10 22:00:00,2020-04-10,100
6183,2983,52,3148,2020-04-09 22:00:00,2020-04-09,80
6103,2759,51,3293,2020-04-08 23:00:00,2020-04-08,106
5997,2647,49,3301,2020-04-07 23:00:00,2020-04-07,102
5895,2432,45,3418,2020-04-06 23:00:00,2020-04-06,109
5786,829,40,4917,2020-04-05 23:00:00,2020-04-05,121
5665,711,35,4919,2020-04-04 23:50:00,2020-04-04,141
5524,659,30,4835,2020-04-03 23:30:00,2020-04-03,210
5314,586,26,4702,2020-04-02 23:30:00,2020-04-02,205
5109,433,23,4653,2020-04-01 23:00:00,2020-04-01,306
4803,363,20,4420,2020-03-31 23:30:00,2020-03-31,290
4513,313,18,4182,2020-03-30 22:30:00,2020-03-30,316
4197,243,18,3936,2020-03-29 23:10:00,2020-03-29,229
3968,240,16,3712,2020-03-28 23:30:00,2020-03-28,386
3582,218,14,3350,2020-03-27 23:30:00,2020-03-27,461
3121,195,12,2914,2020-03-26 22:40:00,2020-03-26,385
2736,157,12,2567,2020-03-25 22:00:00,2020-03-25,368
2368,137,8,2223,2020-03-24 22:30:00,2020-03-24,396
1972,121,7,1844,2020-03-23 23:40:00,2020-03-23,333
1639,94,7,1538,2020-03-22 22:30:00,2020-03-22,356
1283,52,7,1224,2020-03-21 23:30:00,2020-03-21,236
1047,52,7,988,2020-03-20 22:45:00,2020-03-20,263
784,52,7,725,2020-03-19 23:30:00,2020-03-19,149
635,47,6,582,2020-03-18 23:30:00,2020-03-18,93
542,44,6,492,2020-03-17 22:30:00,2020-03-17,95
447,27,5,415,2020-03-16 22:00:00,2020-03-16,133
314,27,5,282,2020-03-15 23:30:00,2020-03-15,35
279,26,3,250,2020-03-14 22:30:00,2020-03-14,78
201,25,3,173,2020-03-13 22:00:00,2020-03-13,12
189,24,3,162,2020-03-12 22:00:00,2020-03-12,48
141,24,3,114,2020-03-11 22:30:00,2020-03-11,23
118,23,3,92,2020-03-10 23:00:00,2020-03-10,17
101,23,3,75,2020-03-09 22:30:00,2020-03-09,11
90,22,3,65,2020-03-08 22:00:00,2020-03-08,15
75,21,3,51,2020-03-07 22:00:00,2020-03-07,10
65,21,2,42,2020-03-06 20:30:00,2020-03-06,5
60,21,2,37,2020-03-05 20:30:00,2020-03-05,9
51,21,2,28,2020-03-04 22:00:00,2020-03-04,9
42,21,1,20,2020-03-03 23:30:00,2020-03-03,8
34,21,1,12,2020-03-02 22:00:00,2020-03-02,5
29,15,1,13,2020-03-01 23:00:00,2020-03-01,3
26,15,1,10,2020-02-29 23:00:00,2020-02-29,1
25,15,0,10,2020-02-28 23:00:00,2020-02-28,2
23,15,0,8,2020-02-27 22:00:00,2020-02-27,0
23,15,0,8,2020-02-26 23:30:00,2020-02-26,0
23,15,0,8,2020-02-25 22:00:00,2020-02-25,1
22,15,0,7,2020-02-24 23:00:00,2020-02-24,0
22,10,0,12,2020-02-23 22:00:00,2020-02-23,0
22,10,0,12,2020-02-22 23:00:00,2020-02-22,1
21,10,0,11,2020-02-21 23:00:00,2020-02-21,4
17,10,0,7,2020-02-20 22:00:00,2020-02-20,2
15,8,0,7,2020-02-19 23:00:00,2020-02-19,0
15,8,0,7,2020-02-18 23:00:00,2020-02-18,0
15,8,0,7,2020-02-17 23:00:00,2020-02-17,0
15,8,0,7,2020-02-16 22:30:00,2020-02-16,0
15,8,0,7,2020-02-15 23:00:00,2020-02-15,0
15,8,0,7,2020-02-14 23:00:00,2020-02-14,0
15,8,0,7,2020-02-13 22:00:00,2020-02-13,0
15,5,0,10,2020-02-12 21:30:00,2020-02-12,0
15,5,0,10,2020-02-11 23:00:00,2020-02-11,0
15,5,0,10,2020-02-10 22:30:00,2020-02-10,0
15,5,0,10,2020-02-09 23:00:00,2020-02-09,0
15,5,0,10,2020-02-08 22:00:00,2020-02-08,0
15,3,0,12,2020-02-07 23:00:00,2020-02-07,0
15,3,0,12,2020-02-06 21:30:00,2020-02-06,1
14,3,0,11,2020-02-05 23:00:00,2020-02-05,1
13,3,0,10,2020-02-04 20:00:00,2020-02-04,1
12,3,0,9,2020-02-03 20:00:00,2020-02-03,0
12,2,0,10,2020-02-02 22:00:00,2020-02-02,0
12,2,0,10,2020-02-01 23:00:00,2020-02-01,3
9,2,0,7,2020-01-31 19:00:00,2020-01-31,1
8,2,0,6,2020-01-30 21:30:00,2020-01-30,1
7,0,0,7,2020-01-29 21:00:00,2020-01-29,2
5,0,0,5,2020-01-28 23:00:00,2020-01-28,0
5,0,0,5,2020-01-27 20:30:00,2020-01-27,1
4,0,0,4,2020-01-26 23:00:00,2020-01-26,0
4,0,0,4,2020-01-25 22:00:00,2020-01-25,4
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
