Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
9218,5116,113,3989,2020-06-12 23:27:00,2020-06-12,7158
2060,1508,26,526,2020-05-06 17:43:00,2020-05-06,206
1854,1365,25,464,2020-05-01 21:43:00,2020-05-01,137
1717,1221,22,474,2020-04-28 20:02:00,2020-04-28,72
1645,1139,21,485,2020-04-27 14:50:00,2020-04-27,28
1617,1080,21,516,2020-04-26 15:29:00,2020-04-26,25
1592,1013,21,558,2020-04-25 17:01:00,2020-04-25,44
1548,948,20,580,2020-04-24 15:23:00,2020-04-24,30
1518,907,20,591,2020-04-23 16:20:00,2020-04-23,38
1480,865,20,595,2020-04-22 16:22:00,2020-04-22,44
1436,791,19,626,2020-04-21 17:14:00,2020-04-21,38
1398,712,19,667,2020-04-20 16:35:00,2020-04-20,25
1373,590,18,765,2020-04-19 16:30:00,2020-04-19,33
1340,528,15,797,2020-04-18 15:07:00,2020-04-18,0
1340,528,15,797,2020-04-17 22:01:00,2020-04-17,57
1283,460,15,808,2020-04-16 21:38:00,2020-04-16,30
1253,404,13,836,2020-04-15 20:35:00,2020-04-15,56
1197,351,13,833,2020-04-14 23:37:00,2020-04-14,49
1148,289,12,847,2020-04-13 21:50:00,2020-04-13,90
1058,200,11,847,2020-04-12 21:08:00,2020-04-12,67
991,159,10,822,2020-04-11 07:00:00,2020-04-11,0
991,159,10,822,2020-04-10 22:00:00,2020-04-10,65
926,101,9,816,2020-04-09 22:00:00,2020-04-09,104
822,63,8,751,2020-04-08 23:00:00,2020-04-08,105
717,44,8,665,2020-04-07 23:00:00,2020-04-07,76
641,44,7,590,2020-04-06 23:00:00,2020-04-06,57
584,32,7,545,2020-04-05 23:00:00,2020-04-05,63
521,32,5,484,2020-04-04 23:50:00,2020-04-04,78
443,32,5,406,2020-04-03 23:30:00,2020-04-03,43
400,26,5,369,2020-04-02 23:30:00,2020-04-02,41
359,26,5,328,2020-04-01 23:00:00,2020-04-01,61
298,26,5,267,2020-03-31 23:30:00,2020-03-31,25
273,26,4,243,2020-03-30 22:30:00,2020-03-30,64
209,15,4,190,2020-03-29 23:10:00,2020-03-29,27
182,15,4,163,2020-03-28 23:30:00,2020-03-28,17
165,15,3,147,2020-03-27 23:30:00,2020-03-27,43
122,15,3,104,2020-03-26 22:40:00,2020-03-26,29
93,10,2,81,2020-03-25 22:00:00,2020-03-25,6
87,10,1,76,2020-03-24 22:30:00,2020-03-24,15
72,10,1,61,2020-03-23 23:40:00,2020-03-23,7
65,11,1,53,2020-03-22 22:30:00,2020-03-22,12
53,11,1,41,2020-03-21 23:30:00,2020-03-21,9
44,7,1,36,2020-03-20 22:45:00,2020-03-20,0
44,7,1,36,2020-03-19 23:30:00,2020-03-19,10
34,7,1,26,2020-03-18 23:30:00,2020-03-18,0
34,6,1,27,2020-03-17 22:30:00,2020-03-17,9
25,6,1,18,2020-03-16 22:00:00,2020-03-16,2
23,6,1,16,2020-03-15 23:30:00,2020-03-15,4
19,6,1,12,2020-03-14 22:30:00,2020-03-14,4
15,3,1,11,2020-03-13 22:00:00,2020-03-13,0
15,3,1,11,2020-03-12 22:00:00,2020-03-12,4
11,3,0,8,2020-03-11 22:30:00,2020-03-11,0
11,0,0,11,2020-03-10 23:00:00,2020-03-10,2
9,0,0,9,2020-03-09 22:30:00,2020-03-09,0
9,0,0,9,2020-03-08 22:00:00,2020-03-08,0
9,0,0,9,2020-03-07 22:00:00,2020-03-07,3
6,0,0,6,2020-03-06 20:30:00,2020-03-06,0
6,0,0,6,2020-03-05 20:30:00,2020-03-05,3
3,0,0,3,2020-03-04 22:00:00,2020-03-04,0
3,0,0,3,2020-03-03 23:30:00,2020-03-03,0
3,0,0,3,2020-03-02 22:00:00,2020-03-02,0
3,0,0,3,2020-03-01 23:00:00,2020-03-01,2
1,0,0,1,2020-02-29 23:00:00,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,2020-02-28,1
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
