Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
49,6,8,35,2020-04-14 11:44:00,,2020-04-14,2
47,6,8,33,2020-04-13 21:50:00,,2020-04-13,1
46,5,8,33,2020-04-12 21:08:00,,2020-04-12,4
42,5,8,29,2020-04-11 07:00:00,,2020-04-11,0
42,5,8,29,2020-04-10 22:00:00,,2020-04-10,1
41,5,8,28,2020-04-09 22:00:00,,2020-04-09,1
40,5,7,28,2020-04-08 23:00:00,,2020-04-08,4
36,5,6,25,2020-04-07 23:00:00,,2020-04-07,3
33,5,5,23,2020-04-06 23:00:00,,2020-04-06,4
29,4,5,20,2020-04-05 23:00:00,,2020-04-05,1
28,0,4,24,2020-04-04 23:50:00,,2020-04-04,4
24,0,3,21,2020-04-03 23:30:00,,2020-04-03,0
24,1,1,22,2020-04-02 23:30:00,,2020-04-02,3
21,1,1,19,2020-04-01 23:00:00,,2020-04-01,6
15,1,0,14,2020-03-31 23:30:00,,2020-03-31,1
14,1,0,13,2020-03-30 22:30:00,,2020-03-30,0
14,1,0,13,2020-03-29 23:10:00,,2020-03-29,4
10,1,0,9,2020-03-28 23:30:00,,2020-03-28,0
10,1,0,9,2020-03-27 23:30:00,,2020-03-27,1
9,1,0,8,2020-03-26 22:40:00,,2020-03-26,4
5,1,0,4,2020-03-25 22:00:00,,2020-03-25,0
5,1,0,4,2020-03-24 22:30:00,,2020-03-24,1
4,0,0,4,2020-03-23 23:40:00,,2020-03-23,0
4,0,0,4,2020-03-22 22:30:00,,2020-03-22,0
4,0,0,4,2020-03-21 23:30:00,,2020-03-21,0
4,0,0,4,2020-03-20 22:45:00,,2020-03-20,1
3,0,0,3,2020-03-19 23:30:00,,2020-03-19,2
1,0,0,1,2020-03-18 23:30:00,,2020-03-18,0
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
1,0,0,1,2020-03-15 23:30:00,,2020-03-15,0
