Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1881,759,7,1115,2020-04-20 00:24:00,2020-04-20,108
1773,755,7,1011,2020-04-19 16:30:00,2020-04-19,29
1744,726,7,1011,2020-04-18 15:07:00,2020-04-18,4
1740,725,7,1008,2020-04-17 22:01:00,2020-04-17,42
1698,703,7,988,2020-04-16 21:38:00,2020-04-16,27
1671,663,7,1001,2020-04-15 20:35:00,2020-04-15,149
1522,645,7,870,2020-04-14 23:37:00,2020-04-14,174
1348,591,6,751,2020-04-13 21:50:00,2020-04-13,308
1040,555,6,479,2020-04-12 21:08:00,2020-04-12,24
1016,551,6,459,2020-04-11 07:00:00,2020-04-11,18
998,551,6,441,2020-04-10 22:00:00,2020-04-10,111
887,519,5,363,2020-04-09 22:00:00,2020-04-09,64
823,477,5,341,2020-04-08 23:00:00,2020-04-08,12
811,458,5,348,2020-04-07 23:00:00,2020-04-07,55
756,458,4,294,2020-04-06 23:00:00,2020-04-06,56
700,431,4,265,2020-04-05 23:00:00,2020-04-05,12
688,423,4,261,2020-04-04 23:50:00,2020-04-04,16
672,382,4,286,2020-04-03 23:30:00,2020-04-03,29
643,381,4,258,2020-04-02 23:30:00,2020-04-02,74
569,337,4,228,2020-04-01 23:00:00,2020-04-01,2
567,295,4,268,2020-03-31 23:30:00,2020-03-31,52
515,295,4,216,2020-03-30 22:30:00,2020-03-30,16
499,272,4,223,2020-03-29 23:10:00,2020-03-29,23
476,265,4,207,2020-03-28 23:30:00,2020-03-28,10
466,227,4,235,2020-03-27 23:30:00,2020-03-27,8
458,204,4,250,2020-03-26 22:40:00,2020-03-26,39
419,177,4,238,2020-03-25 22:00:00,2020-03-25,27
392,177,3,212,2020-03-24 22:30:00,2020-03-24,15
377,164,2,211,2020-03-23 23:40:00,2020-03-23,43
334,149,2,183,2020-03-22 22:30:00,2020-03-22,24
310,125,1,184,2020-03-21 23:30:00,2020-03-21,12
298,125,1,172,2020-03-20 22:45:00,2020-03-20,20
278,110,1,167,2020-03-19 23:30:00,2020-03-19,22
256,95,1,160,2020-03-18 23:30:00,2020-03-18,15
241,88,1,152,2020-03-17 22:30:00,2020-03-17,13
228,81,1,146,2020-03-16 22:00:00,2020-03-16,14
214,77,0,137,2020-03-15 23:30:00,2020-03-15,2
212,60,0,152,2020-03-14 22:30:00,2020-03-14,2
210,44,0,166,2020-03-13 22:00:00,2020-03-13,13
197,35,0,162,2020-03-12 22:00:00,2020-03-12,2
195,35,0,160,2020-03-11 22:30:00,2020-03-11,85
110,30,0,80,2020-03-10 23:00:00,2020-03-10,1
109,22,0,87,2020-03-09 22:30:00,2020-03-09,24
85,14,0,71,2020-03-08 22:00:00,2020-03-08,0
85,6,0,79,2020-03-07 22:00:00,2020-03-07,25
60,4,0,56,2020-03-06 20:30:00,2020-03-06,5
55,4,0,51,2020-03-05 20:30:00,2020-03-05,3
52,1,0,51,2020-03-04 22:00:00,2020-03-04,3
49,0,0,49,2020-03-03 23:30:00,2020-03-03,0
49,0,0,49,2020-03-02 22:00:00,2020-03-02,2
47,0,0,47,2020-03-01 23:00:00,2020-03-01,6
41,0,0,41,2020-02-29 23:00:00,2020-02-29,3
38,0,0,38,2020-02-28 23:00:00,2020-02-28,5
33,0,0,33,2020-02-27 22:00:00,2020-02-27,0
33,0,0,33,2020-02-26 23:30:00,2020-02-26,10
23,0,0,23,2020-02-25 22:00:00,2020-02-25,21
2,0,0,2,2020-02-24 23:00:00,2020-02-24,2
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
