Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
5913,131,152,5630,2020-04-27 14:50:00,2020-04-27,497
5416,122,145,5149,2020-04-26 15:29:00,2020-04-26,418
4998,112,140,4746,2020-04-25 17:01:00,2020-04-25,309
4689,112,131,4446,2020-04-24 15:23:00,2020-04-24,503
4186,108,127,3951,2020-04-23 16:20:00,2020-04-23,414
3772,92,120,3560,2020-04-22 16:22:00,2020-04-22,390
3382,87,110,3185,2020-04-21 17:14:00,2020-04-21,434
2948,85,101,2762,2020-04-20 16:35:00,2020-04-20,492
2456,75,91,2290,2020-04-19 16:30:00,2020-04-19,312
2144,66,84,1994,2020-04-18 15:07:00,2020-04-18,306
1838,58,75,1705,2020-04-17 22:01:00,2020-04-17,266
1572,49,60,1463,2020-04-16 21:38:00,2020-04-16,341
1231,49,50,1132,2020-04-15 20:35:00,2020-04-15,219
1012,42,46,924,2020-04-14 23:37:00,2020-04-14,209
803,42,39,722,2020-04-13 21:50:00,2020-04-13,182
621,39,34,548,2020-04-12 21:08:00,2020-04-12,139
482,36,30,416,2020-04-11 07:00:00,2020-04-11,58
424,33,27,364,2020-04-10 22:00:00,2020-04-10,94
330,33,21,276,2020-04-09 22:00:00,2020-04-09,112
218,33,20,165,2020-04-08 23:00:00,2020-04-08,54
164,33,17,114,2020-04-07 23:00:00,2020-04-07,41
123,33,12,78,2020-04-06 23:00:00,2020-04-06,35
88,33,9,46,2020-04-05 23:00:00,2020-04-05,18
70,30,8,32,2020-04-04 23:50:00,2020-04-04,9
61,26,6,29,2020-04-03 23:30:00,2020-04-03,5
56,25,6,25,2020-04-02 23:30:00,2020-04-02,2
54,25,6,23,2020-04-01 23:00:00,2020-04-01,3
51,25,5,21,2020-03-31 23:30:00,2020-03-31,2
49,19,5,25,2020-03-30 22:30:00,2020-03-30,1
48,15,5,28,2020-03-29 23:10:00,2020-03-29,0
48,15,5,28,2020-03-28 23:30:00,2020-03-28,0
