Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
3281,203,33,3045,2020-04-14 23:37:00,,2020-04-14,362
2919,203,29,2687,2020-04-13 21:50:00,,2020-04-13,341
2578,203,26,2349,2020-04-12 21:08:00,,2020-04-12,352
2226,172,23,2031,2020-04-11 07:00:00,,2020-04-11,245
1981,169,19,1793,2020-04-10 22:00:00,,2020-04-10,495
1486,139,16,1331,2020-04-09 22:00:00,,2020-04-09,420
1066,77,13,976,2020-04-08 23:00:00,,2020-04-08,205
861,54,13,794,2020-04-07 23:00:00,,2020-04-07,161
700,53,13,634,2020-04-06 23:00:00,,2020-04-06,138
562,52,8,502,2020-04-05 23:00:00,,2020-04-05,122
440,53,5,382,2020-04-04 23:50:00,,2020-04-04,89
351,53,4,294,2020-04-03 23:30:00,,2020-04-03,47
304,53,4,247,2020-04-02 23:30:00,,2020-04-02,141
163,53,2,108,2020-04-01 23:00:00,,2020-04-01,11
152,47,1,104,2020-03-31 23:30:00,,2020-03-31,0
152,32,0,120,2020-03-30 22:30:00,,2020-03-30,58
94,32,0,62,2020-03-29 23:10:00,,2020-03-29,0
94,32,0,62,2020-03-28 23:30:00,,2020-03-28,0
94,32,0,62,2020-03-27 23:30:00,,2020-03-27,8
86,29,0,57,2020-03-26 22:40:00,,2020-03-26,0
86,29,0,57,2020-03-25 22:00:00,,2020-03-25,5
81,22,0,59,2020-03-24 22:30:00,,2020-03-24,0
81,22,0,59,2020-03-23 23:40:00,,2020-03-23,5
76,15,0,61,2020-03-22 22:30:00,,2020-03-22,0
76,15,0,61,2020-03-21 23:30:00,,2020-03-21,7
69,15,0,54,2020-03-20 22:45:00,,2020-03-20,18
51,5,0,46,2020-03-19 23:30:00,,2020-03-19,0
51,5,0,46,2020-03-18 23:30:00,,2020-03-18,15
36,3,0,33,2020-03-17 22:30:00,,2020-03-17,0
36,3,0,33,2020-03-16 22:00:00,,2020-03-16,9
27,3,0,24,2020-03-15 23:30:00,,2020-03-15,0
27,3,0,24,2020-03-14 22:30:00,,2020-03-14,0
27,3,0,24,2020-03-13 22:00:00,,2020-03-13,6
21,3,0,18,2020-03-12 22:00:00,,2020-03-12,12
9,3,0,6,2020-03-11 22:30:00,,2020-03-11,0
9,3,0,6,2020-03-10 23:00:00,,2020-03-10,3
6,0,0,6,2020-03-09 22:30:00,,2020-03-09,0
6,0,0,6,2020-03-08 22:00:00,,2020-03-08,0
6,0,0,6,2020-03-07 22:00:00,,2020-03-07,0
6,0,0,6,2020-03-06 20:30:00,,2020-03-06,0
6,0,0,6,2020-03-05 20:30:00,,2020-03-05,0
6,0,0,6,2020-03-04 22:00:00,,2020-03-04,5
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,,2020-02-28,0
