Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
33573,7107,4440,22026,2020-04-16 02:00:00,,2020-04-16,0
33573,7107,4440,22026,2020-04-15 20:35:00,,2020-04-15,2454
31119,6868,4157,20094,2020-04-14 23:37:00,,2020-04-14,530
30589,6707,3903,19979,2020-04-13 21:50:00,,2020-04-13,942
29647,6463,3600,19584,2020-04-12 21:08:00,,2020-04-12,1629
28018,5986,3346,18686,2020-04-11 07:00:00,,2020-04-11,1351
26667,5568,3019,18080,2020-04-10 22:00:00,,2020-04-10,1684
24983,5164,2523,17296,2020-04-09 22:00:00,,2020-04-09,1580
23403,4681,2240,16482,2020-04-08 23:00:00,,2020-04-08,1209
22194,4157,2035,16002,2020-04-07 23:00:00,,2020-04-07,1380
20814,3986,1632,15196,2020-04-06 23:00:00,,2020-04-06,1123
19691,3751,1447,14493,2020-04-05 23:00:00,,2020-04-05,1260
18431,3247,1283,13901,2020-04-04 23:50:00,,2020-04-04,1661
16770,2872,1143,12755,2020-04-03 23:30:00,,2020-04-03,1422
15348,2495,1011,11842,2020-04-02 23:30:00,,2020-04-02,1384
13964,2132,828,11004,2020-04-01 23:00:00,,2020-04-01,1189
12775,1696,705,10374,2020-03-31 23:30:00,,2020-03-31,876
11899,1527,513,9859,2020-03-30 22:30:00,,2020-03-30,1063
10836,1359,431,9046,2020-03-29 23:10:00,,2020-03-29,1702
9134,1063,353,7718,2020-03-28 23:30:00,,2020-03-28,1850
7284,858,289,6137,2020-03-27 23:30:00,,2020-03-27,1049
6235,675,220,5340,2020-03-26 22:40:00,,2020-03-26,1298
4937,547,178,4212,2020-03-25 22:00:00,,2020-03-25,668
4269,461,122,3686,2020-03-24 22:30:00,,2020-03-24,526
3743,401,88,3254,2020-03-23 23:40:00,,2020-03-23,342
3401,263,75,3063,2020-03-22 22:30:00,,2020-03-22,586
2815,263,67,2485,2020-03-21 23:30:00,,2020-03-21,558
2257,204,37,2016,2020-03-20 22:45:00,,2020-03-20,462
1795,165,21,1609,2020-03-19 23:30:00,,2020-03-19,309
1486,31,14,1441,2020-03-18 23:30:00,,2020-03-18,243
1243,14,10,1219,2020-03-17 22:30:00,,2020-03-17,185
1058,1,10,1047,2020-03-16 22:00:00,,2020-03-16,172
886,1,4,881,2020-03-15 23:30:00,,2020-03-15,197
689,1,4,684,2020-03-14 22:30:00,,2020-03-14,130
559,1,3,555,2020-03-13 22:00:00,,2020-03-13,160
399,1,3,395,2020-03-12 22:00:00,,2020-03-12,85
314,1,3,310,2020-03-11 22:30:00,,2020-03-11,47
267,1,0,266,2020-03-10 23:00:00,,2020-03-10,28
239,1,0,238,2020-03-09 22:30:00,,2020-03-09,39
200,1,0,199,2020-03-08 22:00:00,,2020-03-08,31
169,1,0,168,2020-03-07 22:00:00,,2020-03-07,60
109,1,0,108,2020-03-06 20:30:00,,2020-03-06,59
50,1,0,49,2020-03-05 20:30:00,,2020-03-05,27
23,1,0,22,2020-03-04 22:00:00,,2020-03-04,10
13,1,0,12,2020-03-03 23:30:00,,2020-03-03,5
8,1,0,7,2020-03-02 22:00:00,,2020-03-02,6
2,1,0,1,2020-03-01 23:00:00,,2020-03-01,1
1,1,0,0,2020-02-29 23:00:00,,2020-02-29,0
1,1,0,0,2020-02-28 23:00:00,,2020-02-28,0
1,1,0,0,2020-02-27 22:00:00,,2020-02-27,0
1,1,0,0,2020-02-26 23:30:00,,2020-02-26,0
1,1,0,0,2020-02-25 22:00:00,,2020-02-25,0
1,1,0,0,2020-02-24 23:00:00,,2020-02-24,0
1,1,0,0,2020-02-23 22:00:00,,2020-02-23,0
1,1,0,0,2020-02-22 23:00:00,,2020-02-22,0
1,1,0,0,2020-02-21 23:00:00,,2020-02-21,0
1,1,0,0,2020-02-20 22:00:00,,2020-02-20,0
1,1,0,0,2020-02-19 23:00:00,,2020-02-19,0
1,1,0,0,2020-02-18 23:00:00,,2020-02-18,0
1,0,0,1,2020-02-17 23:00:00,,2020-02-17,0
1,0,0,1,2020-02-16 22:30:00,,2020-02-16,0
1,0,0,1,2020-02-15 23:00:00,,2020-02-15,0
1,0,0,1,2020-02-14 23:00:00,,2020-02-14,0
1,0,0,1,2020-02-13 22:00:00,,2020-02-13,0
1,0,0,1,2020-02-12 21:30:00,,2020-02-12,0
1,0,0,1,2020-02-11 23:00:00,,2020-02-11,0
1,0,0,1,2020-02-10 22:30:00,,2020-02-10,0
1,0,0,1,2020-02-09 23:00:00,,2020-02-09,0
1,0,0,1,2020-02-08 22:00:00,,2020-02-08,0
1,0,0,1,2020-02-07 23:00:00,,2020-02-07,0
1,0,0,1,2020-02-06 21:30:00,,2020-02-06,0
1,0,0,1,2020-02-05 23:00:00,,2020-02-05,0
1,0,0,1,2020-02-04 20:00:00,,2020-02-04,0
