Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
35,5,1,29,2020-04-14 16:11:00,,2020-04-14,0
35,5,1,29,2020-04-13 21:50:00,,2020-04-13,0
35,5,1,29,2020-04-12 21:08:00,,2020-04-12,0
35,5,1,29,2020-04-11 07:00:00,,2020-04-11,0
35,5,1,29,2020-04-10 22:00:00,,2020-04-10,9
26,5,1,20,2020-04-09 22:00:00,,2020-04-09,0
26,5,1,20,2020-04-08 23:00:00,,2020-04-08,0
26,5,1,20,2020-04-07 23:00:00,,2020-04-07,0
26,5,1,20,2020-04-06 23:00:00,,2020-04-06,4
22,5,0,17,2020-04-05 23:00:00,,2020-04-05,6
16,2,0,14,2020-04-04 23:50:00,,2020-04-04,0
16,2,0,14,2020-04-03 23:30:00,,2020-04-03,3
13,1,0,12,2020-04-02 23:30:00,,2020-04-02,0
13,1,0,12,2020-04-01 23:00:00,,2020-04-01,4
9,1,0,8,2020-03-31 23:30:00,,2020-03-31,3
6,0,0,6,2020-03-30 22:30:00,,2020-03-30,0
6,0,0,6,2020-03-29 23:10:00,,2020-03-29,0
6,0,0,6,2020-03-28 23:30:00,,2020-03-28,0
6,0,0,6,2020-03-27 23:30:00,,2020-03-27,0
6,0,0,6,2020-03-26 22:40:00,,2020-03-26,0
6,0,0,6,2020-03-25 22:00:00,,2020-03-25,0
6,0,0,6,2020-03-24 22:30:00,,2020-03-24,0
6,0,0,6,2020-03-23 23:40:00,,2020-03-23,4
2,0,0,2,2020-03-22 22:30:00,,2020-03-22,0
2,0,0,2,2020-03-21 23:30:00,,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,,2020-03-20,0
2,0,0,2,2020-03-19 23:30:00,,2020-03-19,0
2,0,0,2,2020-03-18 23:30:00,,2020-03-18,1
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
