Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
98,39,5,54,2020-04-22 16:22:00,2020-04-22,12
86,37,5,44,2020-04-21 17:14:00,2020-04-21,0
86,35,5,46,2020-04-20 16:35:00,2020-04-20,0
86,35,5,46,2020-04-19 16:30:00,2020-04-19,3
83,35,5,43,2020-04-18 15:07:00,2020-04-18,0
83,35,5,43,2020-04-17 22:01:00,2020-04-17,2
81,33,5,43,2020-04-16 21:38:00,2020-04-16,24
57,30,5,22,2020-04-15 20:35:00,2020-04-15,0
57,30,5,22,2020-04-14 23:37:00,2020-04-14,0
57,29,4,24,2020-04-13 21:50:00,2020-04-13,7
50,28,4,18,2020-04-12 21:08:00,2020-04-12,2
48,25,4,19,2020-04-11 07:00:00,2020-04-11,0
48,25,4,19,2020-04-10 22:00:00,2020-04-10,0
48,25,4,19,2020-04-09 22:00:00,2020-04-09,9
39,23,3,13,2020-04-08 23:00:00,2020-04-08,0
39,17,2,20,2020-04-07 23:00:00,2020-04-07,0
39,17,2,20,2020-04-06 23:00:00,2020-04-06,2
37,14,0,23,2020-04-05 23:00:00,2020-04-05,0
37,14,0,23,2020-04-04 23:50:00,2020-04-04,2
35,14,0,21,2020-04-03 23:30:00,2020-04-03,0
35,11,0,24,2020-04-02 23:30:00,2020-04-02,3
32,10,0,22,2020-04-01 23:00:00,2020-04-01,0
32,10,0,22,2020-03-31 23:30:00,2020-03-31,5
27,2,0,25,2020-03-30 22:30:00,2020-03-30,5
22,2,0,20,2020-03-29 23:10:00,2020-03-29,5
17,2,0,15,2020-03-28 23:30:00,2020-03-28,0
17,2,0,15,2020-03-27 23:30:00,2020-03-27,2
15,2,0,13,2020-03-26 22:40:00,2020-03-26,8
7,0,0,7,2020-03-25 22:00:00,2020-03-25,1
6,0,0,6,2020-03-24 22:30:00,2020-03-24,0
6,0,0,6,2020-03-23 23:40:00,2020-03-23,0
6,0,0,6,2020-03-22 22:30:00,2020-03-22,4
2,0,0,2,2020-03-21 23:30:00,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,2020-03-20,0
2,0,0,2,2020-03-19 23:30:00,2020-03-19,0
2,0,0,2,2020-03-18 23:30:00,2020-03-18,2
0,0,0,0,2020-03-17 22:30:00,2020-03-17,0
0,0,0,0,2020-03-16 22:00:00,2020-03-16,0
0,0,0,0,2020-03-15 23:30:00,2020-03-15,0
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
