Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
441,14,29,398,2020-04-16 15:04:00,,2020-04-16,44
397,7,28,362,2020-04-15 20:35:00,,2020-04-15,43
354,6,28,320,2020-04-14 23:37:00,,2020-04-14,24
330,2,27,301,2020-04-13 21:50:00,,2020-04-13,30
300,2,24,274,2020-04-12 21:08:00,,2020-04-12,32
268,2,19,247,2020-04-11 07:00:00,,2020-04-11,0
268,2,19,247,2020-04-10 22:00:00,,2020-04-10,0
268,2,19,247,2020-04-09 22:00:00,,2020-04-09,58
210,2,15,193,2020-04-08 23:00:00,,2020-04-08,0
210,2,15,193,2020-04-07 23:00:00,,2020-04-07,16
194,2,14,178,2020-04-06 23:00:00,,2020-04-06,11
183,2,11,170,2020-04-05 23:00:00,,2020-04-05,26
157,2,10,145,2020-04-04 23:50:00,,2020-04-04,18
139,1,10,128,2020-04-03 23:30:00,,2020-04-03,7
132,1,9,122,2020-04-02 23:30:00,,2020-04-02,17
115,1,7,107,2020-04-01 23:00:00,,2020-04-01,0
115,1,7,107,2020-03-31 23:30:00,,2020-03-31,18
97,0,4,93,2020-03-30 22:30:00,,2020-03-30,16
81,0,1,80,2020-03-29 23:10:00,,2020-03-29,0
81,0,0,81,2020-03-28 23:30:00,,2020-03-28,7
74,0,0,74,2020-03-27 23:30:00,,2020-03-27,13
61,0,0,61,2020-03-26 22:40:00,,2020-03-26,23
38,0,0,38,2020-03-25 22:00:00,,2020-03-25,6
32,0,0,32,2020-03-24 22:30:00,,2020-03-24,5
27,0,0,27,2020-03-23 23:40:00,,2020-03-23,3
24,0,0,24,2020-03-22 22:30:00,,2020-03-22,5
19,0,0,19,2020-03-21 23:30:00,,2020-03-21,3
16,0,0,16,2020-03-20 22:45:00,,2020-03-20,-1
17,0,0,17,2020-03-19 23:30:00,,2020-03-19,5
12,0,0,12,2020-03-18 23:30:00,,2020-03-18,0
12,0,0,12,2020-03-17 22:30:00,,2020-03-17,1
11,0,0,11,2020-03-16 22:00:00,,2020-03-16,1
10,0,0,10,2020-03-15 23:30:00,,2020-03-15,0
10,0,0,10,2020-03-14 22:30:00,,2020-03-14,0
10,0,0,10,2020-03-13 22:00:00,,2020-03-13,7
3,0,0,3,2020-03-12 22:00:00,,2020-03-12,1
2,0,0,2,2020-03-11 22:30:00,,2020-03-11,0
2,0,0,2,2020-03-10 23:00:00,,2020-03-10,0
