Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1421,538,55,828,2020-04-25 01:28:00,2020-04-25,8
1413,485,54,874,2020-04-24 15:23:00,2020-04-24,0
1413,485,54,874,2020-04-23 16:20:00,2020-04-23,45
1368,460,53,855,2020-04-22 16:22:00,2020-04-22,26
1342,437,51,854,2020-04-21 17:14:00,2020-04-21,57
1285,347,48,890,2020-04-20 16:35:00,2020-04-20,17
1268,338,47,883,2020-04-19 16:30:00,2020-04-19,54
1214,320,46,848,2020-04-18 15:07:00,2020-04-18,15
1199,320,46,833,2020-04-17 22:01:00,2020-04-17,32
1167,277,43,847,2020-04-16 21:38:00,2020-04-16,57
1110,253,41,816,2020-04-15 20:35:00,2020-04-15,27
1083,236,40,807,2020-04-14 23:37:00,2020-04-14,53
1030,206,39,785,2020-04-13 21:50:00,2020-04-13,55
975,139,37,799,2020-04-12 21:08:00,2020-04-12,58
917,137,37,743,2020-04-11 07:00:00,2020-04-11,16
901,129,36,736,2020-04-10 22:00:00,2020-04-10,43
858,101,35,722,2020-04-09 22:00:00,2020-04-09,54
804,79,34,691,2020-04-08 23:00:00,2020-04-08,40
764,68,33,663,2020-04-07 23:00:00,2020-04-07,90
674,47,29,598,2020-04-06 23:00:00,2020-04-06,20
654,30,23,601,2020-04-05 23:00:00,2020-04-05,30
624,30,21,573,2020-04-04 23:50:00,2020-04-04,45
579,27,17,535,2020-04-03 23:30:00,2020-04-03,46
533,20,16,497,2020-04-02 23:30:00,2020-04-02,74
459,19,13,427,2020-04-01 23:00:00,2020-04-01,39
420,17,13,390,2020-03-31 23:30:00,2020-03-31,52
368,17,10,341,2020-03-30 22:30:00,2020-03-30,45
323,8,6,309,2020-03-29 23:10:00,2020-03-29,45
278,8,6,264,2020-03-28 23:30:00,2020-03-28,41
237,5,4,228,2020-03-27 23:30:00,2020-03-27,46
191,2,3,186,2020-03-26 22:40:00,2020-03-26,15
176,2,3,171,2020-03-25 22:00:00,2020-03-25,8
168,2,3,163,2020-03-24 22:30:00,2020-03-24,32
136,2,1,133,2020-03-23 23:40:00,2020-03-23,10
126,2,1,123,2020-03-22 22:30:00,2020-03-22,33
93,2,1,90,2020-03-21 23:30:00,2020-03-21,4
89,2,0,87,2020-03-20 22:45:00,2020-03-20,25
64,2,0,62,2020-03-19 23:30:00,2020-03-19,25
39,2,0,37,2020-03-18 23:30:00,2020-03-18,5
34,2,0,32,2020-03-17 22:30:00,2020-03-17,9
25,2,0,23,2020-03-16 22:00:00,2020-03-16,1
24,0,0,24,2020-03-15 23:30:00,2020-03-15,3
21,0,0,21,2020-03-14 22:30:00,2020-03-14,3
18,0,0,18,2020-03-13 22:00:00,2020-03-13,7
11,0,0,11,2020-03-12 22:00:00,2020-03-12,4
7,0,0,7,2020-03-11 22:30:00,2020-03-11,0
7,0,0,7,2020-03-10 23:00:00,2020-03-10,2
5,0,0,5,2020-03-09 22:30:00,2020-03-09,2
3,0,0,3,2020-03-08 22:00:00,2020-03-08,0
3,0,0,3,2020-03-07 22:00:00,2020-03-07,0
3,0,0,3,2020-03-06 20:30:00,2020-03-06,1
2,0,0,2,2020-03-05 20:30:00,2020-03-05,2
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
