Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
13,0,1,12,2020-04-15 14:50:00,,2020-04-15,0
13,0,1,12,2020-04-14 23:37:00,,2020-04-14,0
13,0,1,12,2020-04-13 21:50:00,,2020-04-13,0
13,0,1,12,2020-04-12 21:08:00,,2020-04-12,0
13,0,1,12,2020-04-11 07:00:00,,2020-04-11,0
13,0,1,12,2020-04-10 22:00:00,,2020-04-10,0
13,0,1,12,2020-04-09 22:00:00,,2020-04-09,7
6,0,1,5,2020-04-08 23:00:00,,2020-04-08,0
6,0,1,5,2020-04-07 23:00:00,,2020-04-07,0
6,0,1,5,2020-04-06 23:00:00,,2020-04-06,0
6,0,1,5,2020-04-05 23:00:00,,2020-04-05,2
4,0,1,3,2020-04-04 23:50:00,,2020-04-04,0
4,0,1,3,2020-04-03 23:30:00,,2020-04-03,0
4,0,1,3,2020-04-02 23:30:00,,2020-04-02,0
4,0,1,3,2020-04-01 23:00:00,,2020-04-01,0
4,0,1,3,2020-03-31 23:30:00,,2020-03-31,1
3,0,0,3,2020-03-30 22:30:00,,2020-03-30,0
