Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
34221,14026,2171,18024,2020-04-18 15:07:00,,2020-04-18,3330
30891,14026,1952,14913,2020-04-17 22:01:00,,2020-04-17,1726
29165,14026,1764,13375,2020-04-16 21:38:00,,2020-04-16,3407
25758,14026,1557,10175,2020-04-15 20:35:00,,2020-04-15,1526
24232,3046,1378,19808,2020-04-14 23:37:00,,2020-04-14,1512
22720,173,1269,21278,2020-04-13 21:50:00,,2020-04-13,1756
20964,173,1141,19650,2020-04-12 21:08:00,,2020-04-12,1021
19943,173,1074,18696,2020-04-11 07:00:00,,2020-04-11,0
19943,173,1074,18696,2020-04-10 22:00:00,,2020-04-10,1767
18176,173,957,17046,2020-04-09 22:00:00,,2020-04-09,1988
16188,127,820,15241,2020-04-08 23:00:00,,2020-04-08,2139
14049,127,688,13234,2020-04-07 23:00:00,,2020-04-07,1817
12232,127,566,11539,2020-04-06 23:00:00,,2020-04-06,951
11281,127,487,10667,2020-04-05 23:00:00,,2020-04-05,921
10360,127,445,9788,2020-04-04 23:50:00,,2020-04-04,1144
9216,127,365,8724,2020-04-03 23:30:00,,2020-04-03,1150
8066,127,327,7612,2020-04-02 23:30:00,,2020-04-02,1135
6931,127,244,6560,2020-04-01 23:00:00,,2020-04-01,1119
5812,127,202,5483,2020-03-31 23:30:00,,2020-03-31,1151
4661,127,165,4369,2020-03-30 22:30:00,,2020-03-30,405
4256,6,136,4114,2020-03-29 23:10:00,,2020-03-29,352
3904,6,114,3784,2020-03-28 23:30:00,,2020-03-28,427
3477,6,93,3378,2020-03-27 23:30:00,,2020-03-27,492
2985,6,77,2902,2020-03-26 22:40:00,,2020-03-26,431
2554,2,59,2493,2020-03-25 22:00:00,,2020-03-25,307
2247,2,46,2199,2020-03-24 22:30:00,,2020-03-24,323
1924,2,34,1888,2020-03-23 23:40:00,,2020-03-23,378
1546,2,25,1519,2020-03-22 22:30:00,,2020-03-22,368
1178,2,18,1158,2020-03-21 23:30:00,,2020-03-21,208
970,2,11,957,2020-03-20 22:45:00,,2020-03-20,323
647,2,7,638,2020-03-19 23:30:00,,2020-03-19,118
529,2,4,523,2020-03-18 23:30:00,,2020-03-18,183
346,2,1,343,2020-03-17 22:30:00,,2020-03-17,112
234,2,0,232,2020-03-16 22:00:00,,2020-03-16,34
200,2,0,198,2020-03-15 23:30:00,,2020-03-15,49
151,1,0,150,2020-03-14 22:30:00,,2020-03-14,0
151,1,0,150,2020-03-13 22:00:00,,2020-03-13,74
77,0,0,77,2020-03-12 22:00:00,,2020-03-12,25
52,0,0,52,2020-03-11 22:30:00,,2020-03-11,18
34,0,0,34,2020-03-10 23:00:00,,2020-03-10,9
25,0,0,25,2020-03-09 22:30:00,,2020-03-09,0
25,0,0,25,2020-03-08 22:00:00,,2020-03-08,6
19,0,0,19,2020-03-07 22:00:00,,2020-03-07,6
13,0,0,13,2020-03-06 20:30:00,,2020-03-06,5
8,0,0,8,2020-03-05 20:30:00,,2020-03-05,5
3,0,0,3,2020-03-04 22:00:00,,2020-03-04,1
2,0,0,2,2020-03-03 23:30:00,,2020-03-03,0
2,0,0,2,2020-03-02 22:00:00,,2020-03-02,0
2,0,0,2,2020-03-01 23:00:00,,2020-03-01,0
2,0,0,2,2020-02-29 23:00:00,,2020-02-29,1
1,0,0,1,2020-02-28 23:00:00,,2020-02-28,0
1,0,0,1,2020-02-27 22:00:00,,2020-02-27,0
1,0,0,1,2020-02-26 23:30:00,,2020-02-26,0
