Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
3,2,0,1,2020-04-15 14:50:00,,2020-04-15,0
3,2,0,1,2020-04-14 23:37:00,,2020-04-14,0
3,2,0,1,2020-04-13 21:50:00,,2020-04-13,0
3,2,0,1,2020-04-12 21:08:00,,2020-04-12,0
3,2,0,1,2020-04-11 07:00:00,,2020-04-11,0
3,0,0,3,2020-04-10 22:00:00,,2020-04-10,0
3,0,0,3,2020-04-09 22:00:00,,2020-04-09,0
3,0,0,3,2020-04-08 23:00:00,,2020-04-08,0
3,0,0,3,2020-04-07 23:00:00,,2020-04-07,0
3,0,0,3,2020-04-06 23:00:00,,2020-04-06,0
3,0,0,3,2020-04-05 23:00:00,,2020-04-05,0
3,0,0,3,2020-04-04 23:50:00,,2020-04-04,0
3,0,0,3,2020-04-03 23:30:00,,2020-04-03,0
3,0,0,3,2020-04-02 23:30:00,,2020-04-02,0
3,0,0,3,2020-04-01 23:00:00,,2020-04-01,0
3,0,0,3,2020-03-31 23:30:00,,2020-03-31,0
3,0,0,3,2020-03-30 22:30:00,,2020-03-30,1
2,0,0,2,2020-03-29 23:10:00,,2020-03-29,0
2,0,0,2,2020-03-28 23:30:00,,2020-03-28,0
2,0,0,2,2020-03-27 23:30:00,,2020-03-27,0
2,0,0,2,2020-03-26 22:40:00,,2020-03-26,0
2,0,0,2,2020-03-25 22:00:00,,2020-03-25,0
