Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
138,124,1,13,2020-05-01 21:43:00,2020-05-01,0
138,124,1,13,2020-04-28 20:02:00,2020-04-28,0
138,124,1,13,2020-04-27 14:50:00,2020-04-27,0
138,123,1,14,2020-04-26 15:29:00,2020-04-26,0
138,121,1,16,2020-04-25 17:01:00,2020-04-25,0
138,119,1,18,2020-04-24 15:23:00,2020-04-24,0
138,117,1,20,2020-04-23 16:20:00,2020-04-23,0
138,117,1,20,2020-04-22 16:22:00,2020-04-22,0
138,116,1,21,2020-04-21 17:14:00,2020-04-21,0
138,116,1,21,2020-04-20 16:35:00,2020-04-20,1
137,113,1,23,2020-04-19 16:30:00,2020-04-19,1
136,112,1,23,2020-04-18 15:07:00,2020-04-18,0
136,112,1,23,2020-04-17 22:01:00,2020-04-17,0
136,108,1,27,2020-04-16 21:38:00,2020-04-16,0
136,108,1,27,2020-04-15 20:35:00,2020-04-15,0
136,107,1,28,2020-04-14 23:37:00,2020-04-14,0
136,107,1,28,2020-04-13 21:50:00,2020-04-13,0
136,104,1,31,2020-04-12 21:08:00,2020-04-12,0
136,104,1,31,2020-04-11 07:00:00,2020-04-11,0
136,99,1,36,2020-04-10 22:00:00,2020-04-10,1
135,92,1,42,2020-04-09 22:00:00,2020-04-09,0
135,91,1,43,2020-04-08 23:00:00,2020-04-08,0
135,85,1,49,2020-04-07 23:00:00,2020-04-07,0
135,82,1,52,2020-04-06 23:00:00,2020-04-06,0
135,73,1,61,2020-04-05 23:00:00,2020-04-05,0
135,66,1,68,2020-04-04 23:50:00,2020-04-04,1
134,65,1,68,2020-04-03 23:30:00,2020-04-03,1
133,56,1,76,2020-04-02 23:30:00,2020-04-02,2
131,52,1,78,2020-04-01 23:00:00,2020-04-01,2
129,45,1,83,2020-03-31 23:30:00,2020-03-31,2
127,38,1,88,2020-03-30 22:30:00,2020-03-30,1
126,34,1,91,2020-03-29 23:10:00,2020-03-29,6
120,25,1,94,2020-03-28 23:30:00,2020-03-28,5
115,11,1,103,2020-03-27 23:30:00,2020-03-27,1
114,5,0,109,2020-03-26 22:40:00,2020-03-26,5
109,2,0,107,2020-03-25 22:00:00,2020-03-25,5
104,2,0,102,2020-03-24 22:30:00,2020-03-24,13
91,2,0,89,2020-03-23 23:40:00,2020-03-23,3
88,2,0,86,2020-03-22 22:30:00,2020-03-22,5
83,1,0,82,2020-03-21 23:30:00,2020-03-21,5
78,1,0,77,2020-03-20 22:45:00,2020-03-20,5
73,0,0,73,2020-03-19 23:30:00,2020-03-19,5
68,0,0,68,2020-03-18 23:30:00,2020-03-18,12
56,0,0,56,2020-03-17 22:30:00,2020-03-17,2
54,0,0,54,2020-03-16 22:00:00,2020-03-16,4
50,0,0,50,2020-03-15 23:30:00,2020-03-15,10
40,0,0,40,2020-03-14 22:30:00,2020-03-14,3
37,0,0,37,2020-03-13 22:00:00,2020-03-13,12
25,0,0,25,2020-03-12 22:00:00,2020-03-12,14
11,0,0,11,2020-03-11 22:30:00,2020-03-11,5
6,0,0,6,2020-03-10 23:00:00,2020-03-10,5
1,0,0,1,2020-03-09 22:30:00,2020-03-09,1
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
