Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
56,1,1,54,2020-04-17 13:18:00,,2020-04-17,0
56,1,1,54,2020-04-16 21:38:00,,2020-04-16,0
56,1,1,54,2020-04-15 20:35:00,,2020-04-15,46
10,1,1,8,2020-04-14 23:37:00,,2020-04-14,0
10,1,1,8,2020-04-13 21:50:00,,2020-04-13,2
8,1,1,6,2020-04-12 21:08:00,,2020-04-12,1
7,1,1,5,2020-04-11 07:00:00,,2020-04-11,0
7,1,1,5,2020-04-10 22:00:00,,2020-04-10,0
7,1,1,5,2020-04-09 22:00:00,,2020-04-09,0
7,1,1,5,2020-04-08 23:00:00,,2020-04-08,0
7,1,1,5,2020-04-07 23:00:00,,2020-04-07,0
7,1,1,5,2020-04-06 23:00:00,,2020-04-06,0
7,0,1,6,2020-04-05 23:00:00,,2020-04-05,0
7,0,1,6,2020-04-04 23:50:00,,2020-04-04,1
6,0,1,5,2020-04-03 23:30:00,,2020-04-03,0
6,0,1,5,2020-04-02 23:30:00,,2020-04-02,0
6,0,1,5,2020-04-01 23:00:00,,2020-04-01,0
6,0,1,5,2020-03-31 23:30:00,,2020-03-31,0
6,0,1,5,2020-03-30 22:30:00,,2020-03-30,0
6,0,1,5,2020-03-29 23:10:00,,2020-03-29,0
6,0,1,5,2020-03-28 23:30:00,,2020-03-28,1
5,0,1,4,2020-03-27 23:30:00,,2020-03-27,0
5,0,1,4,2020-03-26 22:40:00,,2020-03-26,1
4,0,1,3,2020-03-25 22:00:00,,2020-03-25,1
3,0,1,2,2020-03-24 22:30:00,,2020-03-24,0
3,0,0,3,2020-03-23 23:40:00,,2020-03-23,0
3,0,0,3,2020-03-22 22:30:00,,2020-03-22,0
3,0,0,3,2020-03-21 23:30:00,,2020-03-21,2
1,0,0,1,2020-03-20 22:45:00,,2020-03-20,0
