Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
996,164,22,810,2020-04-17 22:01:00,,2020-04-17,148
848,165,17,666,2020-04-16 21:38:00,,2020-04-16,0
848,165,17,666,2020-04-15 20:35:00,,2020-04-15,0
848,130,14,704,2020-04-14 23:37:00,,2020-04-14,28
820,98,12,710,2020-04-13 21:50:00,,2020-04-13,0
820,98,12,710,2020-04-12 21:08:00,,2020-04-12,0
820,98,12,710,2020-04-11 07:00:00,,2020-04-11,0
820,98,12,710,2020-04-10 22:00:00,,2020-04-10,17
803,61,12,730,2020-04-09 22:00:00,,2020-04-09,73
730,60,10,660,2020-04-08 23:00:00,,2020-04-08,45
685,60,9,616,2020-04-07 23:00:00,,2020-04-07,27
658,17,9,632,2020-04-06 23:00:00,,2020-04-06,8
650,17,9,624,2020-04-05 23:00:00,,2020-04-05,95
555,17,9,529,2020-04-04 23:50:00,,2020-04-04,46
509,17,8,484,2020-04-03 23:30:00,,2020-04-03,203
306,10,7,289,2020-04-02 23:30:00,,2020-04-02,73
233,10,6,217,2020-04-01 23:00:00,,2020-04-01,40
193,5,6,182,2020-03-31 23:30:00,,2020-03-31,54
139,5,6,128,2020-03-30 22:30:00,,2020-03-30,0
139,5,6,128,2020-03-29 23:10:00,,2020-03-29,48
91,2,2,87,2020-03-28 23:30:00,,2020-03-28,0
91,2,2,87,2020-03-27 23:30:00,,2020-03-27,16
75,2,1,72,2020-03-26 22:40:00,,2020-03-26,0
75,2,1,72,2020-03-25 22:00:00,,2020-03-25,9
66,2,1,63,2020-03-24 22:30:00,,2020-03-24,10
56,2,0,54,2020-03-23 23:40:00,,2020-03-23,16
40,2,0,38,2020-03-22 22:30:00,,2020-03-22,0
40,2,0,38,2020-03-21 23:30:00,,2020-03-21,13
27,2,0,25,2020-03-20 22:45:00,,2020-03-20,14
13,0,0,13,2020-03-19 23:30:00,,2020-03-19,0
13,0,0,13,2020-03-18 23:30:00,,2020-03-18,3
10,0,0,10,2020-03-17 22:30:00,,2020-03-17,5
5,0,0,5,2020-03-16 22:00:00,,2020-03-16,1
4,0,0,4,2020-03-15 23:30:00,,2020-03-15,2
2,0,0,2,2020-03-14 22:30:00,,2020-03-14,0
2,0,0,2,2020-03-13 22:00:00,,2020-03-13,0
2,0,0,2,2020-03-12 22:00:00,,2020-03-12,0
2,0,0,2,2020-03-11 22:30:00,,2020-03-11,0
2,0,0,2,2020-03-10 23:00:00,,2020-03-10,0
2,0,0,2,2020-03-09 22:30:00,,2020-03-09,0
2,0,0,2,2020-03-08 22:00:00,,2020-03-08,0
2,0,0,2,2020-03-07 22:00:00,,2020-03-07,1
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
