Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
62046,26993,4043,31010,2020-05-06 17:43:00,2020-05-06,8389
53657,22043,3223,28391,2020-05-01 21:43:00,2020-05-01,5157
48500,18268,2707,27525,2020-04-28 20:02:00,2020-04-28,1605
46895,17321,2560,27014,2020-04-27 14:50:00,2020-04-27,1541
45354,16425,2465,26464,2020-04-26 15:29:00,2020-04-26,1466
43888,15469,2302,26117,2020-04-25 17:01:00,2020-04-25,1778
42110,14761,2147,25202,2020-04-24 15:23:00,2020-04-24,1920
40190,13986,1974,24230,2020-04-23 16:20:00,2020-04-23,1768
38422,13188,1834,23400,2020-04-22 16:22:00,2020-04-22,1591
36831,12586,1690,22555,2020-04-21 17:14:00,2020-04-21,1775
35056,11843,1587,21626,2020-04-20 16:35:00,2020-04-20,1673
33383,11207,1470,20706,2020-04-19 16:30:00,2020-04-19,1456
31927,10543,1310,20074,2020-04-18 15:07:00,2020-04-18,1257
30670,10091,1251,19328,2020-04-17 22:01:00,2020-04-17,1777
28893,9271,1048,18574,2020-04-16 21:38:00,2020-04-16,1830
27063,8235,903,17925,2020-04-15 20:35:00,2020-04-15,166
26897,8172,898,17827,2020-04-14 23:37:00,2020-04-14,2093
24804,7172,717,16915,2020-04-13 21:50:00,2020-04-13,1486
23318,6428,653,16237,2020-04-12 21:08:00,2020-04-12,1183
22135,6013,569,15553,2020-04-11 07:00:00,2020-04-11,0
22135,6013,569,15553,2020-04-10 22:00:00,2020-04-10,1401
20734,5187,508,15039,2020-04-09 22:00:00,2020-04-09,1457
19277,4646,435,14196,2020-04-08 23:00:00,2020-04-08,1393
17884,4037,380,13467,2020-04-07 23:00:00,2020-04-07,1230
16654,3613,322,12719,2020-04-06 23:00:00,2020-04-06,796
15858,3054,280,12524,2020-04-05 23:00:00,2020-04-05,1849
14009,2587,233,11189,2020-04-04 23:50:00,2020-04-04,1477
12532,2321,187,10024,2020-04-03 23:30:00,2020-04-03,1261
11271,1971,138,9162,2020-04-02 23:30:00,2020-04-02,1553
9718,1435,111,8172,2020-04-01 23:00:00,2020-04-01,1140
8578,1242,101,7235,2020-03-31 23:30:00,2020-03-31,1143
7435,1114,88,6233,2020-03-30 22:30:00,2020-03-30,1128
6307,573,63,5671,2020-03-29 23:10:00,2020-03-29,665
5642,396,60,5186,2020-03-28 23:30:00,2020-03-28,895
4747,354,55,4338,2020-03-27 23:30:00,2020-03-27,714
4033,228,37,3768,2020-03-26 22:40:00,2020-03-26,642
3391,110,34,3247,2020-03-25 22:00:00,2020-03-25,609
2782,110,26,2646,2020-03-24 22:30:00,2020-03-24,704
2078,10,24,2044,2020-03-23 23:40:00,2020-03-23,619
1459,10,20,1429,2020-03-22 22:30:00,2020-03-22,141
1318,9,19,1290,2020-03-21 23:30:00,2020-03-21,243
1075,9,12,1054,2020-03-20 22:45:00,2020-03-20,213
862,9,12,841,2020-03-19 23:30:00,2020-03-19,144
718,9,9,700,2020-03-18 23:30:00,2020-03-18,129
589,9,8,572,2020-03-17 22:30:00,2020-03-17,156
433,9,4,420,2020-03-16 22:00:00,2020-03-16,96
337,8,1,328,2020-03-15 23:30:00,2020-03-15,88
249,8,1,240,2020-03-14 22:30:00,2020-03-14,52
197,8,1,188,2020-03-13 22:00:00,2020-03-13,40
157,6,1,150,2020-03-12 22:00:00,2020-03-12,40
117,6,1,110,2020-03-11 22:30:00,2020-03-11,24
93,6,1,86,2020-03-10 23:00:00,2020-03-10,15
78,6,1,71,2020-03-09 22:30:00,2020-03-09,12
66,6,0,60,2020-03-08 22:00:00,2020-03-08,6
60,6,0,54,2020-03-07 22:00:00,2020-03-07,8
52,6,0,46,2020-03-06 20:30:00,2020-03-06,5
47,6,0,41,2020-03-05 20:30:00,2020-03-05,13
34,6,0,28,2020-03-04 22:00:00,2020-03-04,1
33,6,0,27,2020-03-03 23:30:00,2020-03-03,6
27,6,0,21,2020-03-02 22:00:00,2020-03-02,3
24,6,0,18,2020-03-01 23:00:00,2020-03-01,4
20,6,0,14,2020-02-29 23:00:00,2020-02-29,5
15,6,0,9,2020-02-28 23:00:00,2020-02-28,1
14,3,0,11,2020-02-27 22:00:00,2020-02-27,2
12,3,0,9,2020-02-26 23:30:00,2020-02-26,1
11,3,0,8,2020-02-25 22:00:00,2020-02-25,0
11,3,0,8,2020-02-24 23:00:00,2020-02-24,1
10,3,0,7,2020-02-23 22:00:00,2020-02-23,1
9,1,0,8,2020-02-22 23:00:00,2020-02-22,0
9,1,0,8,2020-02-21 23:00:00,2020-02-21,0
9,1,0,8,2020-02-20 22:00:00,2020-02-20,1
8,1,0,7,2020-02-19 23:00:00,2020-02-19,0
8,1,0,7,2020-02-18 23:00:00,2020-02-18,0
8,1,0,7,2020-02-17 23:00:00,2020-02-17,0
8,1,0,7,2020-02-16 22:30:00,2020-02-16,0
8,1,0,7,2020-02-15 23:00:00,2020-02-15,0
8,1,0,7,2020-02-14 23:00:00,2020-02-14,1
7,1,0,6,2020-02-13 22:00:00,2020-02-13,0
7,0,0,7,2020-02-12 21:30:00,2020-02-12,0
7,0,0,7,2020-02-11 23:00:00,2020-02-11,0
7,0,0,7,2020-02-10 22:30:00,2020-02-10,0
7,0,0,7,2020-02-09 23:00:00,2020-02-09,0
7,0,0,7,2020-02-08 22:00:00,2020-02-08,0
7,0,0,7,2020-02-07 23:00:00,2020-02-07,0
7,0,0,7,2020-02-06 21:30:00,2020-02-06,2
5,0,0,5,2020-02-05 23:00:00,2020-02-05,1
4,0,0,4,2020-02-04 20:00:00,2020-02-04,0
4,0,0,4,2020-02-03 20:00:00,2020-02-03,0
4,0,0,4,2020-02-02 22:00:00,2020-02-02,0
4,0,0,4,2020-02-01 23:00:00,2020-02-01,1
3,0,0,3,2020-01-31 19:00:00,2020-01-31,0
3,0,0,3,2020-01-30 21:30:00,2020-01-30,0
3,0,0,3,2020-01-29 21:00:00,2020-01-29,1
2,0,0,2,2020-01-28 23:00:00,2020-01-28,1
1,0,0,1,2020-01-27 20:30:00,2020-01-27,0
1,0,0,1,2020-01-26 23:00:00,2020-01-26,1
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
