Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
54,6,1,47,2020-04-15 14:50:00,,2020-04-15,0
54,6,1,47,2020-04-14 23:37:00,,2020-04-14,1
53,6,1,46,2020-04-13 21:50:00,,2020-04-13,0
53,6,1,46,2020-04-12 21:08:00,,2020-04-12,8
45,6,1,38,2020-04-11 07:00:00,,2020-04-11,0
45,6,1,38,2020-04-10 22:00:00,,2020-04-10,0
45,6,1,38,2020-04-09 22:00:00,,2020-04-09,0
45,6,1,38,2020-04-08 23:00:00,,2020-04-08,0
45,6,1,38,2020-04-07 23:00:00,,2020-04-07,6
39,1,1,37,2020-04-06 23:00:00,,2020-04-06,0
39,1,1,37,2020-04-05 23:00:00,,2020-04-05,4
35,1,1,33,2020-04-04 23:50:00,,2020-04-04,6
29,1,1,27,2020-04-03 23:30:00,,2020-04-03,1
28,0,1,27,2020-04-02 23:30:00,,2020-04-02,6
22,0,1,21,2020-04-01 23:00:00,,2020-04-01,8
14,0,1,13,2020-03-31 23:30:00,,2020-03-31,2
12,0,1,11,2020-03-30 22:30:00,,2020-03-30,0
12,0,1,11,2020-03-29 23:10:00,,2020-03-29,4
8,0,1,7,2020-03-28 23:30:00,,2020-03-28,0
8,0,1,7,2020-03-27 23:30:00,,2020-03-27,0
8,0,1,7,2020-03-26 22:40:00,,2020-03-26,0
8,0,1,7,2020-03-25 22:00:00,,2020-03-25,2
6,0,1,5,2020-03-24 22:30:00,,2020-03-24,1
5,0,1,4,2020-03-23 23:40:00,,2020-03-23,2
3,0,1,2,2020-03-22 22:30:00,,2020-03-22,0
3,0,1,2,2020-03-21 23:30:00,,2020-03-21,0
3,0,1,2,2020-03-20 22:45:00,,2020-03-20,0
3,0,1,2,2020-03-19 23:30:00,,2020-03-19,2
1,0,1,0,2020-03-18 23:30:00,,2020-03-18,0
1,0,1,0,2020-03-17 22:30:00,,2020-03-17,0
1,0,1,0,2020-03-16 22:00:00,,2020-03-16,0
1,0,0,1,2020-03-15 23:30:00,,2020-03-15,0
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
1,0,0,1,2020-03-13 22:00:00,,2020-03-13,0
