Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
470,73,20,377,2020-04-19 00:12:00,,2020-04-19,0
470,73,20,377,2020-04-18 15:07:00,,2020-04-18,0
470,73,20,377,2020-04-17 22:01:00,,2020-04-17,23
447,69,15,363,2020-04-16 21:38:00,,2020-04-16,2
445,69,13,363,2020-04-15 20:35:00,,2020-04-15,9
436,48,9,379,2020-04-14 23:37:00,,2020-04-14,5
431,48,9,374,2020-04-13 21:50:00,,2020-04-13,24
407,48,9,350,2020-04-12 21:08:00,,2020-04-12,9
398,40,9,349,2020-04-11 07:00:00,,2020-04-11,0
398,40,9,349,2020-04-10 22:00:00,,2020-04-10,37
361,40,8,313,2020-04-09 22:00:00,,2020-04-09,10
351,38,8,305,2020-04-08 23:00:00,,2020-04-08,16
335,34,7,294,2020-04-07 23:00:00,,2020-04-07,12
323,27,7,289,2020-04-06 23:00:00,,2020-04-06,14
309,27,6,276,2020-04-05 23:00:00,,2020-04-05,47
262,13,5,244,2020-04-04 23:50:00,,2020-04-04,30
232,13,4,215,2020-04-03 23:30:00,,2020-04-03,39
193,0,3,190,2020-04-02 23:30:00,,2020-04-02,21
172,0,3,169,2020-04-01 23:00:00,,2020-04-01,31
141,0,3,138,2020-03-31 23:30:00,,2020-03-31,0
141,0,2,139,2020-03-30 22:30:00,,2020-03-30,33
108,0,2,106,2020-03-29 23:10:00,,2020-03-29,11
97,0,1,96,2020-03-28 23:30:00,,2020-03-28,9
88,0,1,87,2020-03-27 23:30:00,,2020-03-27,22
66,0,1,65,2020-03-26 22:40:00,,2020-03-26,20
46,0,0,46,2020-03-25 22:00:00,,2020-03-25,10
36,0,0,36,2020-03-24 22:30:00,,2020-03-24,0
36,0,0,36,2020-03-23 23:40:00,,2020-03-23,4
32,0,0,32,2020-03-22 22:30:00,,2020-03-22,0
32,0,0,32,2020-03-21 23:30:00,,2020-03-21,20
12,0,0,12,2020-03-20 22:45:00,,2020-03-20,1
11,0,0,11,2020-03-19 23:30:00,,2020-03-19,4
7,0,0,7,2020-03-18 23:30:00,,2020-03-18,1
6,0,0,6,2020-03-17 22:30:00,,2020-03-17,0
6,0,0,6,2020-03-16 22:00:00,,2020-03-16,3
3,0,0,3,2020-03-15 23:30:00,,2020-03-15,0
3,0,0,3,2020-03-14 22:30:00,,2020-03-14,0
3,0,0,3,2020-03-13 22:00:00,,2020-03-13,0
3,0,0,3,2020-03-12 22:00:00,,2020-03-12,1
2,0,0,2,2020-03-11 22:30:00,,2020-03-11,0
2,0,0,2,2020-03-10 23:00:00,,2020-03-10,1
1,0,0,1,2020-03-09 22:30:00,,2020-03-09,0
