Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
10088,4338,133,5617,2020-04-20 00:24:00,2020-04-20,358
9730,4035,126,5569,2020-04-19 16:30:00,2020-04-19,478
9252,3621,116,5515,2020-04-18 15:07:00,2020-04-18,0
9252,3299,116,5837,2020-04-17 22:01:00,2020-04-17,445
8807,3299,105,5403,2020-04-16 21:38:00,2020-04-16,890
7917,2646,92,5179,2020-04-15 20:35:00,2020-04-15,0
7917,2646,92,5179,2020-04-14 23:37:00,2020-04-14,392
7525,2367,82,5076,2020-04-13 21:50:00,2020-04-13,598
6927,1864,73,4990,2020-04-12 21:08:00,2020-04-12,426
6501,1571,65,4865,2020-04-11 07:00:00,2020-04-11,0
6501,1571,65,4865,2020-04-10 22:00:00,2020-04-10,529
5972,1274,57,4641,2020-04-09 22:00:00,2020-04-09,426
5546,1115,48,4383,2020-04-08 23:00:00,2020-04-08,430
5116,898,43,4175,2020-04-07 23:00:00,2020-04-07,301
4815,728,37,4050,2020-04-06 23:00:00,2020-04-06,344
4471,618,34,3819,2020-04-05 23:00:00,2020-04-05,310
4161,528,27,3606,2020-04-04 23:50:00,2020-04-04,424
3737,427,22,3288,2020-04-03 23:30:00,2020-04-03,333
3404,335,18,3051,2020-04-02 23:30:00,2020-04-02,373
3031,234,16,2781,2020-04-01 23:00:00,2020-04-01,293
2738,156,12,2570,2020-03-31 23:30:00,2020-03-31,289
2449,156,8,2285,2020-03-30 22:30:00,2020-03-30,310
2139,75,7,2057,2020-03-29 23:10:00,2020-03-29,230
1909,61,6,1842,2020-03-28 23:30:00,2020-03-28,299
1610,43,5,1562,2020-03-27 23:30:00,2020-03-27,304
1306,22,4,1280,2020-03-26 22:40:00,2020-03-26,164
1142,22,3,1117,2020-03-25 22:00:00,2020-03-25,220
922,17,2,903,2020-03-24 22:30:00,2020-03-24,176
746,11,2,733,2020-03-23 23:40:00,2020-03-23,114
632,8,1,623,2020-03-22 22:30:00,2020-03-22,95
537,8,1,528,2020-03-21 23:30:00,2020-03-21,103
434,6,0,428,2020-03-20 22:45:00,2020-03-20,92
342,0,0,342,2020-03-19 23:30:00,2020-03-19,104
238,0,0,238,2020-03-18 23:30:00,2020-03-18,37
201,0,0,201,2020-03-17 22:30:00,2020-03-17,45
156,0,0,156,2020-03-16 22:00:00,2020-03-16,81
75,0,0,75,2020-03-15 23:30:00,2020-03-15,14
61,0,0,61,2020-03-14 22:30:00,2020-03-14,18
43,0,0,43,2020-03-13 22:00:00,2020-03-13,10
33,0,0,33,2020-03-12 22:00:00,2020-03-12,10
23,0,0,23,2020-03-11 22:30:00,2020-03-11,6
17,0,0,17,2020-03-10 23:00:00,2020-03-10,4
13,0,0,13,2020-03-09 22:30:00,2020-03-09,3
10,0,0,10,2020-03-08 22:00:00,2020-03-08,3
7,0,0,7,2020-03-07 22:00:00,2020-03-07,2
5,0,0,5,2020-03-06 20:30:00,2020-03-06,1
4,0,0,4,2020-03-05 20:30:00,2020-03-05,1
3,0,0,3,2020-03-04 22:00:00,2020-03-04,2
1,0,0,1,2020-03-03 23:30:00,2020-03-03,1
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
