Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
83747,78414,3355,1978,2020-04-15 20:35:00,2020-04-15,50
83697,78262,3351,2084,2020-04-14 23:37:00,2020-04-14,92
83605,78185,3351,2069,2020-04-13 21:50:00,2020-04-13,82
83523,78062,3349,2112,2020-04-12 21:08:00,2020-04-12,1553
81970,77528,3339,1103,2020-04-11 07:00:00,2020-04-11,63
81907,77445,3336,1126,2020-04-10 22:00:00,2020-04-10,42
81865,77376,3335,1154,2020-04-09 22:00:00,2020-04-09,0
81865,77370,3335,1160,2020-04-08 23:00:00,2020-04-08,60
81805,77279,3332,1194,2020-04-07 23:00:00,2020-04-07,97
81708,77143,3331,1234,2020-04-06 23:00:00,2020-04-06,0
81708,77078,3331,1299,2020-04-05 23:00:00,2020-04-05,39
81669,76964,3329,1376,2020-04-04 23:50:00,2020-04-04,30
81639,76751,3326,1562,2020-04-03 23:30:00,2020-04-03,25
81614,76567,3322,1725,2020-04-02 23:30:00,2020-04-02,25
81589,76261,3312,2016,2020-04-01 23:00:00,2020-04-01,49
81540,76062,3306,2172,2020-03-31 23:30:00,2020-03-31,61
81479,76048,3305,2126,2020-03-30 22:30:00,2020-03-30,36
81443,75765,3304,2374,2020-03-29 23:10:00,2020-03-29,43
81400,74972,3295,3133,2020-03-28 23:30:00,2020-03-28,6
81394,74971,3295,3128,2020-03-27 23:30:00,2020-03-27,139
81255,74048,3287,3920,2020-03-26 22:40:00,2020-03-26,0
81255,74048,3287,3920,2020-03-25 22:00:00,2020-03-25,88
81167,73648,3280,4239,2020-03-24 22:30:00,2020-03-24,50
81117,73151,3277,4689,2020-03-23 23:40:00,2020-03-23,31
81086,72698,3270,5118,2020-03-22 22:30:00,2020-03-22,32
81054,72244,3261,5549,2020-03-21 23:30:00,2020-03-21,48
81006,71725,3255,6026,2020-03-20 22:45:00,2020-03-20,66
80940,71136,3247,6557,2020-03-19 23:30:00,2020-03-19,12
80928,70420,3245,7263,2020-03-18 23:30:00,2020-03-18,36
80892,69594,3236,8062,2020-03-17 22:30:00,2020-03-17,23
80869,68665,3225,8979,2020-03-16 22:00:00,2020-03-16,11
80858,67749,3213,9896,2020-03-15 23:30:00,2020-03-15,24
80834,66896,3199,10739,2020-03-14 22:30:00,2020-03-14,10
80824,65541,3189,12094,2020-03-13 22:00:00,2020-03-13,23
80801,64111,3176,13514,2020-03-12 22:00:00,2020-03-12,10
80791,62780,3169,14842,2020-03-11 22:30:00,2020-03-11,13
80778,61459,3158,16161,2020-03-10 23:00:00,2020-03-10,24
80754,59884,3136,17734,2020-03-09 22:30:00,2020-03-09,19
80735,58587,3119,19029,2020-03-08 22:00:00,2020-03-08,40
80695,57053,3097,20545,2020-03-07 22:00:00,2020-03-07,44
80651,55392,3070,22189,2020-03-06 20:30:00,2020-03-06,100
80551,53714,3042,23795,2020-03-05 20:30:00,2020-03-05,143
80408,52034,3012,25362,2020-03-04 22:00:00,2020-03-04,142
80266,49853,2981,27432,2020-03-03 23:30:00,2020-03-03,122
80144,47192,2943,30009,2020-03-02 22:00:00,2020-03-02,118
80026,44463,2912,32651,2020-03-01 23:00:00,2020-03-01,203
79823,41633,2870,35320,2020-02-29 23:00:00,2020-02-29,572
79251,39000,2835,37416,2020-02-28 23:00:00,2020-02-28,427
78824,36116,2788,39920,2020-02-27 22:00:00,2020-02-27,328
78496,32537,2744,43215,2020-02-26 23:30:00,2020-02-26,432
78064,29746,2715,45603,2020-02-25 22:00:00,2020-02-25,406
77658,27417,2663,47578,2020-02-24 23:00:00,2020-02-24,508
77150,24735,2592,49823,2020-02-23 22:00:00,2020-02-23,214
76936,22929,2442,51565,2020-02-22 23:00:00,2020-02-22,646
76290,20660,2344,53286,2020-02-21 23:00:00,2020-02-21,1046
75244,18265,2236,54743,2020-02-20 22:00:00,2020-02-20,668
74576,16178,2118,56280,2020-02-19 23:00:00,2020-02-19,393
74183,14377,2004,57802,2020-02-18 23:00:00,2020-02-18,1745
72438,12615,1868,57955,2020-02-17 23:00:00,2020-02-17,1888
70550,10854,1770,57926,2020-02-16 22:30:00,2020-02-16,2050
68500,9516,1665,57319,2020-02-15 23:00:00,2020-02-15,2016
66484,8168,1523,56793,2020-02-14 23:00:00,2020-02-14,2640
63844,6728,1380,55736,2020-02-13 22:00:00,2020-02-13,4040
59804,5918,1366,52520,2020-02-12 21:30:00,2020-02-12,15139
44665,4768,1113,38784,2020-02-11 23:00:00,2020-02-11,2021
42644,4014,1015,37615,2020-02-10 22:30:00,2020-02-10,2484
40160,3328,908,35924,2020-02-09 23:00:00,2020-02-09,2986
37174,2673,811,33690,2020-02-08 22:00:00,2020-02-08,2605
34569,2062,722,31785,2020-02-07 23:00:00,2020-02-07,3439
31130,1537,636,28957,2020-02-06 21:30:00,2020-02-06,3113
28017,1189,563,26265,2020-02-05 23:00:00,2020-02-05,4159
23858,882,490,22486,2020-02-04 20:00:00,2020-02-04,3844
20014,624,425,18965,2020-02-03 20:00:00,2020-02-03,2824
17190,477,361,16352,2020-02-02 22:00:00,2020-02-02,2815
14375,331,304,13740,2020-02-01 23:00:00,2020-02-01,3154
11221,241,259,10721,2020-01-31 19:00:00,2020-01-31,1563
9658,179,213,9266,2020-01-30 21:30:00,2020-01-30,1980
7678,127,170,7381,2020-01-29 21:00:00,2020-01-29,1708
5970,104,132,5734,2020-01-28 23:00:00,2020-01-28,1561
4409,60,106,4243,2020-01-27 20:30:00,2020-01-27,1672
2737,51,80,2606,2020-01-26 23:00:00,2020-01-26,758
1979,49,56,1874,2020-01-25 22:00:00,2020-01-25,1063
916,36,26,854,2020-01-24 12:00:00,2020-01-24,277
639,30,18,591,2020-01-23 00:00:00,2020-01-23,90
549,0,17,532,2020-01-22 00:00:00,2020-01-22,222
327,0,6,321,2020-01-21 00:00:00,2020-01-21,0
