Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
5597,1210,253,4134,2020-04-28 20:02:00,2020-04-28,218
5379,1133,244,4002,2020-04-27 14:50:00,2020-04-27,237
5142,1067,233,3842,2020-04-26 15:29:00,2020-04-26,261
4881,1003,225,3653,2020-04-25 17:01:00,2020-04-25,320
4561,927,215,3419,2020-04-24 15:23:00,2020-04-24,205
4356,870,206,3280,2020-04-23 16:20:00,2020-04-23,207
4149,804,196,3149,2020-04-22 16:22:00,2020-04-22,172
3977,804,189,2984,2020-04-21 17:14:00,2020-04-21,185
3792,711,179,2902,2020-04-20 16:35:00,2020-04-20,171
3621,691,166,2764,2020-04-19 16:30:00,2020-04-19,182
3439,634,153,2652,2020-04-18 15:07:00,2020-04-18,206
3233,550,144,2539,2020-04-17 22:01:00,2020-04-17,128
3105,452,131,2522,2020-04-16 21:38:00,2020-04-16,126
2979,354,127,2498,2020-04-15 20:35:00,2020-04-15,127
2852,319,112,2421,2020-04-14 23:37:00,2020-04-14,76
2776,270,109,2397,2020-04-13 21:50:00,2020-04-13,67
2709,214,100,2395,2020-04-12 21:08:00,2020-04-12,236
2473,197,80,2196,2020-04-11 07:00:00,2020-04-11,0
2473,197,80,2196,2020-04-10 22:00:00,2020-04-10,250
2223,174,69,1980,2020-04-09 22:00:00,2020-04-09,169
2054,123,55,1876,2020-04-08 23:00:00,2020-04-08,274
1780,100,50,1630,2020-04-07 23:00:00,2020-04-07,201
1579,88,46,1445,2020-04-06 23:00:00,2020-04-06,94
1485,88,35,1362,2020-04-05 23:00:00,2020-04-05,79
1406,85,32,1289,2020-04-04 23:50:00,2020-04-04,139
1267,55,25,1187,2020-04-03 23:30:00,2020-04-03,106
1161,55,19,1087,2020-04-02 23:30:00,2020-04-02,96
1065,39,17,1009,2020-04-01 23:00:00,2020-04-01,159
906,31,16,859,2020-03-31 23:30:00,2020-03-31,108
798,15,14,769,2020-03-30 22:30:00,2020-03-30,96
702,10,10,682,2020-03-29 23:10:00,2020-03-29,94
608,10,6,592,2020-03-28 23:30:00,2020-03-28,69
539,10,6,523,2020-03-27 23:30:00,2020-03-27,48
491,8,6,477,2020-03-26 22:40:00,2020-03-26,21
470,8,4,458,2020-03-25 22:00:00,2020-03-25,92
378,6,3,369,2020-03-24 22:30:00,2020-03-24,72
306,6,3,297,2020-03-23 23:40:00,2020-03-23,75
231,3,2,226,2020-03-22 22:30:00,2020-03-22,35
196,2,0,194,2020-03-21 23:30:00,2020-03-21,38
158,1,0,157,2020-03-20 22:45:00,2020-03-20,30
128,1,0,127,2020-03-19 23:30:00,2020-03-19,26
102,1,0,101,2020-03-18 23:30:00,2020-03-18,37
65,1,0,64,2020-03-17 22:30:00,2020-03-17,11
54,1,0,53,2020-03-16 22:00:00,2020-03-16,20
34,0,0,34,2020-03-15 23:30:00,2020-03-15,10
24,0,0,24,2020-03-14 22:30:00,2020-03-14,8
16,0,0,16,2020-03-13 22:00:00,2020-03-13,7
9,0,0,9,2020-03-12 22:00:00,2020-03-12,0
9,0,0,9,2020-03-11 22:30:00,2020-03-11,6
3,0,0,3,2020-03-10 23:00:00,2020-03-10,0
3,0,0,3,2020-03-09 22:30:00,2020-03-09,2
1,0,0,1,2020-03-08 22:00:00,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,2020-03-06,1
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
