Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
687,216,6,465,2020-04-25 17:01:00,2020-04-25,1
686,196,6,484,2020-04-24 15:23:00,2020-04-24,5
681,180,6,495,2020-04-23 16:20:00,2020-04-23,12
669,150,6,513,2020-04-22 16:22:00,2020-04-22,7
662,124,6,532,2020-04-21 17:14:00,2020-04-21,2
660,112,5,543,2020-04-20 16:35:00,2020-04-20,5
655,97,4,554,2020-04-19 16:30:00,2020-04-19,6
649,88,4,557,2020-04-18 15:07:00,2020-04-18,7
642,74,4,564,2020-04-17 22:01:00,2020-04-17,16
626,67,4,555,2020-04-16 21:38:00,2020-04-16,8
618,66,3,549,2020-04-15 20:35:00,2020-04-15,6
612,62,3,547,2020-04-14 23:37:00,2020-04-14,17
595,56,3,536,2020-04-13 21:50:00,2020-04-13,18
577,49,3,525,2020-04-12 21:08:00,2020-04-12,19
558,42,3,513,2020-04-11 07:00:00,2020-04-11,0
558,42,3,513,2020-04-10 22:00:00,2020-04-10,19
539,30,3,506,2020-04-09 22:00:00,2020-04-09,37
502,29,3,470,2020-04-08 23:00:00,2020-04-08,19
483,24,2,457,2020-04-07 23:00:00,2020-04-07,16
467,18,2,447,2020-04-06 23:00:00,2020-04-06,13
454,16,2,436,2020-04-05 23:00:00,2020-04-05,19
435,13,2,420,2020-04-04 23:50:00,2020-04-04,19
416,11,2,403,2020-04-03 23:30:00,2020-04-03,20
396,6,2,388,2020-04-02 23:30:00,2020-04-02,21
375,4,2,369,2020-04-01 23:00:00,2020-04-01,28
347,4,2,341,2020-03-31 23:30:00,2020-03-31,17
330,4,2,324,2020-03-30 22:30:00,2020-03-30,16
314,3,2,309,2020-03-29 23:10:00,2020-03-29,19
295,3,2,290,2020-03-28 23:30:00,2020-03-28,32
263,3,2,258,2020-03-27 23:30:00,2020-03-27,32
231,2,2,227,2020-03-26 22:40:00,2020-03-26,30
201,2,2,197,2020-03-25 22:00:00,2020-03-25,24
177,2,2,173,2020-03-24 22:30:00,2020-03-24,19
158,2,2,154,2020-03-23 23:40:00,2020-03-23,24
134,2,2,130,2020-03-22 22:30:00,2020-03-22,17
117,2,2,113,2020-03-21 23:30:00,2020-03-21,4
113,2,2,109,2020-03-20 22:45:00,2020-03-20,24
89,0,1,88,2020-03-19 23:30:00,2020-03-19,20
69,0,1,68,2020-03-18 23:30:00,2020-03-18,19
50,0,0,50,2020-03-17 22:30:00,2020-03-17,9
41,0,0,41,2020-03-16 22:00:00,2020-03-16,6
35,0,0,35,2020-03-15 23:30:00,2020-03-15,8
27,0,0,27,2020-03-14 22:30:00,2020-03-14,4
23,0,0,23,2020-03-13 22:00:00,2020-03-13,0
23,0,0,23,2020-03-12 22:00:00,2020-03-12,1
22,0,0,22,2020-03-11 22:30:00,2020-03-11,9
13,0,0,13,2020-03-10 23:00:00,2020-03-10,4
9,0,0,9,2020-03-09 22:30:00,2020-03-09,0
9,0,0,9,2020-03-08 22:00:00,2020-03-08,8
1,0,0,1,2020-03-07 22:00:00,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,2020-03-05,1
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
