Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1871,709,47,1115,2020-04-20 00:24:00,2020-04-20,39
1832,615,39,1178,2020-04-19 16:30:00,2020-04-19,18
1814,600,36,1178,2020-04-18 15:07:00,2020-04-18,0
1814,600,36,1178,2020-04-17 22:01:00,2020-04-17,23
1791,529,35,1227,2020-04-16 21:38:00,2020-04-16,50
1741,473,34,1234,2020-04-15 20:35:00,2020-04-15,37
1704,415,31,1258,2020-04-14 23:37:00,2020-04-14,54
1650,400,25,1225,2020-04-13 21:50:00,2020-04-13,116
1534,323,21,1190,2020-04-12 21:08:00,2020-04-12,39
1495,231,21,1243,2020-04-11 07:00:00,2020-04-11,0
1495,231,21,1243,2020-04-10 22:00:00,2020-04-10,88
1407,219,20,1168,2020-04-09 22:00:00,2020-04-09,64
1343,179,19,1145,2020-04-08 23:00:00,2020-04-08,61
1282,167,18,1097,2020-04-07 23:00:00,2020-04-07,60
1222,130,16,1076,2020-04-06 23:00:00,2020-04-06,40
1182,125,15,1042,2020-04-05 23:00:00,2020-04-05,56
1126,119,12,995,2020-04-04 23:50:00,2020-04-04,47
1079,92,8,979,2020-04-03 23:30:00,2020-04-03,68
1011,88,7,916,2020-04-02 23:30:00,2020-04-02,48
963,73,6,884,2020-04-01 23:00:00,2020-04-01,96
867,67,6,794,2020-03-31 23:30:00,2020-03-31,77
790,67,6,717,2020-03-30 22:30:00,2020-03-30,77
713,55,6,652,2020-03-29 23:10:00,2020-03-29,56
657,45,5,607,2020-03-28 23:30:00,2020-03-28,71
586,37,3,546,2020-03-27 23:30:00,2020-03-27,91
495,22,3,470,2020-03-26 22:40:00,2020-03-26,53
442,22,1,419,2020-03-25 22:00:00,2020-03-25,60
382,5,1,376,2020-03-24 22:30:00,2020-03-24,67
315,5,1,309,2020-03-23 23:40:00,2020-03-23,61
254,5,1,248,2020-03-22 22:30:00,2020-03-22,48
206,5,1,200,2020-03-21 23:30:00,2020-03-21,76
130,5,1,124,2020-03-20 22:45:00,2020-03-20,20
110,5,1,104,2020-03-19 23:30:00,2020-03-19,21
89,5,0,84,2020-03-18 23:30:00,2020-03-18,20
69,5,0,64,2020-03-17 22:30:00,2020-03-17,12
57,3,0,54,2020-03-16 22:00:00,2020-03-16,8
49,2,0,47,2020-03-15 23:30:00,2020-03-15,10
39,2,0,37,2020-03-14 22:30:00,2020-03-14,7
32,1,0,31,2020-03-13 22:00:00,2020-03-13,5
27,1,0,26,2020-03-12 22:00:00,2020-03-12,8
19,0,0,19,2020-03-11 22:30:00,2020-03-11,4
15,0,0,15,2020-03-10 23:00:00,2020-03-10,2
13,0,0,13,2020-03-09 22:30:00,2020-03-09,1
12,0,0,12,2020-03-08 22:00:00,2020-03-08,0
12,0,0,12,2020-03-07 22:00:00,2020-03-07,1
11,0,0,11,2020-03-06 20:30:00,2020-03-06,1
10,0,0,10,2020-03-05 20:30:00,2020-03-05,0
10,0,0,10,2020-03-04 22:00:00,2020-03-04,1
9,0,0,9,2020-03-03 23:30:00,2020-03-03,1
8,0,0,8,2020-03-02 22:00:00,2020-03-02,1
7,0,0,7,2020-03-01 23:00:00,2020-03-01,1
6,0,0,6,2020-02-29 23:00:00,2020-02-29,1
5,0,0,5,2020-02-28 23:00:00,2020-02-28,2
3,0,0,3,2020-02-27 22:00:00,2020-02-27,0
3,0,0,3,2020-02-26 23:30:00,2020-02-26,2
1,0,0,1,2020-02-25 22:00:00,2020-02-25,1
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
