Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1389,525,56,808,2020-04-28 20:02:00,2020-04-28,20
1369,501,54,814,2020-04-27 14:50:00,2020-04-27,32
1337,437,51,849,2020-04-26 15:29:00,2020-04-26,52
1285,416,49,820,2020-04-25 17:01:00,2020-04-25,50
1235,365,43,827,2020-04-24 15:23:00,2020-04-24,46
1189,341,40,808,2020-04-23 16:20:00,2020-04-23,52
1137,309,38,790,2020-04-22 16:22:00,2020-04-22,50
1087,285,36,766,2020-04-21 17:14:00,2020-04-21,52
1035,255,34,746,2020-04-20 16:35:00,2020-04-20,49
986,227,32,727,2020-04-19 16:30:00,2020-04-19,63
923,192,31,700,2020-04-18 15:07:00,2020-04-18,0
923,171,31,721,2020-04-17 22:01:00,2020-04-17,61
862,171,27,664,2020-04-16 21:38:00,2020-04-16,96
766,132,21,613,2020-04-15 20:35:00,2020-04-15,0
766,132,21,613,2020-04-14 23:37:00,2020-04-14,40
726,121,21,584,2020-04-13 21:50:00,2020-04-13,106
620,77,16,527,2020-04-12 21:08:00,2020-04-12,56
564,51,15,498,2020-04-11 07:00:00,2020-04-11,0
564,51,15,498,2020-04-10 22:00:00,2020-04-10,49
515,28,15,472,2020-04-09 22:00:00,2020-04-09,58
457,27,12,418,2020-04-08 23:00:00,2020-04-08,61
396,27,11,358,2020-04-07 23:00:00,2020-04-07,46
350,18,9,323,2020-04-06 23:00:00,2020-04-06,30
320,15,8,297,2020-04-05 23:00:00,2020-04-05,32
288,15,6,267,2020-04-04 23:50:00,2020-04-04,19
269,15,6,248,2020-04-03 23:30:00,2020-04-03,36
233,13,6,214,2020-04-02 23:30:00,2020-04-02,21
212,12,6,194,2020-04-01 23:00:00,2020-04-01,26
186,8,6,172,2020-03-31 23:30:00,2020-03-31,16
170,4,4,162,2020-03-30 22:30:00,2020-03-30,31
139,4,3,132,2020-03-29 23:10:00,2020-03-29,20
119,4,3,112,2020-03-28 23:30:00,2020-03-28,39
80,4,2,74,2020-03-27 23:30:00,2020-03-27,13
67,1,2,64,2020-03-26 22:40:00,2020-03-26,10
57,1,1,55,2020-03-25 22:00:00,2020-03-25,9
48,1,1,46,2020-03-24 22:30:00,2020-03-24,8
40,0,1,39,2020-03-23 23:40:00,2020-03-23,5
35,0,1,34,2020-03-22 22:30:00,2020-03-22,14
21,0,1,20,2020-03-21 23:30:00,2020-03-21,0
21,0,1,20,2020-03-20 22:45:00,2020-03-20,5
16,0,1,15,2020-03-19 23:30:00,2020-03-19,6
10,0,1,9,2020-03-18 23:30:00,2020-03-18,3
7,0,0,7,2020-03-17 22:30:00,2020-03-17,3
4,0,0,4,2020-03-16 22:00:00,2020-03-16,0
4,0,0,4,2020-03-15 23:30:00,2020-03-15,0
4,0,0,4,2020-03-14 22:30:00,2020-03-14,0
4,0,0,4,2020-03-13 22:00:00,2020-03-13,1
3,0,0,3,2020-03-12 22:00:00,2020-03-12,0
3,0,0,3,2020-03-11 22:30:00,2020-03-11,3
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
