Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
14,7,1,6,2020-04-12 01:00:00,,2020-04-12,0
14,7,1,6,2020-04-11 15:30:00,,2020-04-11,0
14,7,1,6,2020-04-10 15:30:00,,2020-04-10,0
14,7,1,6,2020-04-09 15:30:00,,2020-04-09,1
13,7,1,5,2020-04-08 15:30:00,,2020-04-08,0
13,5,1,7,2020-04-07 15:30:00,,2020-04-07,2
11,5,1,5,2020-04-06 15:30:00,,2020-04-06,0
11,5,1,5,2020-04-05 15:30:00,,2020-04-05,0
11,3,1,7,2020-04-04 14:30:00,,2020-04-04,0
11,3,1,7,2020-04-03 14:30:00,,2020-04-03,0
11,3,1,7,2020-04-02 14:30:00,,2020-04-02,0
11,3,1,7,2020-04-01 23:55:00,,2020-04-01,0
11,2,1,8,2020-03-31 23:45:00,,2020-03-31,0
11,2,1,8,2020-03-30 23:45:00,,2020-03-30,3
8,2,1,5,2020-03-29 14:30:00,,2020-03-29,0
8,2,1,5,2020-03-28 14:30:00,,2020-03-28,1
7,2,1,4,2020-03-27 14:40:00,,2020-03-27,1
6,2,1,3,2020-03-26 23:55:00,,2020-03-26,0
6,0,1,5,2020-03-25 16:50:00,,2020-03-25,2
4,0,1,3,2020-03-24 23:30:00,,2020-03-24,0
4,0,1,3,2020-03-23 23:20:00,,2020-03-23,1
3,0,1,2,2020-03-22 23:50:00,,2020-03-22,0
3,0,1,2,2020-03-21 23:50:00,,2020-03-21,0
3,0,1,2,2020-03-20 23:30:00,,2020-03-20,0
3,0,1,2,2020-03-19 23:30:00,,2020-03-19,0
3,0,0,3,2020-03-18 23:30:00,,2020-03-18,0
3,0,0,3,2020-03-17 23:00:00,,2020-03-17,1
2,0,0,2,2020-03-16 23:00:00,,2020-03-16,0
2,0,0,2,2020-03-15 23:30:00,,2020-03-15,1
1,0,0,1,2020-03-14 14:30:00,,2020-03-14,0
