Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
975,807,18,150,2020-06-12 23:27:00,2020-06-12,97
878,296,15,567,2020-05-06 17:43:00,2020-05-06,21
857,296,15,546,2020-05-01 21:43:00,2020-05-01,35
822,148,15,659,2020-04-28 20:02:00,2020-04-28,5
817,148,14,655,2020-04-27 14:50:00,2020-04-27,7
810,148,14,648,2020-04-26 15:29:00,2020-04-26,6
804,98,14,692,2020-04-25 17:01:00,2020-04-25,9
795,98,13,684,2020-04-24 15:23:00,2020-04-24,5
790,98,13,679,2020-04-23 16:20:00,2020-04-23,6
784,98,12,674,2020-04-22 16:22:00,2020-04-22,12
772,81,12,679,2020-04-21 17:14:00,2020-04-21,5
767,81,12,674,2020-04-20 16:35:00,2020-04-20,6
761,79,12,670,2020-04-19 16:30:00,2020-04-19,11
750,77,12,661,2020-04-18 15:07:00,2020-04-18,0
750,77,12,661,2020-04-17 22:01:00,2020-04-17,15
735,65,12,658,2020-04-16 21:38:00,2020-04-16,40
695,65,12,618,2020-04-15 20:35:00,2020-04-15,0
695,65,12,618,2020-04-14 23:37:00,2020-04-14,33
662,65,12,585,2020-04-13 21:50:00,2020-04-13,46
616,61,10,545,2020-04-12 21:08:00,2020-04-12,21
595,58,10,527,2020-04-11 07:00:00,2020-04-11,0
595,58,10,527,2020-04-10 22:00:00,2020-04-10,31
564,53,10,501,2020-04-09 22:00:00,2020-04-09,38
526,52,9,465,2020-04-08 23:00:00,2020-04-08,32
494,47,9,438,2020-04-07 23:00:00,2020-04-07,29
465,45,9,411,2020-04-06 23:00:00,2020-04-06,19
446,37,9,400,2020-04-05 23:00:00,2020-04-05,20
426,33,9,384,2020-04-04 23:50:00,2020-04-04,30
396,28,11,357,2020-04-03 23:30:00,2020-04-03,40
356,28,10,318,2020-04-02 23:30:00,2020-04-02,36
320,28,9,283,2020-04-01 23:00:00,2020-04-01,58
262,23,8,231,2020-03-31 23:30:00,2020-03-31,32
230,22,7,201,2020-03-30 22:30:00,2020-03-30,16
214,15,6,193,2020-03-29 23:10:00,2020-03-29,35
179,15,5,159,2020-03-28 23:30:00,2020-03-28,17
162,15,5,142,2020-03-27 23:30:00,2020-03-27,16
146,4,3,139,2020-03-26 22:40:00,2020-03-26,14
132,3,3,126,2020-03-25 22:00:00,2020-03-25,8
124,3,3,118,2020-03-24 22:30:00,2020-03-24,8
116,3,1,112,2020-03-23 23:40:00,2020-03-23,21
95,3,1,91,2020-03-22 22:30:00,2020-03-22,11
84,3,1,80,2020-03-21 23:30:00,2020-03-21,9
75,0,0,75,2020-03-20 22:45:00,2020-03-20,8
67,0,0,67,2020-03-19 23:30:00,2020-03-19,9
58,0,0,58,2020-03-18 23:30:00,2020-03-18,9
49,0,0,49,2020-03-17 22:30:00,2020-03-17,3
46,0,0,46,2020-03-16 22:00:00,2020-03-16,13
33,0,0,33,2020-03-15 23:30:00,2020-03-15,7
26,0,0,26,2020-03-14 22:30:00,2020-03-14,12
14,0,0,14,2020-03-13 22:00:00,2020-03-13,4
10,0,0,10,2020-03-12 22:00:00,2020-03-12,4
6,0,0,6,2020-03-11 22:30:00,2020-03-11,4
2,0,0,2,2020-03-10 23:00:00,2020-03-10,0
2,0,0,2,2020-03-09 22:30:00,2020-03-09,2
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
