Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
459,50,28,381,2020-04-27 14:50:00,2020-04-27,17
442,50,28,364,2020-04-26 15:29:00,2020-04-26,26
416,49,28,339,2020-04-25 17:01:00,2020-04-25,22
394,48,25,321,2020-04-24 15:23:00,2020-04-24,35
359,45,25,289,2020-04-23 16:20:00,2020-04-23,0
359,45,25,289,2020-04-22 16:22:00,2020-04-22,9
350,35,25,290,2020-04-21 17:14:00,2020-04-21,23
327,27,25,275,2020-04-20 16:35:00,2020-04-20,0
327,26,25,276,2020-04-19 16:30:00,2020-04-19,20
307,26,25,256,2020-04-18 15:07:00,2020-04-18,20
287,25,23,239,2020-04-17 22:01:00,2020-04-17,20
267,23,22,222,2020-04-16 21:38:00,2020-04-16,13
254,21,21,212,2020-04-15 20:35:00,2020-04-15,13
241,20,20,201,2020-04-14 23:37:00,2020-04-14,6
235,17,20,198,2020-04-13 21:50:00,2020-04-13,12
223,16,20,187,2020-04-12 21:08:00,2020-04-12,0
223,16,20,187,2020-04-11 07:00:00,2020-04-11,0
223,16,20,187,2020-04-10 22:00:00,2020-04-10,43
180,9,18,153,2020-04-09 22:00:00,2020-04-09,0
180,9,18,153,2020-04-08 23:00:00,2020-04-08,0
180,9,18,153,2020-04-07 23:00:00,2020-04-07,19
161,5,18,138,2020-04-06 23:00:00,2020-04-06,7
154,3,18,133,2020-04-05 23:00:00,2020-04-05,0
154,3,18,133,2020-04-04 23:50:00,2020-04-04,6
148,3,16,129,2020-04-03 23:30:00,2020-04-03,14
134,3,13,118,2020-04-02 23:30:00,2020-04-02,25
109,3,9,97,2020-04-01 23:00:00,2020-04-01,11
98,2,8,88,2020-03-31 23:30:00,2020-03-31,17
81,2,8,71,2020-03-30 22:30:00,2020-03-30,0
81,2,8,71,2020-03-29 23:10:00,2020-03-29,16
65,2,6,57,2020-03-28 23:30:00,2020-03-28,14
51,2,3,46,2020-03-27 23:30:00,2020-03-27,0
51,0,3,48,2020-03-26 22:40:00,2020-03-26,3
48,0,2,46,2020-03-25 22:00:00,2020-03-25,3
45,0,2,43,2020-03-24 22:30:00,2020-03-24,9
36,0,2,34,2020-03-23 23:40:00,2020-03-23,6
30,0,1,29,2020-03-22 22:30:00,2020-03-22,7
23,0,1,22,2020-03-21 23:30:00,2020-03-21,5
18,0,0,18,2020-03-20 22:45:00,2020-03-20,4
14,0,0,14,2020-03-19 23:30:00,2020-03-19,7
7,0,0,7,2020-03-18 23:30:00,2020-03-18,4
3,0,0,3,2020-03-17 22:30:00,2020-03-17,0
3,0,0,3,2020-03-16 22:00:00,2020-03-16,1
2,0,0,2,2020-03-15 23:30:00,2020-03-15,0
2,0,0,2,2020-03-14 22:30:00,2020-03-14,0
2,0,0,2,2020-03-13 22:00:00,2020-03-13,1
1,0,0,1,2020-03-12 22:00:00,2020-03-12,0
1,0,0,1,2020-03-11 22:30:00,2020-03-11,0
1,0,0,1,2020-03-10 23:00:00,2020-03-10,1
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
