Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
7912,4700,370,2842,2020-04-22 16:22:00,2020-04-22,217
7695,4312,364,3019,2020-04-21 17:14:00,2020-04-21,180
7515,4141,355,3019,2020-04-20 16:35:00,2020-04-20,273
7242,3847,346,3049,2020-04-19 16:30:00,2020-04-19,169
7073,3389,336,3348,2020-04-18 15:07:00,2020-04-18,0
7073,3389,336,3348,2020-04-17 22:01:00,2020-04-17,194
6879,3023,321,3535,2020-04-16 21:38:00,2020-04-16,198
6681,2748,309,3624,2020-04-15 20:35:00,2020-04-15,170
6511,2515,299,3697,2020-04-14 23:37:00,2020-04-14,193
6318,2235,285,3798,2020-04-13 21:50:00,2020-04-13,322
5996,1955,260,3781,2020-04-12 21:08:00,2020-04-12,177
5819,1773,247,3799,2020-04-11 07:00:00,2020-04-11,0
5819,1773,247,3799,2020-04-10 22:00:00,2020-04-10,184
5635,1736,237,3662,2020-04-09 22:00:00,2020-04-09,233
5402,1621,218,3563,2020-04-08 23:00:00,2020-04-08,331
5071,1491,203,3377,2020-04-07 23:00:00,2020-04-07,390
4681,1378,187,3116,2020-04-06 23:00:00,2020-04-06,312
4369,1327,179,2863,2020-04-05 23:00:00,2020-04-05,292
4077,1283,161,2633,2020-04-04 23:50:00,2020-04-04,320
3757,1193,139,2425,2020-04-03 23:30:00,2020-04-03,371
3386,1089,123,2174,2020-04-02 23:30:00,2020-04-02,279
3107,894,104,2109,2020-04-01 23:00:00,2020-04-01,247
2860,1,90,2769,2020-03-31 23:30:00,2020-03-31,283
2577,1,77,2499,2020-03-30 22:30:00,2020-03-30,182
2395,1,72,2322,2020-03-29 23:10:00,2020-03-29,194
2201,1,65,2135,2020-03-28 23:30:00,2020-03-28,155
2046,1,52,1993,2020-03-27 23:30:00,2020-03-27,169
1877,1,41,1835,2020-03-26 22:40:00,2020-03-26,153
1724,1,34,1689,2020-03-25 22:00:00,2020-03-25,133
1591,1,32,1558,2020-03-24 22:30:00,2020-03-24,131
1460,1,24,1435,2020-03-23 23:40:00,2020-03-23,65
1395,1,13,1381,2020-03-22 22:30:00,2020-03-22,69
1326,1,13,1312,2020-03-21 23:30:00,2020-03-21,71
1255,1,9,1245,2020-03-20 22:45:00,2020-03-20,104
1151,1,6,1144,2020-03-19 23:30:00,2020-03-19,94
1057,1,4,1052,2020-03-18 23:30:00,2020-03-18,80
977,1,4,972,2020-03-17 22:30:00,2020-03-17,63
914,1,4,909,2020-03-16 22:00:00,2020-03-16,50
864,1,2,861,2020-03-15 23:30:00,2020-03-15,28
836,1,1,834,2020-03-14 22:30:00,2020-03-14,32
804,1,0,803,2020-03-13 22:00:00,2020-03-13,130
674,1,0,673,2020-03-12 22:00:00,2020-03-12,160
514,1,0,513,2020-03-11 22:30:00,2020-03-11,252
262,1,0,261,2020-03-10 23:00:00,2020-03-10,172
90,1,0,89,2020-03-09 22:30:00,2020-03-09,55
35,1,0,34,2020-03-08 22:00:00,2020-03-08,8
27,1,0,26,2020-03-07 22:00:00,2020-03-07,4
23,1,0,22,2020-03-06 20:30:00,2020-03-06,3
20,0,0,20,2020-03-05 20:30:00,2020-03-05,5
15,0,0,15,2020-03-04 22:00:00,2020-03-04,5
10,0,0,10,2020-03-03 23:30:00,2020-03-03,6
4,0,0,4,2020-03-02 22:00:00,2020-03-02,0
4,0,0,4,2020-03-01 23:00:00,2020-03-01,1
3,0,0,3,2020-02-29 23:00:00,2020-02-29,1
2,0,0,2,2020-02-28 23:00:00,2020-02-28,1
1,0,0,1,2020-02-27 22:00:00,2020-02-27,1
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
