Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
298,41,2,255,2020-04-13 21:50:00,,2020-04-13,111
187,36,2,149,2020-04-12 21:08:00,,2020-04-12,37
150,36,1,113,2020-04-11 07:00:00,,2020-04-11,0
150,36,1,113,2020-04-10 22:00:00,,2020-04-10,10
140,28,1,111,2020-04-09 22:00:00,,2020-04-09,5
135,25,0,110,2020-04-08 23:00:00,,2020-04-08,45
90,9,0,81,2020-04-07 23:00:00,,2020-04-07,0
90,9,0,81,2020-04-06 23:00:00,,2020-04-06,31
59,9,0,50,2020-04-05 23:00:00,,2020-04-05,9
50,8,0,42,2020-04-04 23:50:00,,2020-04-04,1
49,8,0,41,2020-04-03 23:30:00,,2020-04-03,9
40,0,0,40,2020-04-02 23:30:00,,2020-04-02,7
33,0,0,33,2020-04-01 23:00:00,,2020-04-01,3
30,0,0,30,2020-03-31 23:30:00,,2020-03-31,12
18,0,0,18,2020-03-30 22:30:00,,2020-03-30,0
18,0,0,18,2020-03-29 23:10:00,,2020-03-29,4
14,0,0,14,2020-03-28 23:30:00,,2020-03-28,2
12,0,0,12,2020-03-27 23:30:00,,2020-03-27,1
11,0,0,11,2020-03-26 22:40:00,,2020-03-26,0
11,0,0,11,2020-03-25 22:00:00,,2020-03-25,8
3,0,0,3,2020-03-24 22:30:00,,2020-03-24,0
3,0,0,3,2020-03-23 23:40:00,,2020-03-23,2
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
1,0,0,1,2020-03-21 23:30:00,,2020-03-21,0
1,0,0,1,2020-03-20 22:45:00,,2020-03-20,0
1,0,0,1,2020-03-19 23:30:00,,2020-03-19,0
1,0,0,1,2020-03-18 23:30:00,,2020-03-18,0
