Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
23240,1557,663,21020,2020-04-28 20:02:00,2020-04-28,521
22719,1366,576,20777,2020-04-27 14:50:00,2020-04-27,0
22719,1366,576,20777,2020-04-26 15:29:00,2020-04-26,0
22719,1366,576,20777,2020-04-25 17:01:00,2020-04-25,11536
11183,1328,560,9295,2020-04-24 15:23:00,2020-04-24,333
10850,1262,537,9051,2020-04-23 16:20:00,2020-04-23,452
10398,1207,520,8671,2020-04-22 16:22:00,2020-04-22,270
10128,1150,507,8471,2020-04-21 17:14:00,2020-04-21,660
9468,1061,474,7933,2020-04-20 16:35:00,2020-04-20,446
9022,1008,456,7558,2020-04-19 16:30:00,2020-04-19,572
8450,838,421,7191,2020-04-18 15:07:00,2020-04-18,225
8225,838,403,6984,2020-04-17 22:01:00,2020-04-17,367
7858,780,388,6690,2020-04-16 21:38:00,2020-04-16,255
7603,696,369,6538,2020-04-15 20:35:00,2020-04-15,0
7603,696,355,6552,2020-04-14 23:37:00,2020-04-14,137
7466,501,333,6632,2020-04-13 21:50:00,2020-04-13,209
7257,411,315,6531,2020-04-12 21:08:00,2020-04-12,96
7161,368,297,6496,2020-04-11 07:00:00,2020-04-11,0
7161,368,297,6496,2020-04-10 22:00:00,2020-04-10,2196
4965,339,272,4354,2020-04-09 22:00:00,2020-04-09,515
4450,140,242,4068,2020-04-08 23:00:00,2020-04-08,455
3995,140,220,3635,2020-04-07 23:00:00,2020-04-07,248
3747,100,191,3456,2020-04-06 23:00:00,2020-04-06,101
3646,100,180,3366,2020-04-05 23:00:00,2020-04-05,181
3465,100,172,3193,2020-04-04 23:50:00,2020-04-04,97
3368,65,145,3158,2020-04-03 23:30:00,2020-04-03,205
3163,65,120,2978,2020-04-02 23:30:00,2020-04-02,405
2758,58,98,2602,2020-04-01 23:00:00,2020-04-01,456
2302,58,79,2165,2020-03-31 23:30:00,2020-03-31,336
1966,3,62,1901,2020-03-30 22:30:00,2020-03-30,42
1924,3,58,1863,2020-03-29 23:10:00,2020-03-29,101
1823,3,48,1772,2020-03-28 23:30:00,2020-03-28,196
1627,3,41,1583,2020-03-27 23:30:00,2020-03-27,224
1403,3,34,1366,2020-03-26 22:40:00,2020-03-26,192
1211,3,29,1179,2020-03-25 22:00:00,2020-03-25,129
1082,3,27,1052,2020-03-24 22:30:00,2020-03-24,101
981,3,18,960,2020-03-23 23:40:00,2020-03-23,192
789,3,14,772,2020-03-22 22:30:00,2020-03-22,257
532,3,7,522,2020-03-21 23:30:00,2020-03-21,106
426,3,7,416,2020-03-20 22:45:00,2020-03-20,166
260,1,3,256,2020-03-19 23:30:00,2020-03-19,92
168,1,3,164,2020-03-18 23:30:00,2020-03-18,57
111,0,2,109,2020-03-17 22:30:00,2020-03-17,53
58,0,2,56,2020-03-16 22:00:00,2020-03-16,21
37,0,2,35,2020-03-15 23:30:00,2020-03-15,9
28,0,2,26,2020-03-14 22:30:00,2020-03-14,5
23,0,1,22,2020-03-13 22:00:00,2020-03-13,6
17,0,0,17,2020-03-12 22:00:00,2020-03-12,0
17,0,0,17,2020-03-11 22:30:00,2020-03-11,0
17,0,0,17,2020-03-10 23:00:00,2020-03-10,2
15,0,0,15,2020-03-09 22:30:00,2020-03-09,0
15,0,0,15,2020-03-08 22:00:00,2020-03-08,1
14,0,0,14,2020-03-07 22:00:00,2020-03-07,1
13,0,0,13,2020-03-06 20:30:00,2020-03-06,0
13,0,0,13,2020-03-05 20:30:00,2020-03-05,3
10,0,0,10,2020-03-04 22:00:00,2020-03-04,3
7,0,0,7,2020-03-03 23:30:00,2020-03-03,1
6,0,0,6,2020-03-02 22:00:00,2020-03-02,0
6,0,0,6,2020-03-01 23:00:00,2020-03-01,5
1,0,0,1,2020-02-29 23:00:00,2020-02-29,1
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
