Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
2673,596,196,1881,2020-04-17 22:01:00,,2020-04-17,168
2505,589,183,1733,2020-04-16 21:38:00,,2020-04-16,155
2350,589,178,1583,2020-04-15 20:35:00,,2020-04-15,0
2350,589,178,1583,2020-04-14 23:37:00,,2020-04-14,285
2065,589,159,1317,2020-04-13 21:50:00,,2020-04-13,126
1939,426,146,1367,2020-04-12 21:08:00,,2020-04-12,145
1794,384,135,1275,2020-04-11 07:00:00,,2020-04-11,0
1794,384,135,1275,2020-04-10 22:00:00,,2020-04-10,95
1699,348,118,1233,2020-04-09 22:00:00,,2020-04-09,139
1560,305,103,1152,2020-04-08 23:00:00,,2020-04-08,110
1450,276,94,1080,2020-04-07 23:00:00,,2020-04-07,128
1322,259,85,978,2020-04-06 23:00:00,,2020-04-06,149
1173,247,78,848,2020-04-05 23:00:00,,2020-04-05,103
1070,241,71,758,2020-04-04 23:50:00,,2020-04-04,85
985,216,66,703,2020-04-03 23:30:00,,2020-04-03,120
865,201,58,606,2020-04-02 23:30:00,,2020-04-02,86
779,179,52,548,2020-04-01 23:00:00,,2020-04-01,69
710,157,46,507,2020-03-31 23:30:00,,2020-03-31,54
656,150,41,465,2020-03-30 22:30:00,,2020-03-30,47
609,132,40,437,2020-03-29 23:10:00,,2020-03-29,33
576,121,36,419,2020-03-28 23:30:00,,2020-03-28,40
536,116,30,390,2020-03-27 23:30:00,,2020-03-27,41
495,102,24,369,2020-03-26 22:40:00,,2020-03-26,39
456,95,21,340,2020-03-25 22:00:00,,2020-03-25,54
402,80,20,302,2020-03-24 22:30:00,,2020-03-24,36
366,68,19,279,2020-03-23 23:40:00,,2020-03-23,39
327,56,14,257,2020-03-22 22:30:00,,2020-03-22,33
294,42,10,242,2020-03-21 23:30:00,,2020-03-21,9
285,42,8,235,2020-03-20 22:45:00,,2020-03-20,29
256,42,7,207,2020-03-19 23:30:00,,2020-03-19,46
210,28,6,176,2020-03-18 23:30:00,,2020-03-18,14
196,26,6,164,2020-03-17 22:30:00,,2020-03-17,30
166,32,4,130,2020-03-16 22:00:00,,2020-03-16,40
126,32,2,92,2020-03-15 23:30:00,,2020-03-15,16
110,27,2,81,2020-03-14 22:30:00,,2020-03-14,17
93,27,2,64,2020-03-13 22:00:00,,2020-03-13,13
80,27,2,51,2020-03-12 22:00:00,,2020-03-12,13
67,27,1,39,2020-03-11 22:30:00,,2020-03-11,8
59,26,1,32,2020-03-10 23:00:00,,2020-03-10,0
59,1,1,57,2020-03-09 22:30:00,,2020-03-09,4
55,1,1,53,2020-03-08 22:00:00,,2020-03-08,7
48,1,0,47,2020-03-07 22:00:00,,2020-03-07,33
15,1,0,14,2020-03-06 20:30:00,,2020-03-06,12
3,1,0,2,2020-03-05 20:30:00,,2020-03-05,1
2,1,0,1,2020-03-04 22:00:00,,2020-03-04,0
2,1,0,1,2020-03-03 23:30:00,,2020-03-03,0
2,1,0,1,2020-03-02 22:00:00,,2020-03-02,0
2,1,0,1,2020-03-01 23:00:00,,2020-03-01,1
1,1,0,0,2020-02-29 23:00:00,,2020-02-29,0
1,1,0,0,2020-02-28 23:00:00,,2020-02-28,0
1,1,0,0,2020-02-27 22:00:00,,2020-02-27,0
1,1,0,0,2020-02-26 23:30:00,,2020-02-26,0
1,1,0,0,2020-02-25 22:00:00,,2020-02-25,0
1,1,0,0,2020-02-24 23:00:00,,2020-02-24,0
1,1,0,0,2020-02-23 22:00:00,,2020-02-23,0
1,1,0,0,2020-02-22 23:00:00,,2020-02-22,0
1,1,0,0,2020-02-21 23:00:00,,2020-02-21,0
1,1,0,0,2020-02-20 22:00:00,,2020-02-20,0
1,0,0,1,2020-02-19 23:00:00,,2020-02-19,0
1,0,0,1,2020-02-18 23:00:00,,2020-02-18,0
1,0,0,1,2020-02-17 23:00:00,,2020-02-17,0
1,0,0,1,2020-02-16 22:30:00,,2020-02-16,0
1,0,0,1,2020-02-15 23:00:00,,2020-02-15,0
1,0,0,1,2020-02-14 23:00:00,,2020-02-14,0
