Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
424,124,10,290,2020-05-01 21:43:00,2020-05-01,79
345,97,8,240,2020-04-28 20:02:00,2020-04-28,22
323,89,8,226,2020-04-27 14:50:00,2020-04-27,25
298,83,8,207,2020-04-26 15:29:00,2020-04-26,24
274,75,8,191,2020-04-25 17:01:00,2020-04-25,13
261,72,8,181,2020-04-24 15:23:00,2020-04-24,11
250,67,8,175,2020-04-23 16:20:00,2020-04-23,13
237,63,7,167,2020-04-22 16:22:00,2020-04-22,12
225,48,7,170,2020-04-21 17:14:00,2020-04-21,7
218,46,7,165,2020-04-20 16:35:00,2020-04-20,17
201,44,7,150,2020-04-19 16:30:00,2020-04-19,11
190,43,7,140,2020-04-18 15:07:00,2020-04-18,13
177,38,7,132,2020-04-17 22:01:00,2020-04-17,13
164,33,6,125,2020-04-16 21:38:00,2020-04-16,5
159,30,6,123,2020-04-15 20:35:00,2020-04-15,10
149,25,6,118,2020-04-14 23:37:00,2020-04-14,12
137,22,6,109,2020-04-13 21:50:00,2020-04-13,12
125,21,6,98,2020-04-12 21:08:00,2020-04-12,7
118,19,6,93,2020-04-11 07:00:00,2020-04-11,1
117,15,6,96,2020-04-10 22:00:00,2020-04-10,14
103,14,6,83,2020-04-09 22:00:00,2020-04-09,10
93,9,5,79,2020-04-08 23:00:00,2020-04-08,15
78,5,4,69,2020-04-07 23:00:00,2020-04-07,0
78,5,4,69,2020-04-06 23:00:00,2020-04-06,16
62,2,3,57,2020-04-05 23:00:00,2020-04-05,6
56,2,3,51,2020-04-04 23:50:00,2020-04-04,10
46,0,3,43,2020-04-03 23:30:00,2020-04-03,0
46,0,2,44,2020-04-02 23:30:00,2020-04-02,5
41,0,2,39,2020-04-01 23:00:00,2020-04-01,9
32,0,1,31,2020-03-31 23:30:00,2020-03-31,0
32,0,0,32,2020-03-30 22:30:00,2020-03-30,8
24,0,0,24,2020-03-29 23:10:00,2020-03-29,5
19,0,0,19,2020-03-28 23:30:00,2020-03-28,0
19,0,0,19,2020-03-27 23:30:00,2020-03-27,6
13,0,0,13,2020-03-26 22:40:00,2020-03-26,0
13,0,0,13,2020-03-25 22:00:00,2020-03-25,8
5,0,0,5,2020-03-24 22:30:00,2020-03-24,0
5,0,0,5,2020-03-23 23:40:00,2020-03-23,2
3,0,0,3,2020-03-22 22:30:00,2020-03-22,0
3,0,0,3,2020-03-21 23:30:00,2020-03-21,2
1,0,0,1,2020-03-20 22:45:00,2020-03-20,0
1,0,0,1,2020-03-19 23:30:00,2020-03-19,0
1,0,0,1,2020-03-18 23:30:00,2020-03-18,1
0,0,0,0,2020-03-17 22:30:00,2020-03-17,0
0,0,0,0,2020-03-16 22:00:00,2020-03-16,0
0,0,0,0,2020-03-15 23:30:00,2020-03-15,0
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
