Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
41,4,0,37,2020-04-14 23:37:00,,2020-04-14,20
21,3,0,18,2020-04-13 21:50:00,,2020-04-13,3
18,3,0,15,2020-04-12 21:08:00,,2020-04-12,0
18,3,0,15,2020-04-11 07:00:00,,2020-04-11,0
18,3,0,15,2020-04-10 22:00:00,,2020-04-10,0
18,3,0,15,2020-04-09 22:00:00,,2020-04-09,0
18,3,0,15,2020-04-08 23:00:00,,2020-04-08,2
16,3,0,13,2020-04-07 23:00:00,,2020-04-07,0
16,3,0,13,2020-04-06 23:00:00,,2020-04-06,0
16,1,0,15,2020-04-05 23:00:00,,2020-04-05,0
16,1,0,15,2020-04-04 23:50:00,,2020-04-04,0
16,1,0,15,2020-04-03 23:30:00,,2020-04-03,1
15,1,0,14,2020-04-02 23:30:00,,2020-04-02,0
15,1,0,14,2020-04-01 23:00:00,,2020-04-01,0
15,1,0,14,2020-03-31 23:30:00,,2020-03-31,3
12,0,0,12,2020-03-30 22:30:00,,2020-03-30,0
12,0,0,12,2020-03-29 23:10:00,,2020-03-29,0
12,0,0,12,2020-03-28 23:30:00,,2020-03-28,0
12,0,0,12,2020-03-27 23:30:00,,2020-03-27,0
12,0,0,12,2020-03-26 22:40:00,,2020-03-26,3
9,0,0,9,2020-03-25 22:00:00,,2020-03-25,0
9,0,0,9,2020-03-24 22:30:00,,2020-03-24,0
9,0,0,9,2020-03-23 23:40:00,,2020-03-23,3
6,0,0,6,2020-03-22 22:30:00,,2020-03-22,0
6,0,0,6,2020-03-21 23:30:00,,2020-03-21,0
6,0,0,6,2020-03-20 22:45:00,,2020-03-20,0
6,0,0,6,2020-03-19 23:30:00,,2020-03-19,2
4,0,0,4,2020-03-18 23:30:00,,2020-03-18,3
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
1,0,0,1,2020-03-15 23:30:00,,2020-03-15,0
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
