Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
35,0,0,35,2020-04-15 20:35:00,,2020-04-15,1
34,0,0,34,2020-04-14 23:37:00,,2020-04-14,0
34,0,0,34,2020-04-13 21:50:00,,2020-04-13,0
34,0,0,34,2020-04-12 21:08:00,,2020-04-12,0
34,0,0,34,2020-04-11 07:00:00,,2020-04-11,0
34,0,0,34,2020-04-10 22:00:00,,2020-04-10,1
33,0,0,33,2020-04-09 22:00:00,,2020-04-09,0
33,0,0,33,2020-04-08 23:00:00,,2020-04-08,2
31,0,0,31,2020-04-07 23:00:00,,2020-04-07,0
31,0,0,31,2020-04-06 23:00:00,,2020-04-06,2
29,0,0,29,2020-04-05 23:00:00,,2020-04-05,0
29,0,0,29,2020-04-04 23:50:00,,2020-04-04,7
22,0,0,22,2020-04-03 23:30:00,,2020-04-03,0
22,0,0,22,2020-04-02 23:30:00,,2020-04-02,7
15,0,0,15,2020-04-01 23:00:00,,2020-04-01,0
15,0,0,15,2020-03-31 23:30:00,,2020-03-31,0
15,0,0,15,2020-03-30 22:30:00,,2020-03-30,3
12,0,0,12,2020-03-29 23:10:00,,2020-03-29,6
6,0,0,6,2020-03-28 23:30:00,,2020-03-28,0
6,0,0,6,2020-03-27 23:30:00,,2020-03-27,0
6,0,0,6,2020-03-26 22:40:00,,2020-03-26,2
4,0,0,4,2020-03-25 22:00:00,,2020-03-25,3
1,0,0,1,2020-03-24 22:30:00,,2020-03-24,0
1,0,0,1,2020-03-23 23:40:00,,2020-03-23,0
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
1,0,0,1,2020-03-21 23:30:00,,2020-03-21,0
