Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1559,184,44,1331,2020-04-22 16:22:00,2020-04-22,7
1552,169,43,1340,2020-04-21 17:14:00,2020-04-21,17
1535,165,40,1330,2020-04-20 16:35:00,2020-04-20,7
1528,164,40,1324,2020-04-19 16:30:00,2020-04-19,16
1512,162,38,1312,2020-04-18 15:07:00,2020-04-18,53
1459,145,38,1276,2020-04-17 22:01:00,2020-04-17,25
1434,133,36,1265,2020-04-16 21:38:00,2020-04-16,34
1400,117,35,1248,2020-04-15 20:35:00,2020-04-15,27
1373,115,31,1227,2020-04-14 23:37:00,2020-04-14,41
1332,102,27,1203,2020-04-13 21:50:00,2020-04-13,23
1309,98,25,1186,2020-04-12 21:08:00,2020-04-12,5
1304,93,24,1187,2020-04-11 07:00:00,2020-04-11,46
1258,93,24,1141,2020-04-10 22:00:00,2020-04-10,51
1207,83,24,1100,2020-04-09 22:00:00,2020-04-09,22
1185,72,24,1089,2020-04-08 23:00:00,2020-04-08,36
1149,69,21,1059,2020-04-07 23:00:00,2020-04-07,41
1108,62,19,1027,2020-04-06 23:00:00,2020-04-06,11
1097,62,15,1020,2020-04-05 23:00:00,2020-04-05,58
1039,59,13,967,2020-04-04 23:50:00,2020-04-04,78
961,48,12,901,2020-04-03 23:30:00,2020-04-03,103
858,45,11,802,2020-04-02 23:30:00,2020-04-02,79
779,33,5,741,2020-04-01 23:00:00,2020-04-01,34
745,26,4,715,2020-03-31 23:30:00,2020-03-31,30
715,20,3,692,2020-03-30 22:30:00,2020-03-30,36
679,20,3,656,2020-03-29 23:10:00,2020-03-29,34
645,20,1,624,2020-03-28 23:30:00,2020-03-28,70
575,11,1,563,2020-03-27 23:30:00,2020-03-27,37
538,8,1,529,2020-03-26 22:40:00,2020-03-26,134
404,8,1,395,2020-03-25 22:00:00,2020-03-25,35
369,7,0,362,2020-03-24 22:30:00,2020-03-24,17
352,4,0,348,2020-03-23 23:40:00,2020-03-23,26
326,4,0,322,2020-03-22 22:30:00,2020-03-22,20
306,2,0,304,2020-03-21 23:30:00,2020-03-21,23
283,1,0,282,2020-03-20 22:45:00,2020-03-20,16
267,1,0,266,2020-03-19 23:30:00,2020-03-19,9
258,1,0,257,2020-03-18 23:30:00,2020-03-18,33
225,1,0,224,2020-03-17 22:30:00,2020-03-17,20
205,1,0,204,2020-03-16 22:00:00,2020-03-16,34
171,1,0,170,2020-03-15 23:30:00,2020-03-15,56
115,0,0,115,2020-03-14 22:30:00,2020-03-14,36
79,0,0,79,2020-03-13 22:00:00,2020-03-13,52
27,0,0,27,2020-03-12 22:00:00,2020-03-12,11
16,0,0,16,2020-03-11 22:30:00,2020-03-11,3
13,0,0,13,2020-03-10 23:00:00,2020-03-10,3
10,0,0,10,2020-03-09 22:30:00,2020-03-09,0
10,0,0,10,2020-03-08 22:00:00,2020-03-08,0
10,0,0,10,2020-03-07 22:00:00,2020-03-07,0
10,0,0,10,2020-03-06 20:30:00,2020-03-06,5
5,0,0,5,2020-03-05 20:30:00,2020-03-05,3
2,0,0,2,2020-03-04 22:00:00,2020-03-04,0
2,0,0,2,2020-03-03 23:30:00,2020-03-03,1
1,0,0,1,2020-03-02 22:00:00,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,2020-02-28,0
1,0,0,1,2020-02-27 22:00:00,2020-02-27,1
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
