Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
108,16,3,89,2020-04-20 00:24:00,2020-04-20,0
108,16,3,89,2020-04-19 16:30:00,2020-04-19,12
96,15,3,78,2020-04-18 15:07:00,2020-04-18,0
96,15,3,78,2020-04-17 22:01:00,2020-04-17,4
92,15,3,74,2020-04-16 21:38:00,2020-04-16,7
85,15,3,67,2020-04-15 20:35:00,2020-04-15,3
82,14,3,65,2020-04-14 23:37:00,2020-04-14,8
74,14,3,57,2020-04-13 21:50:00,2020-04-13,5
69,10,3,56,2020-04-12 21:08:00,2020-04-12,0
69,10,3,56,2020-04-11 07:00:00,2020-04-11,4
65,4,3,58,2020-04-10 22:00:00,2020-04-10,9
56,4,2,50,2020-04-09 22:00:00,2020-04-09,1
55,4,2,49,2020-04-08 23:00:00,2020-04-08,3
52,4,2,46,2020-04-07 23:00:00,2020-04-07,8
44,4,2,38,2020-04-06 23:00:00,2020-04-06,1
43,4,2,37,2020-04-05 23:00:00,2020-04-05,5
38,4,0,34,2020-04-04 23:50:00,2020-04-04,3
35,3,0,32,2020-04-03 23:30:00,2020-04-03,6
29,3,0,26,2020-04-02 23:30:00,2020-04-02,0
29,2,0,27,2020-04-01 23:00:00,2020-04-01,3
26,2,0,24,2020-03-31 23:30:00,2020-03-31,3
23,4,0,19,2020-03-30 22:30:00,2020-03-30,2
21,1,0,20,2020-03-29 23:10:00,2020-03-29,5
16,1,0,15,2020-03-28 23:30:00,2020-03-28,0
16,0,0,16,2020-03-27 23:30:00,2020-03-27,4
12,0,0,12,2020-03-26 22:40:00,2020-03-26,0
12,0,0,12,2020-03-25 22:00:00,2020-03-25,0
12,0,0,12,2020-03-24 22:30:00,2020-03-24,1
11,0,0,11,2020-03-23 23:40:00,2020-03-23,0
11,0,0,11,2020-03-22 22:30:00,2020-03-22,2
9,0,0,9,2020-03-21 23:30:00,2020-03-21,0
9,0,0,9,2020-03-20 22:45:00,2020-03-20,0
9,0,0,9,2020-03-19 23:30:00,2020-03-19,3
6,0,0,6,2020-03-18 23:30:00,2020-03-18,0
6,0,0,6,2020-03-17 22:30:00,2020-03-17,1
5,0,0,5,2020-03-16 22:00:00,2020-03-16,1
4,0,0,4,2020-03-15 23:30:00,2020-03-15,3
1,0,0,1,2020-03-14 22:30:00,2020-03-14,0
1,0,0,1,2020-03-13 22:00:00,2020-03-13,1
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
