Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
3489,1700,82,1707,2020-04-18 15:07:00,,2020-04-18,0
3489,1700,82,1707,2020-04-17 22:01:00,,2020-04-17,120
3369,1700,75,1594,2020-04-16 21:38:00,,2020-04-16,132
3237,300,72,2865,2020-04-15 20:35:00,,2020-04-15,76
3161,300,64,2797,2020-04-14 23:37:00,,2020-04-14,97
3064,300,59,2705,2020-04-13 21:50:00,,2020-04-13,159
2905,300,49,2556,2020-04-12 21:08:00,,2020-04-12,0
2905,300,49,2556,2020-04-11 07:00:00,,2020-04-11,136
2769,300,48,2421,2020-04-10 22:00:00,,2020-04-10,164
2605,300,42,2263,2020-04-09 22:00:00,,2020-04-09,118
2487,300,40,2147,2020-04-08 23:00:00,,2020-04-08,179
2308,300,34,1974,2020-04-07 23:00:00,,2020-04-07,132
2176,300,27,1849,2020-04-06 23:00:00,,2020-04-06,249
1927,300,28,1599,2020-04-05 23:00:00,,2020-04-05,45
1882,300,25,1557,2020-04-04 23:50:00,,2020-04-04,267
1615,300,20,1295,2020-04-03 23:30:00,,2020-04-03,97
1518,300,19,1199,2020-04-02 23:30:00,,2020-04-02,72
1446,10,17,1419,2020-04-01 23:00:00,,2020-04-01,28
1418,10,17,1391,2020-03-31 23:30:00,,2020-03-31,66
1352,10,13,1329,2020-03-30 22:30:00,,2020-03-30,112
1240,10,11,1219,2020-03-29 23:10:00,,2020-03-29,73
1167,10,9,1148,2020-03-28 23:30:00,,2020-03-28,126
1041,10,7,1024,2020-03-27 23:30:00,,2020-03-27,83
958,10,5,943,2020-03-26 22:40:00,,2020-03-26,78
880,10,3,867,2020-03-25 22:00:00,,2020-03-25,88
792,10,1,781,2020-03-24 22:30:00,,2020-03-24,92
700,10,1,689,2020-03-23 23:40:00,,2020-03-23,74
626,10,1,615,2020-03-22 22:30:00,,2020-03-22,103
523,10,1,512,2020-03-21 23:30:00,,2020-03-21,73
450,10,0,440,2020-03-20 22:45:00,,2020-03-20,50
400,10,0,390,2020-03-19 23:30:00,,2020-03-19,41
359,10,0,349,2020-03-18 23:30:00,,2020-03-18,37
322,10,0,312,2020-03-17 22:30:00,,2020-03-17,44
278,10,0,268,2020-03-16 22:00:00,,2020-03-16,34
244,10,0,234,2020-03-15 23:30:00,,2020-03-15,19
225,10,0,215,2020-03-14 22:30:00,,2020-03-14,70
155,1,0,154,2020-03-13 22:00:00,,2020-03-13,46
109,1,0,108,2020-03-12 22:00:00,,2020-03-12,44
65,1,0,64,2020-03-11 22:30:00,,2020-03-11,25
40,1,0,39,2020-03-10 23:00:00,,2020-03-10,7
33,1,0,32,2020-03-09 22:30:00,,2020-03-09,8
25,1,0,24,2020-03-08 22:00:00,,2020-03-08,6
19,1,0,18,2020-03-07 22:00:00,,2020-03-07,4
15,1,0,14,2020-03-06 20:30:00,,2020-03-06,3
12,1,0,11,2020-03-05 20:30:00,,2020-03-05,5
7,1,0,6,2020-03-04 22:00:00,,2020-03-04,0
7,1,0,6,2020-03-03 23:30:00,,2020-03-03,0
7,1,0,6,2020-03-02 22:00:00,,2020-03-02,1
6,1,0,5,2020-03-01 23:00:00,,2020-03-01,3
3,1,0,2,2020-02-29 23:00:00,,2020-02-29,0
3,1,0,2,2020-02-28 23:00:00,,2020-02-28,1
2,1,0,1,2020-02-27 22:00:00,,2020-02-27,0
2,1,0,1,2020-02-26 23:30:00,,2020-02-26,1
1,1,0,0,2020-02-25 22:00:00,,2020-02-25,0
1,1,0,0,2020-02-24 23:00:00,,2020-02-24,0
1,1,0,0,2020-02-23 22:00:00,,2020-02-23,0
1,1,0,0,2020-02-22 23:00:00,,2020-02-22,0
1,1,0,0,2020-02-21 23:00:00,,2020-02-21,0
1,1,0,0,2020-02-20 22:00:00,,2020-02-20,0
1,1,0,0,2020-02-19 23:00:00,,2020-02-19,0
1,1,0,0,2020-02-18 23:00:00,,2020-02-18,0
1,1,0,0,2020-02-17 23:00:00,,2020-02-17,0
1,1,0,0,2020-02-16 22:30:00,,2020-02-16,0
1,1,0,0,2020-02-15 23:00:00,,2020-02-15,0
1,1,0,0,2020-02-14 23:00:00,,2020-02-14,0
1,1,0,0,2020-02-13 22:00:00,,2020-02-13,0
1,1,0,0,2020-02-12 21:30:00,,2020-02-12,0
1,1,0,0,2020-02-11 23:00:00,,2020-02-11,0
1,1,0,0,2020-02-10 22:30:00,,2020-02-10,0
1,1,0,0,2020-02-09 23:00:00,,2020-02-09,0
1,1,0,0,2020-02-08 22:00:00,,2020-02-08,0
1,1,0,0,2020-02-07 23:00:00,,2020-02-07,0
1,1,0,0,2020-02-06 21:30:00,,2020-02-06,0
1,1,0,0,2020-02-05 23:00:00,,2020-02-05,0
1,0,0,1,2020-02-04 20:00:00,,2020-02-04,0
1,0,0,1,2020-02-03 20:00:00,,2020-02-03,0
1,0,0,1,2020-02-02 22:00:00,,2020-02-02,0
1,0,0,1,2020-02-01 23:00:00,,2020-02-01,0
1,0,0,1,2020-01-31 19:00:00,,2020-01-31,0
1,0,0,1,2020-01-30 21:30:00,,2020-01-30,0
1,0,0,1,2020-01-29 21:00:00,,2020-01-29,0
