Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
159828,43493,22245,94090,2020-04-25 01:28:00,2020-04-25,1645
158183,42088,21856,94239,2020-04-24 15:23:00,2020-04-24,-1694
159877,40657,21340,97880,2020-04-23 16:20:00,2020-04-23,1827
158050,39181,20796,98073,2020-04-22 16:22:00,2020-04-22,2667
155383,37409,20265,97709,2020-04-21 17:14:00,2020-04-21,2489
152894,36578,19718,96598,2020-04-20 16:35:00,2020-04-20,1101
151793,35983,19323,96487,2020-04-19 16:30:00,2020-04-19,3824
147969,34420,18681,94868,2020-04-18 15:07:00,2020-04-18,-17058
165027,32812,17920,114295,2020-04-17 22:01:00,2020-04-17,17164
147863,30955,17167,99741,2020-04-16 21:38:00,2020-04-16,4560
143303,28805,15729,98769,2020-04-15 20:35:00,2020-04-15,0
143303,28805,15729,98769,2020-04-14 23:37:00,2020-04-14,10712
132591,27186,14393,91012,2020-04-13 21:50:00,2020-04-13,2937
129654,26391,13832,89431,2020-04-12 21:08:00,2020-04-12,4785
124869,24932,13197,86740,2020-04-11 07:00:00,2020-04-11,0
124869,24932,13197,86740,2020-04-10 22:00:00,2020-04-10,7120
117749,23206,12210,82333,2020-04-09 22:00:00,2020-04-09,4799
112950,21254,10869,80827,2020-04-08 23:00:00,2020-04-08,3881
109069,19337,10328,79404,2020-04-07 23:00:00,2020-04-07,11059
98010,17250,8911,71849,2020-04-06 23:00:00,2020-04-06,5171
92839,16183,8078,68578,2020-04-05 23:00:00,2020-04-05,2886
89953,15438,7560,66955,2020-04-04 23:50:00,2020-04-04,25615
64338,14008,6507,43823,2020-04-03 23:30:00,2020-04-03,5233
59105,12428,5387,41290,2020-04-02 23:30:00,2020-04-02,2116
56989,10935,4032,42022,2020-04-01 23:00:00,2020-04-01,4861
52128,9444,3523,39161,2020-03-31 23:30:00,2020-03-31,7578
44550,7927,3024,33599,2020-03-30 22:30:00,2020-03-30,4376
40174,7202,2606,30366,2020-03-29 23:10:00,2020-03-29,2599
37575,5700,2314,29561,2020-03-28 23:30:00,2020-03-28,4611
32964,5700,1995,25269,2020-03-27 23:30:00,2020-03-27,3809
29155,4948,1696,22511,2020-03-26 22:40:00,2020-03-26,3922
25233,3900,1331,20002,2020-03-25 22:00:00,2020-03-25,2929
22304,3281,1100,17923,2020-03-24 22:30:00,2020-03-24,2448
19856,2200,860,16796,2020-03-23 23:40:00,2020-03-23,3838
16018,2200,674,13144,2020-03-22 22:30:00,2020-03-22,1559
14459,1587,562,12310,2020-03-21 23:30:00,2020-03-21,1847
12612,1587,450,10575,2020-03-20 22:45:00,2020-03-20,1617
10995,1295,372,9328,2020-03-19 23:30:00,2020-03-19,1861
