Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
57,1,1,55,2020-04-14 23:37:00,,2020-04-14,0
57,1,1,55,2020-04-13 21:50:00,,2020-04-13,8
49,1,1,47,2020-04-12 21:08:00,,2020-04-12,5
44,1,1,42,2020-04-11 07:00:00,,2020-04-11,0
44,1,1,42,2020-04-10 22:00:00,,2020-04-10,0
44,1,1,42,2020-04-09 22:00:00,,2020-04-09,10
34,1,1,32,2020-04-08 23:00:00,,2020-04-08,4
30,1,1,28,2020-04-07 23:00:00,,2020-04-07,6
24,1,1,22,2020-04-06 23:00:00,,2020-04-06,3
21,1,1,19,2020-04-05 23:00:00,,2020-04-05,0
21,1,1,19,2020-04-04 23:50:00,,2020-04-04,0
21,1,1,19,2020-04-03 23:30:00,,2020-04-03,0
21,0,1,20,2020-04-02 23:30:00,,2020-04-02,3
18,0,1,17,2020-04-01 23:00:00,,2020-04-01,2
16,0,1,15,2020-03-31 23:30:00,,2020-03-31,9
7,0,1,6,2020-03-30 22:30:00,,2020-03-30,0
7,0,1,6,2020-03-29 23:10:00,,2020-03-29,0
7,0,1,6,2020-03-28 23:30:00,,2020-03-28,0
7,0,1,6,2020-03-27 23:30:00,,2020-03-27,0
7,0,1,6,2020-03-26 22:40:00,,2020-03-26,1
6,0,1,5,2020-03-25 22:00:00,,2020-03-25,0
6,0,1,5,2020-03-24 22:30:00,,2020-03-24,0
6,0,1,5,2020-03-23 23:40:00,,2020-03-23,1
5,0,1,4,2020-03-22 22:30:00,,2020-03-22,0
5,0,1,4,2020-03-21 23:30:00,,2020-03-21,1
4,0,1,3,2020-03-20 22:45:00,,2020-03-20,1
3,0,0,3,2020-03-19 23:30:00,,2020-03-19,0
3,0,0,3,2020-03-18 23:30:00,,2020-03-18,2
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
1,0,0,1,2020-03-15 23:30:00,,2020-03-15,0
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
1,0,0,1,2020-03-13 22:00:00,,2020-03-13,0
