Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
425,111,5,309,2020-04-24 01:25:00,2020-04-24,5
420,107,5,308,2020-04-23 16:20:00,2020-04-23,9
411,98,5,308,2020-04-22 16:22:00,2020-04-22,3
408,95,4,309,2020-04-21 17:14:00,2020-04-21,9
399,93,4,302,2020-04-20 16:35:00,2020-04-20,5
394,86,4,304,2020-04-19 16:30:00,2020-04-19,9
385,84,3,298,2020-04-18 15:07:00,2020-04-18,15
370,79,3,288,2020-04-17 22:01:00,2020-04-17,30
340,74,3,263,2020-04-16 21:38:00,2020-04-16,34
306,69,3,234,2020-04-15 20:35:00,2020-04-15,10
296,69,3,224,2020-04-14 23:37:00,2020-04-14,30
266,67,3,196,2020-04-13 21:50:00,2020-04-13,14
252,63,3,186,2020-04-12 21:08:00,2020-04-12,18
234,56,3,175,2020-04-11 07:00:00,2020-04-11,0
234,54,3,177,2020-04-10 22:00:00,2020-04-10,16
218,51,3,164,2020-04-09 22:00:00,2020-04-09,7
211,50,3,158,2020-04-08 23:00:00,2020-04-08,15
196,46,3,147,2020-04-07 23:00:00,2020-04-07,8
188,39,2,147,2020-04-06 23:00:00,2020-04-06,14
174,36,2,136,2020-04-05 23:00:00,2020-04-05,12
162,36,1,125,2020-04-04 23:50:00,2020-04-04,7
155,28,0,127,2020-04-03 23:30:00,2020-04-03,21
134,26,0,108,2020-04-02 23:30:00,2020-04-02,17
117,23,0,94,2020-04-01 23:00:00,2020-04-01,7
110,21,0,89,2020-03-31 23:30:00,2020-03-31,7
103,20,0,83,2020-03-30 22:30:00,2020-03-30,12
91,18,0,73,2020-03-29 23:10:00,2020-03-29,1
90,14,0,76,2020-03-28 23:30:00,2020-03-28,7
83,14,0,69,2020-03-27 23:30:00,2020-03-27,4
79,11,0,68,2020-03-26 22:40:00,2020-03-26,4
75,10,0,65,2020-03-25 22:00:00,2020-03-25,5
70,9,0,61,2020-03-24 22:30:00,2020-03-24,9
61,8,0,53,2020-03-23 23:40:00,2020-03-23,7
54,1,0,53,2020-03-22 22:30:00,2020-03-22,5
49,1,0,48,2020-03-21 23:30:00,2020-03-21,5
44,1,0,43,2020-03-20 22:45:00,2020-03-20,4
40,1,0,39,2020-03-19 23:30:00,2020-03-19,2
38,1,0,37,2020-03-18 23:30:00,2020-03-18,4
34,1,0,33,2020-03-17 22:30:00,2020-03-17,1
33,1,0,32,2020-03-16 22:00:00,2020-03-16,0
33,1,0,32,2020-03-15 23:30:00,2020-03-15,3
30,0,0,30,2020-03-14 22:30:00,2020-03-14,5
25,0,0,25,2020-03-13 22:00:00,2020-03-13,0
25,0,0,25,2020-03-12 22:00:00,2020-03-12,1
24,0,0,24,2020-03-11 22:30:00,2020-03-11,1
23,0,0,23,2020-03-10 23:00:00,2020-03-10,8
15,0,0,15,2020-03-09 22:30:00,2020-03-09,2
13,0,0,13,2020-03-08 22:00:00,2020-03-08,0
13,0,0,13,2020-03-07 22:00:00,2020-03-07,4
9,0,0,9,2020-03-06 20:30:00,2020-03-06,0
9,0,0,9,2020-03-05 20:30:00,2020-03-05,6
3,0,0,3,2020-03-04 22:00:00,2020-03-04,0
3,0,0,3,2020-03-03 23:30:00,2020-03-03,0
3,0,0,3,2020-03-02 22:00:00,2020-03-02,0
3,0,0,3,2020-03-01 23:00:00,2020-03-01,0
3,0,0,3,2020-02-29 23:00:00,2020-02-29,1
2,0,0,2,2020-02-28 23:00:00,2020-02-28,1
1,0,0,1,2020-02-27 22:00:00,2020-02-27,0
1,0,0,1,2020-02-26 23:30:00,2020-02-26,1
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
