Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
130072,68200,3194,58678,2020-04-14 16:11:00,,2020-04-14,2156
127916,64300,3022,60594,2020-04-13 21:50:00,,2020-04-13,2464
125452,57400,2871,65181,2020-04-12 21:08:00,,2020-04-12,3281
122171,53913,2736,65522,2020-04-11 07:00:00,,2020-04-11,0
122171,53913,2736,65522,2020-04-10 22:00:00,,2020-04-10,3936
118235,52407,2607,63221,2020-04-09 22:00:00,,2020-04-09,4939
113296,46300,2349,64647,2020-04-08 23:00:00,,2020-04-08,5633
107663,36081,2016,69566,2020-04-07 23:00:00,,2020-04-07,4288
103375,28700,1810,72865,2020-04-06 23:00:00,,2020-04-06,3252
100123,28700,1584,69839,2020-04-05 23:00:00,,2020-04-05,4031
96092,26400,1444,68248,2020-04-04 23:50:00,,2020-04-04,4933
91159,24575,1275,65309,2020-04-03 23:30:00,,2020-04-03,6365
84794,22440,1107,61247,2020-04-02 23:30:00,,2020-04-02,6813
77981,18700,931,58350,2020-04-01 23:00:00,,2020-04-01,6173
71808,16100,775,54933,2020-03-31 23:30:00,,2020-03-31,4923
66885,13500,645,52740,2020-03-30 22:30:00,,2020-03-30,4450
62435,9211,541,52683,2020-03-29 23:10:00,,2020-03-29,4740
57695,8481,433,48781,2020-03-28 23:30:00,,2020-03-28,6824
50871,6658,351,43862,2020-03-27 23:30:00,,2020-03-27,6933
43938,5673,267,37998,2020-03-26 22:40:00,,2020-03-26,6615
37323,3547,206,33570,2020-03-25 22:00:00,,2020-03-25,4332
32991,3290,159,29542,2020-03-24 22:30:00,,2020-03-24,3935
29056,453,123,28480,2020-03-23 23:40:00,,2020-03-23,4183
24873,266,94,24513,2020-03-22 22:30:00,,2020-03-22,2509
22364,209,84,22071,2020-03-21 23:30:00,,2020-03-21,2516
19848,180,68,19600,2020-03-20 22:45:00,,2020-03-20,4528
15320,115,44,15161,2020-03-19 23:30:00,,2020-03-19,2993
12327,105,28,12194,2020-03-18 23:30:00,,2020-03-18,2960
9367,67,26,9274,2020-03-17 22:30:00,,2020-03-17,2095
7272,67,17,7188,2020-03-16 22:00:00,,2020-03-16,1459
5813,46,13,5754,2020-03-15 23:30:00,,2020-03-15,1214
4599,46,9,4544,2020-03-14 22:30:00,,2020-03-14,924
3675,46,8,3621,2020-03-13 22:00:00,,2020-03-13,930
2745,25,6,2714,2020-03-12 22:00:00,,2020-03-12,779
1966,25,3,1938,2020-03-11 22:30:00,,2020-03-11,401
1565,18,2,1545,2020-03-10 23:00:00,,2020-03-10,341
1224,18,2,1204,2020-03-09 22:30:00,,2020-03-09,184
1040,18,0,1022,2020-03-08 22:00:00,,2020-03-08,240
800,18,0,782,2020-03-07 22:00:00,,2020-03-07,130
670,17,0,653,2020-03-06 20:30:00,,2020-03-06,125
545,17,0,528,2020-03-05 20:30:00,,2020-03-05,283
262,16,0,246,2020-03-04 22:00:00,,2020-03-04,59
203,16,0,187,2020-03-03 23:30:00,,2020-03-03,38
165,16,0,149,2020-03-02 22:00:00,,2020-03-02,35
130,16,0,114,2020-03-01 23:00:00,,2020-03-01,51
79,16,0,63,2020-02-29 23:00:00,,2020-02-29,19
60,16,0,44,2020-02-28 23:00:00,,2020-02-28,11
49,16,0,33,2020-02-27 22:00:00,,2020-02-27,22
27,15,0,12,2020-02-26 23:30:00,,2020-02-26,9
18,15,0,3,2020-02-25 22:00:00,,2020-02-25,2
16,14,0,2,2020-02-24 23:00:00,,2020-02-24,0
16,14,0,2,2020-02-23 22:00:00,,2020-02-23,0
16,14,0,2,2020-02-22 23:00:00,,2020-02-22,0
16,14,0,2,2020-02-21 23:00:00,,2020-02-21,0
16,13,0,3,2020-02-20 22:00:00,,2020-02-20,0
16,9,0,7,2020-02-19 23:00:00,,2020-02-19,0
16,9,0,7,2020-02-18 23:00:00,,2020-02-18,0
16,7,0,9,2020-02-17 23:00:00,,2020-02-17,0
16,3,0,13,2020-02-16 22:30:00,,2020-02-16,0
16,3,0,13,2020-02-15 23:00:00,,2020-02-15,0
16,1,0,15,2020-02-14 23:00:00,,2020-02-14,0
16,1,0,15,2020-02-13 22:00:00,,2020-02-13,0
16,0,0,16,2020-02-12 21:30:00,,2020-02-12,0
16,0,0,16,2020-02-11 23:00:00,,2020-02-11,2
14,0,0,14,2020-02-10 22:30:00,,2020-02-10,0
14,0,0,14,2020-02-09 23:00:00,,2020-02-09,0
14,0,0,14,2020-02-08 22:00:00,,2020-02-08,0
14,0,0,14,2020-02-07 23:00:00,,2020-02-07,1
13,0,0,13,2020-02-06 21:30:00,,2020-02-06,1
12,0,0,12,2020-02-05 23:00:00,,2020-02-05,0
12,0,0,12,2020-02-04 20:00:00,,2020-02-04,0
12,0,0,12,2020-02-03 20:00:00,,2020-02-03,2
10,0,0,10,2020-02-02 22:00:00,,2020-02-02,2
8,0,0,8,2020-02-01 23:00:00,,2020-02-01,1
7,0,0,7,2020-01-31 19:00:00,,2020-01-31,3
4,0,0,4,2020-01-30 21:30:00,,2020-01-30,0
4,0,0,4,2020-01-29 21:00:00,,2020-01-29,0
4,0,0,4,2020-01-28 23:00:00,,2020-01-28,3
1,0,0,1,2020-01-27 20:30:00,,2020-01-27,0
