Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1550,155,11,1384,2020-04-28 20:02:00,2020-04-28,0
1550,155,11,1384,2020-04-27 14:50:00,2020-04-27,271
1279,134,10,1135,2020-04-26 15:29:00,2020-04-26,0
1279,134,10,1135,2020-04-25 17:01:00,2020-04-25,125
1154,99,9,1046,2020-04-24 15:23:00,2020-04-24,0
1154,99,9,1046,2020-04-23 16:20:00,2020-04-23,0
1154,99,9,1046,2020-04-22 16:22:00,2020-04-22,112
1042,99,9,934,2020-04-21 17:14:00,2020-04-21,0
1042,99,9,934,2020-04-20 16:35:00,2020-04-20,208
834,99,9,726,2020-04-19 16:30:00,2020-04-19,193
641,83,8,550,2020-04-18 15:07:00,2020-04-18,0
641,83,8,550,2020-04-17 22:01:00,2020-04-17,0
641,83,8,550,2020-04-16 21:38:00,2020-04-16,5
636,17,8,611,2020-04-15 20:35:00,2020-04-15,0
636,17,8,611,2020-04-14 23:37:00,2020-04-14,70
566,4,8,554,2020-04-13 21:50:00,2020-04-13,158
408,4,8,396,2020-04-12 21:08:00,2020-04-12,30
378,4,6,368,2020-04-11 07:00:00,2020-04-11,0
378,4,6,368,2020-04-10 22:00:00,2020-04-10,0
378,3,6,369,2020-04-09 22:00:00,2020-04-09,65
313,34,6,273,2020-04-08 23:00:00,2020-04-08,26
287,31,5,251,2020-04-07 23:00:00,2020-04-07,0
287,31,5,251,2020-04-06 23:00:00,2020-04-06,73
214,31,5,178,2020-04-05 23:00:00,2020-04-05,9
205,31,5,169,2020-04-04 23:50:00,2020-04-04,0
205,31,5,169,2020-04-03 23:30:00,2020-04-03,1
204,31,5,168,2020-04-02 23:30:00,2020-04-02,9
195,31,5,159,2020-04-01 23:00:00,2020-04-01,34
161,31,5,125,2020-03-31 23:30:00,2020-03-31,9
152,2,5,145,2020-03-30 22:30:00,2020-03-30,0
152,2,5,145,2020-03-29 23:10:00,2020-03-29,11
141,2,5,134,2020-03-28 23:30:00,2020-03-28,4
137,2,4,131,2020-03-27 23:30:00,2020-03-27,5
132,1,4,127,2020-03-26 22:40:00,2020-03-26,39
93,0,4,89,2020-03-25 22:00:00,2020-03-25,40
53,0,2,51,2020-03-24 22:30:00,2020-03-24,26
27,0,2,25,2020-03-23 23:40:00,2020-03-23,4
23,0,1,22,2020-03-22 22:30:00,2020-03-22,2
21,0,1,20,2020-03-21 23:30:00,2020-03-21,5
16,0,0,16,2020-03-20 22:45:00,2020-03-20,5
11,0,0,11,2020-03-19 23:30:00,2020-03-19,4
7,0,0,7,2020-03-18 23:30:00,2020-03-18,0
7,0,0,7,2020-03-17 22:30:00,2020-03-17,1
6,0,0,6,2020-03-16 22:00:00,2020-03-16,0
6,0,0,6,2020-03-15 23:30:00,2020-03-15,4
2,0,0,2,2020-03-14 22:30:00,2020-03-14,0
2,0,0,2,2020-03-13 22:00:00,2020-03-13,0
2,0,0,2,2020-03-12 22:00:00,2020-03-12,2
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
