Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
43,0,0,43,2020-04-17 22:01:00,,2020-04-17,0
43,0,0,43,2020-04-16 21:38:00,,2020-04-16,0
43,0,0,43,2020-04-15 20:35:00,,2020-04-15,5
38,0,0,38,2020-04-14 23:37:00,,2020-04-14,0
38,0,0,38,2020-04-13 21:50:00,,2020-04-13,0
38,0,0,38,2020-04-12 21:08:00,,2020-04-12,0
38,0,0,38,2020-04-11 07:00:00,,2020-04-11,2
36,0,0,36,2020-04-10 22:00:00,,2020-04-10,0
36,0,0,36,2020-04-09 22:00:00,,2020-04-09,3
33,0,0,33,2020-04-08 23:00:00,,2020-04-08,0
33,0,0,33,2020-04-07 23:00:00,,2020-04-07,15
18,0,0,18,2020-04-06 23:00:00,,2020-04-06,0
18,0,0,18,2020-04-05 23:00:00,,2020-04-05,0
18,0,0,18,2020-04-04 23:50:00,,2020-04-04,3
15,0,0,15,2020-04-03 23:30:00,,2020-04-03,6
9,0,0,9,2020-04-02 23:30:00,,2020-04-02,0
9,0,0,9,2020-04-01 23:00:00,,2020-04-01,1
8,0,0,8,2020-03-31 23:30:00,,2020-03-31,0
8,0,0,8,2020-03-30 22:30:00,,2020-03-30,6
2,0,0,2,2020-03-29 23:10:00,,2020-03-29,0
2,0,0,2,2020-03-28 23:30:00,,2020-03-28,0
2,0,0,2,2020-03-27 23:30:00,,2020-03-27,0
2,0,0,2,2020-03-26 22:40:00,,2020-03-26,0
2,0,0,2,2020-03-25 22:00:00,,2020-03-25,0
