Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
4372,3033,23,1316,2020-06-12 23:27:00,2020-06-12,2561
1811,498,10,1303,2020-05-06 17:43:00,2020-05-06,316
1495,329,7,1159,2020-05-01 21:43:00,2020-05-01,332
1163,246,7,910,2020-04-28 20:02:00,2020-04-28,167
996,208,7,781,2020-04-27 14:50:00,2020-04-27,0
996,208,7,781,2020-04-26 15:29:00,2020-04-26,42
954,191,6,757,2020-04-25 17:01:00,2020-04-25,92
862,170,6,686,2020-04-24 15:23:00,2020-04-24,101
761,164,6,591,2020-04-23 16:20:00,2020-04-23,73
688,127,6,555,2020-04-22 16:22:00,2020-04-22,66
622,122,5,495,2020-04-21 17:14:00,2020-04-21,43
579,87,5,487,2020-04-20 16:35:00,2020-04-20,61
518,65,3,450,2020-04-19 16:30:00,2020-04-19,41
477,59,3,415,2020-04-18 15:07:00,2020-04-18,39
438,49,1,388,2020-04-17 22:01:00,2020-04-17,0
438,49,1,388,2020-04-16 21:38:00,2020-04-16,34
404,31,1,372,2020-04-15 20:35:00,2020-04-15,41
363,31,0,332,2020-04-14 23:37:00,2020-04-14,113
250,17,0,233,2020-04-13 21:50:00,2020-04-13,0
250,17,0,233,2020-04-12 21:08:00,2020-04-12,38
212,15,0,197,2020-04-11 07:00:00,2020-04-11,0
212,15,0,197,2020-04-10 22:00:00,2020-04-10,18
194,11,0,183,2020-04-09 22:00:00,2020-04-09,30
164,5,0,159,2020-04-08 23:00:00,2020-04-08,20
144,5,0,139,2020-04-07 23:00:00,2020-04-07,16
128,5,0,123,2020-04-06 23:00:00,2020-04-06,7
121,5,0,116,2020-04-05 23:00:00,2020-04-05,10
111,5,0,106,2020-04-04 23:50:00,2020-04-04,38
73,2,0,71,2020-04-03 23:30:00,2020-04-03,21
52,0,0,52,2020-04-02 23:30:00,2020-04-02,22
30,0,0,30,2020-04-01 23:00:00,2020-04-01,8
22,0,0,22,2020-03-31 23:30:00,2020-03-31,0
22,0,0,22,2020-03-30 22:30:00,2020-03-30,6
16,0,0,16,2020-03-29 23:10:00,2020-03-29,8
8,0,0,8,2020-03-28 23:30:00,2020-03-28,0
8,0,0,8,2020-03-27 23:30:00,2020-03-27,4
4,0,0,4,2020-03-26 22:40:00,2020-03-26,0
4,0,0,4,2020-03-25 22:00:00,2020-03-25,0
4,0,0,4,2020-03-24 22:30:00,2020-03-24,0
4,0,0,4,2020-03-23 23:40:00,2020-03-23,2
2,0,0,2,2020-03-22 22:30:00,2020-03-22,0
2,0,0,2,2020-03-21 23:30:00,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,2020-03-20,1
1,0,0,1,2020-03-19 23:30:00,2020-03-19,0
