Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
67,9,7,51,2020-04-23 16:20:00,2020-04-23,1
66,9,7,50,2020-04-22 16:22:00,2020-04-22,0
66,9,7,50,2020-04-21 17:14:00,2020-04-21,1
65,9,7,49,2020-04-20 16:35:00,2020-04-20,2
63,9,6,48,2020-04-19 16:30:00,2020-04-19,0
63,9,6,48,2020-04-18 15:07:00,2020-04-18,6
57,9,6,42,2020-04-17 22:01:00,2020-04-17,2
55,8,6,41,2020-04-16 21:38:00,2020-04-16,7
48,8,6,34,2020-04-15 20:35:00,2020-04-15,1
47,8,6,33,2020-04-14 23:37:00,2020-04-14,2
45,8,6,31,2020-04-13 21:50:00,2020-04-13,0
45,8,6,31,2020-04-12 21:08:00,2020-04-12,5
40,8,6,26,2020-04-11 07:00:00,2020-04-11,3
37,8,6,23,2020-04-10 22:00:00,2020-04-10,0
37,8,6,23,2020-04-09 22:00:00,2020-04-09,0
37,8,6,23,2020-04-08 23:00:00,2020-04-08,4
33,8,5,20,2020-04-07 23:00:00,2020-04-07,2
31,8,5,18,2020-04-06 23:00:00,2020-04-06,2
29,0,4,25,2020-04-05 23:00:00,2020-04-05,5
24,0,4,20,2020-04-04 23:50:00,2020-04-04,1
23,0,4,19,2020-04-03 23:30:00,2020-04-03,4
19,0,4,15,2020-04-02 23:30:00,2020-04-02,0
19,0,4,15,2020-04-01 23:00:00,2020-04-01,7
12,0,2,10,2020-03-31 23:30:00,2020-03-31,4
8,0,1,7,2020-03-30 22:30:00,2020-03-30,0
8,0,1,7,2020-03-29 23:10:00,2020-03-29,0
8,0,1,7,2020-03-28 23:30:00,2020-03-28,3
5,0,1,4,2020-03-27 23:30:00,2020-03-27,0
5,0,1,4,2020-03-26 22:40:00,2020-03-26,0
5,0,1,4,2020-03-25 22:00:00,2020-03-25,0
5,0,1,4,2020-03-24 22:30:00,2020-03-24,-15
20,0,1,19,2020-03-23 23:40:00,2020-03-23,1
19,0,1,18,2020-03-22 22:30:00,2020-03-22,1
18,0,1,17,2020-03-21 23:30:00,2020-03-21,3
15,0,1,14,2020-03-20 22:45:00,2020-03-20,10
5,0,1,4,2020-03-19 23:30:00,2020-03-19,1
4,0,1,3,2020-03-18 23:30:00,2020-03-18,-3
7,0,1,6,2020-03-17 22:30:00,2020-03-17,0
