Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
41,0,3,38,2020-04-16 02:00:00,,2020-04-16,1
40,0,3,37,2020-04-15 20:35:00,,2020-04-15,0
40,0,3,37,2020-04-14 23:37:00,,2020-04-14,7
33,0,3,30,2020-04-13 21:50:00,,2020-04-13,0
33,0,2,31,2020-04-12 21:08:00,,2020-04-12,2
31,0,2,29,2020-04-11 07:00:00,,2020-04-11,0
31,0,2,29,2020-04-10 22:00:00,,2020-04-10,1
30,0,2,28,2020-04-09 22:00:00,,2020-04-09,3
27,0,1,26,2020-04-08 23:00:00,,2020-04-08,2
25,0,1,24,2020-04-07 23:00:00,,2020-04-07,1
24,0,1,23,2020-04-06 23:00:00,,2020-04-06,3
21,1,1,19,2020-04-05 23:00:00,,2020-04-05,0
21,1,0,20,2020-04-04 23:50:00,,2020-04-04,3
18,1,0,17,2020-04-03 23:30:00,,2020-04-03,0
18,1,0,17,2020-04-02 23:30:00,,2020-04-02,2
16,1,0,15,2020-04-01 23:00:00,,2020-04-01,1
15,1,0,14,2020-03-31 23:30:00,,2020-03-31,0
15,1,0,14,2020-03-30 22:30:00,,2020-03-30,0
15,1,0,14,2020-03-29 23:10:00,,2020-03-29,0
15,1,0,14,2020-03-28 23:30:00,,2020-03-28,7
8,0,0,8,2020-03-27 23:30:00,,2020-03-27,0
8,0,0,8,2020-03-26 22:40:00,,2020-03-26,0
8,0,0,8,2020-03-25 22:00:00,,2020-03-25,1
7,0,0,7,2020-03-24 22:30:00,,2020-03-24,1
6,0,0,6,2020-03-23 23:40:00,,2020-03-23,4
2,0,0,2,2020-03-22 22:30:00,,2020-03-22,0
2,0,0,2,2020-03-21 23:30:00,,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,,2020-03-20,0
2,0,0,2,2020-03-19 23:30:00,,2020-03-19,0
