Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
477,25,46,406,2020-04-20 16:35:00,2020-04-20,5
472,15,46,411,2020-04-19 16:30:00,2020-04-19,15
457,10,46,401,2020-04-18 15:07:00,2020-04-18,15
442,10,41,391,2020-04-17 22:01:00,2020-04-17,16
426,9,35,382,2020-04-16 21:38:00,2020-04-16,7
419,9,31,379,2020-04-15 20:35:00,2020-04-15,12
407,7,26,374,2020-04-14 23:37:00,2020-04-14,10
397,7,25,365,2020-04-13 21:50:00,2020-04-13,4
393,7,25,361,2020-04-12 21:08:00,2020-04-12,1
392,7,24,361,2020-04-11 07:00:00,2020-04-11,10
382,7,23,352,2020-04-10 22:00:00,2020-04-10,39
343,6,23,314,2020-04-09 22:00:00,2020-04-09,0
343,6,23,314,2020-04-08 23:00:00,2020-04-08,31
312,6,22,284,2020-04-07 23:00:00,2020-04-07,7
305,6,22,277,2020-04-06 23:00:00,2020-04-06,7
298,6,22,270,2020-04-05 23:00:00,2020-04-05,30
268,6,22,240,2020-04-04 23:50:00,2020-04-04,4
264,3,15,246,2020-04-03 23:30:00,2020-04-03,42
222,3,15,204,2020-04-02 23:30:00,2020-04-02,3
219,3,14,202,2020-04-01 23:00:00,2020-04-01,47
172,3,10,159,2020-03-31 23:30:00,2020-03-31,31
141,3,7,131,2020-03-30 22:30:00,2020-03-30,31
110,3,3,104,2020-03-29 23:10:00,2020-03-29,15
95,3,1,91,2020-03-28 23:30:00,2020-03-28,0
95,3,1,91,2020-03-27 23:30:00,2020-03-27,28
67,0,1,66,2020-03-26 22:40:00,2020-03-26,15
52,0,0,52,2020-03-25 22:00:00,2020-03-25,16
36,0,0,36,2020-03-24 22:30:00,2020-03-24,6
30,0,0,30,2020-03-23 23:40:00,2020-03-23,4
26,0,0,26,2020-03-22 22:30:00,2020-03-22,2
24,0,0,24,2020-03-21 23:30:00,2020-03-21,0
24,0,0,24,2020-03-20 22:45:00,2020-03-20,0
24,0,0,24,2020-03-19 23:30:00,2020-03-19,15
9,0,0,9,2020-03-18 23:30:00,2020-03-18,1
8,0,0,8,2020-03-17 22:30:00,2020-03-17,2
6,0,0,6,2020-03-16 22:00:00,2020-03-16,3
3,0,0,3,2020-03-15 23:30:00,2020-03-15,0
3,0,0,3,2020-03-14 22:30:00,2020-03-14,1
2,0,0,2,2020-03-13 22:00:00,2020-03-13,0
2,0,0,2,2020-03-12 22:00:00,2020-03-12,0
2,0,0,2,2020-03-11 22:30:00,2020-03-11,2
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
