Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
1017,459,4,554,2020-04-16 02:00:00,,2020-04-16,0
1017,459,4,554,2020-04-15 20:35:00,,2020-04-15,4
1013,434,4,575,2020-04-14 23:37:00,,2020-04-14,3
1010,397,4,609,2020-04-13 21:50:00,,2020-04-13,9
1001,336,4,661,2020-04-12 21:08:00,,2020-04-12,0
1001,336,4,661,2020-04-11 07:00:00,,2020-04-11,11
990,309,4,677,2020-04-10 22:00:00,,2020-04-10,16
974,293,4,677,2020-04-09 22:00:00,,2020-04-09,13
961,264,4,693,2020-04-08 23:00:00,,2020-04-08,25
936,236,4,696,2020-04-07 23:00:00,,2020-04-07,21
915,216,4,695,2020-04-06 23:00:00,,2020-04-06,24
891,206,4,681,2020-04-05 23:00:00,,2020-04-05,29
862,173,4,685,2020-04-04 23:50:00,,2020-04-04,17
845,173,4,668,2020-04-03 23:30:00,,2020-04-03,43
802,154,4,644,2020-04-02 23:30:00,,2020-04-02,36
766,147,4,615,2020-04-01 23:00:00,,2020-04-01,51
715,128,4,583,2020-03-31 23:30:00,,2020-03-31,32
683,118,4,561,2020-03-30 22:30:00,,2020-03-30,41
642,118,4,520,2020-03-29 23:10:00,,2020-03-29,82
560,112,4,444,2020-03-28 23:30:00,,2020-03-28,41
519,111,4,404,2020-03-27 23:30:00,,2020-03-27,65
454,110,4,340,2020-03-26 22:40:00,,2020-03-26,44
410,102,4,304,2020-03-25 22:00:00,,2020-03-25,23
387,102,4,281,2020-03-24 22:30:00,,2020-03-24,30
357,100,4,253,2020-03-23 23:40:00,,2020-03-23,39
318,100,4,214,2020-03-22 22:30:00,,2020-03-22,44
274,100,4,170,2020-03-21 23:30:00,,2020-03-21,18
256,98,4,154,2020-03-20 22:45:00,,2020-03-20,48
208,98,4,106,2020-03-19 23:30:00,,2020-03-19,15
193,95,4,94,2020-03-18 23:30:00,,2020-03-18,25
168,81,4,83,2020-03-17 22:30:00,,2020-03-17,13
155,81,4,70,2020-03-16 22:00:00,,2020-03-16,6
149,81,4,64,2020-03-15 23:30:00,,2020-03-15,7
142,81,4,57,2020-03-14 22:30:00,,2020-03-14,10
132,78,4,50,2020-03-13 22:00:00,,2020-03-13,1
131,77,3,51,2020-03-12 22:00:00,,2020-03-12,1
130,77,3,50,2020-03-11 22:30:00,,2020-03-11,9
121,65,3,53,2020-03-10 23:00:00,,2020-03-10,5
116,59,3,54,2020-03-09 22:30:00,,2020-03-09,1
115,59,3,53,2020-03-08 22:00:00,,2020-03-08,6
109,55,2,52,2020-03-07 22:00:00,,2020-03-07,1
108,51,2,55,2020-03-06 20:30:00,,2020-03-06,4
104,46,2,56,2020-03-05 20:30:00,,2020-03-05,0
104,43,2,59,2020-03-04 22:00:00,,2020-03-04,3
101,37,2,62,2020-03-03 23:30:00,,2020-03-03,1
100,36,2,62,2020-03-02 22:00:00,,2020-03-02,2
98,36,2,60,2020-03-01 23:00:00,,2020-03-01,3
95,33,2,60,2020-02-29 23:00:00,,2020-02-29,1
94,30,2,62,2020-02-28 23:00:00,,2020-02-28,1
93,26,2,65,2020-02-27 22:00:00,,2020-02-27,2
91,24,2,65,2020-02-26 23:30:00,,2020-02-26,6
85,18,2,65,2020-02-25 22:00:00,,2020-02-25,4
81,18,2,61,2020-02-24 23:00:00,,2020-02-24,7
74,12,2,60,2020-02-23 22:00:00,,2020-02-23,4
70,11,2,57,2020-02-22 23:00:00,,2020-02-22,2
68,6,2,60,2020-02-21 23:00:00,,2020-02-21,0
68,6,2,60,2020-02-20 22:00:00,,2020-02-20,3
65,5,2,58,2020-02-19 23:00:00,,2020-02-19,3
62,4,2,56,2020-02-18 23:00:00,,2020-02-18,2
60,2,1,57,2020-02-17 23:00:00,,2020-02-17,3
57,2,1,54,2020-02-16 22:30:00,,2020-02-16,1
56,1,1,54,2020-02-15 23:00:00,,2020-02-15,0
56,1,1,54,2020-02-14 23:00:00,,2020-02-14,3
53,1,1,51,2020-02-13 22:00:00,,2020-02-13,3
50,1,1,48,2020-02-12 21:30:00,,2020-02-12,1
49,0,1,48,2020-02-11 23:00:00,,2020-02-11,7
42,0,1,41,2020-02-10 22:30:00,,2020-02-10,6
36,0,1,35,2020-02-09 23:00:00,,2020-02-09,10
26,0,1,25,2020-02-08 22:00:00,,2020-02-08,0
26,0,1,25,2020-02-07 23:00:00,,2020-02-07,2
24,0,1,23,2020-02-06 21:30:00,,2020-02-06,3
21,0,1,20,2020-02-05 23:00:00,,2020-02-05,4
17,0,1,16,2020-02-04 20:00:00,,2020-02-04,2
15,0,0,15,2020-02-03 20:00:00,,2020-02-03,0
15,0,0,15,2020-02-02 22:00:00,,2020-02-02,1
14,0,0,14,2020-02-01 23:00:00,,2020-02-01,1
13,0,0,13,2020-01-31 19:00:00,,2020-01-31,1
12,0,0,12,2020-01-30 21:30:00,,2020-01-30,2
10,0,0,10,2020-01-29 21:00:00,,2020-01-29,2
8,0,0,8,2020-01-28 23:00:00,,2020-01-28,0
8,0,0,8,2020-01-27 20:30:00,,2020-01-27,0
8,0,0,8,2020-01-26 23:00:00,,2020-01-26,3
5,0,0,5,2020-01-25 22:00:00,,2020-01-25,3
2,0,0,2,2020-01-24 12:00:00,,2020-01-24,0
2,0,0,2,2020-01-23 00:00:00,,2020-01-23,0
