Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1790,1570,10,210,2020-04-26 15:29:00,2020-04-26,1
1789,1542,10,237,2020-04-25 17:01:00,2020-04-25,0
1789,1509,10,270,2020-04-24 15:23:00,2020-04-24,4
1785,1462,10,313,2020-04-23 16:20:00,2020-04-23,7
1778,1417,10,351,2020-04-22 16:22:00,2020-04-22,5
1773,1362,10,401,2020-04-21 17:14:00,2020-04-21,2
1771,1291,9,471,2020-04-20 16:35:00,2020-04-20,11
1760,1291,9,460,2020-04-19 16:30:00,2020-04-19,6
1754,1224,9,521,2020-04-18 15:07:00,2020-04-18,0
1754,1224,9,521,2020-04-17 22:01:00,2020-04-17,27
1727,1077,8,642,2020-04-16 21:38:00,2020-04-16,0
1727,1077,8,642,2020-04-15 20:35:00,2020-04-15,7
1720,989,8,723,2020-04-14 23:37:00,2020-04-14,9
1711,933,8,770,2020-04-13 21:50:00,2020-04-13,22
1689,841,8,840,2020-04-12 21:08:00,2020-04-12,14
1675,751,7,917,2020-04-11 07:00:00,2020-04-11,0
1675,751,7,917,2020-04-10 22:00:00,2020-04-10,27
1648,688,6,954,2020-04-09 22:00:00,2020-04-09,32
1616,633,6,977,2020-04-08 23:00:00,2020-04-08,30
1586,559,6,1021,2020-04-07 23:00:00,2020-04-07,24
1562,460,6,1096,2020-04-06 23:00:00,2020-04-06,76
1486,428,4,1054,2020-04-05 23:00:00,2020-04-05,69
1417,396,4,1017,2020-04-04 23:50:00,2020-04-04,53
1364,309,4,1051,2020-04-03 23:30:00,2020-04-03,45
1319,284,4,1031,2020-04-02 23:30:00,2020-04-02,99
1220,236,2,982,2020-04-01 23:00:00,2020-04-01,85
1135,198,2,935,2020-03-31 23:30:00,2020-03-31,49
1086,157,2,927,2020-03-30 22:30:00,2020-03-30,66
1020,135,2,883,2020-03-29 23:10:00,2020-03-29,57
963,114,2,847,2020-03-28 23:30:00,2020-03-28,73
890,97,2,791,2020-03-27 23:30:00,2020-03-27,88
802,82,2,718,2020-03-26 22:40:00,2020-03-26,65
737,56,2,679,2020-03-25 22:00:00,2020-03-25,89
648,51,2,595,2020-03-24 22:30:00,2020-03-24,60
588,51,1,536,2020-03-23 23:40:00,2020-03-23,20
568,5,1,562,2020-03-22 22:30:00,2020-03-22,95
473,5,1,467,2020-03-21 23:30:00,2020-03-21,64
409,5,0,404,2020-03-20 22:45:00,2020-03-20,79
330,5,0,325,2020-03-19 23:30:00,2020-03-19,80
250,5,0,245,2020-03-18 23:30:00,2020-03-18,3
247,5,0,242,2020-03-17 22:30:00,2020-03-17,48
199,0,0,199,2020-03-16 22:00:00,2020-03-16,19
180,0,0,180,2020-03-15 23:30:00,2020-03-15,19
161,0,0,161,2020-03-14 22:30:00,2020-03-14,27
