Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
30185,7248,961,21976,2020-04-28 20:02:00,2020-04-28,2098
28087,6573,886,20628,2020-04-27 14:50:00,2020-04-27,1619
26468,6024,827,19617,2020-04-26 15:29:00,2020-04-26,1694
24774,5547,784,18443,2020-04-25 17:01:00,2020-04-25,1535
23239,5080,725,17434,2020-04-24 15:23:00,2020-04-24,1712
21527,4416,685,16426,2020-04-23 16:20:00,2020-04-23,1078
20449,4066,653,15730,2020-04-22 16:22:00,2020-04-22,1910
18539,3273,592,14674,2020-04-21 17:14:00,2020-04-21,670
17869,2898,567,14404,2020-04-20 16:35:00,2020-04-20,1741
16128,2506,528,13094,2020-04-19 16:30:00,2020-04-19,1452
14676,2054,496,12126,2020-04-18 15:07:00,2020-04-18,447
14229,2006,479,11744,2020-04-17 22:01:00,2020-04-17,1908
12456,1513,423,10520,2020-04-16 22:00:00,2020-04-16,901
11555,1362,396,9797,2020-04-15 22:00:00,2020-04-15,1014
10541,1205,358,8978,2020-04-14 22:00:00,2020-04-14,1301
9240,1096,331,7813,2020-04-13 22:00:00,2020-04-13,736
8504,972,289,7243,2020-04-12 22:00:00,2020-04-12,904
7600,774,249,6577,2020-04-11 22:00:00,2020-04-11,829
6771,635,228,5908,2020-04-10 22:00:00,2020-04-10,534
6237,569,186,5482,2020-04-09 22:00:00,2020-04-09,757
5480,468,164,4848,2020-04-08 22:00:00,2020-04-08,572
4908,382,137,4389,2020-04-07 22:00:00,2020-04-07,594
4314,328,118,3868,2020-04-06 22:00:00,2020-04-06,726
3588,229,99,3260,2020-04-05 22:00:00,2020-04-05,506
3082,229,86,2767,2020-04-04 21:00:00,2020-04-04,515
2567,192,72,2303,2020-04-03 21:00:00,2020-04-03,535
2032,148,58,1826,2020-04-02 21:00:00,2020-04-02,442
1590,148,45,1397,2020-04-01 21:00:00,2020-04-01,339
1251,102,32,1117,2020-03-31 21:00:00,2020-03-31,180
1071,100,29,942,2020-03-30 21:00:00,2020-03-30,84
987,87,25,875,2020-03-29 21:00:00,2020-03-29,54
933,84,20,829,2020-03-28 21:00:00,2020-03-28,158
775,71,20,684,2020-03-27 21:10:00,2020-03-27,80
695,45,14,636,2020-03-26 22:20:00,2020-03-26,133
562,40,10,512,2020-03-25 23:20:00,2020-03-25,51
511,37,10,464,2020-03-24 21:20:00,2020-03-24,86
425,24,8,393,2020-03-23 21:40:00,2020-03-23,93
332,24,5,303,2020-03-22 21:00:00,2020-03-22,57
275,23,5,247,2020-03-21 21:00:00,2020-03-21,69
206,20,5,181,2020-03-20 21:20:00,2020-03-20,32
174,15,3,156,2020-03-19 21:30:00,2020-03-19,22
152,14,3,135,2020-03-18 22:00:00,2020-03-18,26
126,13,3,110,2020-03-17 21:00:00,2020-03-17,9
117,13,2,102,2020-03-16 21:00:00,2020-03-16,10
107,10,2,95,2020-03-15 21:00:00,2020-03-15,24
83,10,2,71,2020-03-14 21:00:00,2020-03-14,5
78,4,1,73,2020-03-13 21:00:00,2020-03-13,5
73,4,0,69,2020-03-12 21:00:00,2020-03-12,11
62,4,0,58,2020-03-11 21:00:00,2020-03-11,6
56,4,0,52,2020-03-10 21:00:00,2020-03-10,13
43,4,0,39,2020-03-09 21:00:00,2020-03-09,4
39,3,0,36,2020-03-08 21:00:00,2020-03-08,8
31,3,0,28,2020-03-07 21:00:00,2020-03-07,0
31,3,0,28,2020-03-06 21:00:00,2020-03-06,3
28,3,0,25,2020-03-05 21:00:00,2020-03-05,0
28,3,0,25,2020-03-04 21:00:00,2020-03-04,22
6,3,0,3,2020-03-03 21:00:00,2020-03-03,1
5,3,0,2,2020-03-02 21:00:00,2020-03-02,2
3,3,0,0,2020-03-01 21:00:00,2020-03-01,0
3,3,0,0,2020-02-29 21:00:00,2020-02-29,0
3,3,0,0,2020-02-28 21:00:00,2020-02-28,0
3,3,0,0,2020-02-27 21:00:00,2020-02-27,0
3,3,0,0,2020-02-26 21:00:00,2020-02-26,0
3,3,0,0,2020-02-25 21:00:00,2020-02-25,0
3,3,0,0,2020-02-24 21:00:00,2020-02-24,0
3,3,0,0,2020-02-23 21:00:00,2020-02-23,0
3,3,0,0,2020-02-22 21:00:00,2020-02-22,0
3,3,0,0,2020-02-21 21:00:00,2020-02-21,0
3,3,0,0,2020-02-20 21:00:00,2020-02-20,0
3,3,0,0,2020-02-19 21:00:00,2020-02-19,0
3,3,0,0,2020-02-18 21:00:00,2020-02-18,0
3,3,0,0,2020-02-17 21:00:00,2020-02-17,0
3,3,0,0,2020-02-16 21:00:00,2020-02-16,0
3,3,0,0,2020-02-15 21:00:00,2020-02-15,0
3,1,0,2,2020-02-14 21:00:00,2020-02-14,0
3,0,0,3,2020-02-13 21:00:00,2020-02-13,0
3,0,0,3,2020-02-12 21:00:00,2020-02-12,0
3,0,0,3,2020-02-11 20:30:00,2020-02-11,0
3,0,0,3,2020-02-10 21:00:00,2020-02-10,0
