Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
85996,63113,5391,17492,2020-04-23 16:20:00,2020-04-23,1194
84802,60965,5297,18540,2020-04-22 16:22:00,2020-04-22,0
84802,60965,5297,18540,2020-04-21 17:14:00,2020-04-21,2591
82211,57023,5118,20070,2020-04-20 16:35:00,2020-04-20,0
82211,57023,5118,20070,2020-04-19 16:30:00,2020-04-19,2717
79494,54064,4958,20472,2020-04-18 15:07:00,2020-04-18,0
79494,54064,4958,20472,2020-04-17 22:01:00,2020-04-17,1499
77995,52229,4869,20897,2020-04-16 21:38:00,2020-04-16,1606
76389,49933,4777,21679,2020-04-15 20:35:00,2020-04-15,1512
74877,48129,4683,22065,2020-04-14 23:37:00,2020-04-14,1574
73303,45983,4585,22735,2020-04-13 21:50:00,2020-04-13,3274
70029,41947,4357,23725,2020-04-12 21:08:00,2020-04-12,1837
68192,35465,4232,28495,2020-04-11 07:00:00,2020-04-11,0
68192,35465,4232,28495,2020-04-10 22:00:00,2020-04-10,1972
66220,32309,4110,29801,2020-04-09 22:00:00,2020-04-09,1634
64586,29812,3993,30781,2020-04-08 23:00:00,2020-04-08,1997
62589,27039,3872,31678,2020-04-07 23:00:00,2020-04-07,2089
60500,24236,3739,32525,2020-04-06 23:00:00,2020-04-06,2274
58226,19736,3603,34887,2020-04-05 23:00:00,2020-04-05,2483
55743,19736,3452,32555,2020-04-04 23:50:00,2020-04-04,2560
53183,17935,3294,31954,2020-04-03 23:30:00,2020-04-03,2715
50468,16711,3160,30597,2020-04-02 23:30:00,2020-04-02,2875
47593,15473,3036,29084,2020-04-01 23:00:00,2020-04-01,2988
44605,14656,2898,27051,2020-03-31 23:30:00,2020-03-31,3110
41495,13911,2757,24827,2020-03-30 22:30:00,2020-03-30,3186
38309,12391,2640,23278,2020-03-29 23:10:00,2020-03-29,2901
35408,11679,2517,21212,2020-03-28 23:30:00,2020-03-28,3076
32332,11133,2378,18821,2020-03-27 23:30:00,2020-03-27,2926
29406,10457,2234,16715,2020-03-26 22:40:00,2020-03-26,2389
27017,9625,2077,15315,2020-03-25 22:00:00,2020-03-25,2206
24811,8913,1934,13964,2020-03-24 22:30:00,2020-03-24,1762
23049,8376,1812,12861,2020-03-23 23:40:00,2020-03-23,1411
21638,7913,1685,12040,2020-03-22 22:30:00,2020-03-22,1028
20610,7635,1556,11419,2020-03-21 23:30:00,2020-03-21,966
19644,6745,1433,11466,2020-03-20 22:45:00,2020-03-20,1237
18407,5979,1284,11144,2020-03-19 23:30:00,2020-03-19,1046
17361,5710,1135,10516,2020-03-18 23:30:00,2020-03-18,1192
16169,5389,988,9792,2020-03-17 22:30:00,2020-03-17,1178
14991,4996,853,9142,2020-03-16 22:00:00,2020-03-16,1053
13938,4590,724,8624,2020-03-15 23:30:00,2020-03-15,1209
12729,4339,611,7779,2020-03-14 22:30:00,2020-03-14,1365
11364,3529,514,7321,2020-03-13 22:00:00,2020-03-13,1289
10075,3276,429,6370,2020-03-12 22:00:00,2020-03-12,1075
9000,2959,354,5687,2020-03-11 22:30:00,2020-03-11,958
8042,2731,291,5020,2020-03-10 23:00:00,2020-03-10,881
7161,2394,237,4530,2020-03-09 22:30:00,2020-03-09,595
6566,2134,194,4238,2020-03-08 22:00:00,2020-03-08,743
5823,1669,145,4009,2020-03-07 22:00:00,2020-03-07,1076
4747,913,124,3710,2020-03-06 20:30:00,2020-03-06,1234
3513,739,108,2666,2020-03-05 20:30:00,2020-03-05,591
2922,552,92,2278,2020-03-04 22:00:00,2020-03-04,586
2336,435,77,1824,2020-03-03 23:30:00,2020-03-03,835
1501,291,66,1144,2020-03-02 22:00:00,2020-03-02,523
978,175,54,749,2020-03-01 23:00:00,2020-03-01,385
593,123,43,427,2020-02-29 23:00:00,2020-02-29,205
388,73,34,281,2020-02-28 23:00:00,2020-02-28,143
245,54,26,165,2020-02-27 22:00:00,2020-02-27,106
139,3,19,117,2020-02-26 23:30:00,2020-02-26,44
95,3,16,76,2020-02-25 22:00:00,2020-02-25,34
61,3,12,46,2020-02-24 23:00:00,2020-02-24,18
43,0,8,35,2020-02-23 22:00:00,2020-02-23,14
29,0,6,23,2020-02-22 23:00:00,2020-02-22,11
18,0,4,14,2020-02-21 23:00:00,2020-02-21,13
5,0,2,3,2020-02-20 22:00:00,2020-02-20,3
2,0,2,0,2020-02-19 23:00:00,2020-02-19,2
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
