Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
291,169,4,118,2020-04-18 15:07:00,,2020-04-18,0
291,169,4,118,2020-04-17 22:01:00,,2020-04-17,8
283,153,4,126,2020-04-16 21:38:00,,2020-04-16,27
256,151,4,101,2020-04-15 20:35:00,,2020-04-15,14
242,141,2,99,2020-04-14 23:37:00,,2020-04-14,0
242,131,2,109,2020-04-13 21:50:00,,2020-04-13,16
226,112,2,112,2020-04-12 21:08:00,,2020-04-12,25
201,103,1,97,2020-04-11 07:00:00,,2020-04-11,0
201,103,1,97,2020-04-10 22:00:00,,2020-04-10,11
190,92,1,97,2020-04-09 22:00:00,,2020-04-09,32
158,82,1,75,2020-04-08 23:00:00,,2020-04-08,8
150,73,1,76,2020-04-07 23:00:00,,2020-04-07,11
139,55,1,83,2020-04-06 23:00:00,,2020-04-06,12
127,0,1,126,2020-04-05 23:00:00,,2020-04-05,1
126,0,1,125,2020-04-04 23:50:00,,2020-04-04,12
114,0,1,113,2020-04-03 23:30:00,,2020-04-03,19
95,0,1,94,2020-04-02 23:30:00,,2020-04-02,27
68,0,1,67,2020-04-01 23:00:00,,2020-04-01,8
60,0,0,60,2020-03-31 23:30:00,,2020-03-31,11
49,0,0,49,2020-03-30 22:30:00,,2020-03-30,7
42,0,0,42,2020-03-29 23:10:00,,2020-03-29,10
32,0,0,32,2020-03-28 23:30:00,,2020-03-28,3
29,0,0,29,2020-03-27 23:30:00,,2020-03-27,4
25,0,0,25,2020-03-26 22:40:00,,2020-03-26,2
23,0,0,23,2020-03-25 22:00:00,,2020-03-25,0
23,0,0,23,2020-03-24 22:30:00,,2020-03-24,10
13,0,0,13,2020-03-23 23:40:00,,2020-03-23,8
5,0,0,5,2020-03-22 22:30:00,,2020-03-22,3
2,0,0,2,2020-03-21 23:30:00,,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,,2020-03-20,1
1,0,0,1,2020-03-19 23:30:00,,2020-03-19,0
