Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
14592,5334,191,9067,2020-04-23 16:20:00,2020-04-23,266
14326,4961,187,9178,2020-04-22 16:22:00,2020-04-22,443
13883,4353,181,9349,2020-04-21 17:14:00,2020-04-21,229
13654,3872,173,9609,2020-04-20 16:35:00,2020-04-20,292
13362,3564,171,9627,2020-04-19 16:30:00,2020-04-19,255
13107,3247,158,9702,2020-04-18 15:07:00,2020-04-18,252
12855,2967,148,9740,2020-04-17 22:01:00,2020-04-17,264
12591,2624,140,9827,2020-04-16 21:38:00,2020-04-16,391
12200,2309,126,9765,2020-04-15 20:35:00,2020-04-15,332
11868,2000,117,9751,2020-04-14 23:37:00,2020-04-14,633
11235,1689,113,9433,2020-04-13 21:50:00,2020-04-13,357
10878,1388,103,9387,2020-04-12 21:08:00,2020-04-12,373
10505,1236,95,9174,2020-04-11 07:00:00,2020-04-11,97
10408,1183,95,9130,2020-04-10 22:00:00,2020-04-10,440
9968,1011,86,8871,2020-04-09 22:00:00,2020-04-09,564
9404,801,73,8530,2020-04-08 23:00:00,2020-04-08,156
9248,770,65,8413,2020-04-07 23:00:00,2020-04-07,344
8904,585,57,8262,2020-04-06 23:00:00,2020-04-06,474
8430,477,49,7904,2020-04-05 23:00:00,2020-04-05,579
7851,427,44,7380,2020-04-04 23:50:00,2020-04-04,423
7428,403,40,6985,2020-04-03 23:30:00,2020-04-03,571
6857,338,36,6483,2020-04-02 23:30:00,2020-04-02,765
6092,241,26,5825,2020-04-01 23:00:00,2020-04-01,734
5358,224,20,5114,2020-03-31 23:30:00,2020-03-31,663
4695,161,16,4518,2020-03-30 22:30:00,2020-03-30,448
4247,132,15,4100,2020-03-29 23:10:00,2020-03-29,628
3619,89,12,3518,2020-03-28 23:30:00,2020-03-28,584
3035,79,12,2944,2020-03-27 23:30:00,2020-03-27,342
2693,68,8,2617,2020-03-26 22:40:00,2020-03-26,324
2369,58,5,2306,2020-03-25 22:00:00,2020-03-25,439
1930,53,3,1874,2020-03-24 22:30:00,2020-03-24,488
1442,41,1,1400,2020-03-23 23:40:00,2020-03-23,371
1071,37,1,1033,2020-03-22 22:30:00,2020-03-22,188
883,36,1,846,2020-03-21 23:30:00,2020-03-21,178
705,15,1,689,2020-03-20 22:45:00,2020-03-20,28
677,14,0,663,2020-03-19 23:30:00,2020-03-19,244
433,11,0,422,2020-03-18 23:30:00,2020-03-18,96
337,11,0,326,2020-03-17 22:30:00,2020-03-17,39
298,4,0,294,2020-03-16 22:00:00,2020-03-16,85
213,4,0,209,2020-03-15 23:30:00,2020-03-15,20
193,4,0,189,2020-03-14 22:30:00,2020-03-14,50
143,4,0,139,2020-03-13 22:00:00,2020-03-13,34
109,4,0,105,2020-03-12 22:00:00,2020-03-12,12
97,4,0,93,2020-03-11 22:30:00,2020-03-11,22
75,4,0,71,2020-03-10 23:00:00,2020-03-10,25
50,4,0,46,2020-03-09 22:30:00,2020-03-09,11
39,3,0,36,2020-03-08 22:00:00,2020-03-08,18
21,2,0,19,2020-03-07 22:00:00,2020-03-07,0
21,2,0,19,2020-03-06 20:30:00,2020-03-06,4
17,1,0,16,2020-03-05 20:30:00,2020-03-05,2
15,1,0,14,2020-03-04 22:00:00,2020-03-04,3
12,1,0,11,2020-03-03 23:30:00,2020-03-03,0
12,1,0,11,2020-03-02 22:00:00,2020-03-02,2
10,1,0,9,2020-03-01 23:00:00,2020-03-01,3
7,1,0,6,2020-02-29 23:00:00,2020-02-29,0
7,1,0,6,2020-02-28 23:00:00,2020-02-28,4
3,0,0,3,2020-02-27 22:00:00,2020-02-27,1
2,0,0,2,2020-02-26 23:30:00,2020-02-26,0
2,0,0,2,2020-02-25 22:00:00,2020-02-25,0
2,0,0,2,2020-02-24 23:00:00,2020-02-24,0
2,0,0,2,2020-02-23 22:00:00,2020-02-23,1
1,0,0,1,2020-02-22 23:00:00,2020-02-22,0
1,0,0,1,2020-02-21 23:00:00,2020-02-21,1
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
