Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
162488,37130,21067,104291,2020-04-15 20:35:00,,2020-04-15,0
162488,37130,21067,104291,2020-04-14 23:37:00,,2020-04-14,2972
159516,35435,20465,103616,2020-04-13 21:50:00,,2020-04-13,7245
152271,32534,19468,100269,2020-04-12 21:08:00,,2020-04-12,4694
147577,30455,18849,98273,2020-04-11 07:00:00,,2020-04-11,0
147577,30455,18849,98273,2020-04-10 22:00:00,,2020-04-10,3951
143626,28470,18279,96877,2020-04-09 22:00:00,,2020-04-09,4204
139422,26491,17669,95262,2020-04-08 23:00:00,,2020-04-08,3836
135586,24392,17127,94067,2020-04-07 23:00:00,,2020-04-07,3039
132547,22837,16523,93187,2020-04-06 23:00:00,,2020-04-06,3599
128948,21815,15887,91246,2020-04-05 23:00:00,,2020-04-05,4316
124632,20996,15362,88274,2020-04-04 23:50:00,,2020-04-04,4805
119827,19758,14681,85388,2020-04-03 23:30:00,,2020-04-03,4585
115242,18278,13915,83049,2020-04-02 23:30:00,,2020-04-02,4668
110574,16847,13155,80572,2020-04-01 23:00:00,,2020-04-01,4782
105792,15729,12428,77635,2020-03-31 23:30:00,,2020-03-31,4053
101739,14620,11591,75528,2020-03-30 22:30:00,,2020-03-30,4050
97689,13030,10779,73880,2020-03-29 23:10:00,,2020-03-29,5217
92472,12384,10023,70065,2020-03-28 23:30:00,,2020-03-28,5974
86498,10950,9134,66414,2020-03-27 23:30:00,,2020-03-27,5909
80589,10361,8215,62013,2020-03-26 22:40:00,,2020-03-26,6203
74386,9362,7503,57521,2020-03-25 22:00:00,,2020-03-25,5210
69176,8326,6820,54030,2020-03-24 22:30:00,,2020-03-24,5249
63927,7432,6077,50418,2020-03-23 23:40:00,,2020-03-23,4789
59138,7024,5476,46638,2020-03-22 22:30:00,,2020-03-22,5560
53578,6072,4825,42681,2020-03-21 23:30:00,,2020-03-21,6557
47021,5129,4032,37860,2020-03-20 22:45:00,,2020-03-20,5986
41035,4440,3405,33190,2020-03-19 23:30:00,,2020-03-19,5322
35713,4025,2978,28710,2020-03-18 23:30:00,,2020-03-18,4207
31506,2941,2503,26062,2020-03-17 22:30:00,,2020-03-17,3526
27980,2749,2158,23073,2020-03-16 22:00:00,,2020-03-16,3233
24747,2335,1809,20603,2020-03-15 23:30:00,,2020-03-15,3590
21157,1966,1441,17750,2020-03-14 22:30:00,,2020-03-14,3497
17660,1439,1266,14955,2020-03-13 22:00:00,,2020-03-13,2547
15113,1258,1016,12839,2020-03-12 22:00:00,,2020-03-12,2651
12462,1045,827,10590,2020-03-11 22:30:00,,2020-03-11,2313
10149,1004,631,8514,2020-03-10 23:00:00,,2020-03-10,977
9172,724,463,7985,2020-03-09 22:30:00,,2020-03-09,1797
7375,622,366,6387,2020-03-08 22:00:00,,2020-03-08,1492
5883,589,233,5061,2020-03-07 22:00:00,,2020-03-07,1247
4636,523,197,3916,2020-03-06 20:30:00,,2020-03-06,778
3858,414,148,3296,2020-03-05 20:30:00,,2020-03-05,769
3089,276,107,2706,2020-03-04 22:00:00,,2020-03-04,587
2502,160,79,2263,2020-03-03 23:30:00,,2020-03-03,466
2036,149,52,1835,2020-03-02 22:00:00,,2020-03-02,335
1701,83,41,1577,2020-03-01 23:00:00,,2020-03-01,573
1128,50,29,1049,2020-02-29 23:00:00,,2020-02-29,239
889,46,21,822,2020-02-28 23:00:00,,2020-02-28,234
655,45,17,593,2020-02-27 22:00:00,,2020-02-27,185
470,3,12,455,2020-02-26 23:30:00,,2020-02-26,147
323,2,11,310,2020-02-25 22:00:00,,2020-02-25,92
231,1,7,223,2020-02-24 23:00:00,,2020-02-24,74
157,1,3,153,2020-02-23 22:00:00,,2020-02-23,78
79,1,2,76,2020-02-22 23:00:00,,2020-02-22,58
21,1,1,19,2020-02-21 23:00:00,,2020-02-21,17
4,0,0,4,2020-02-20 22:00:00,,2020-02-20,1
3,0,0,3,2020-02-19 23:00:00,,2020-02-19,0
3,0,0,3,2020-02-18 23:00:00,,2020-02-18,0
3,0,0,3,2020-02-17 23:00:00,,2020-02-17,0
3,0,0,3,2020-02-16 22:30:00,,2020-02-16,0
3,0,0,3,2020-02-15 23:00:00,,2020-02-15,0
3,0,0,3,2020-02-14 23:00:00,,2020-02-14,0
3,0,0,3,2020-02-13 22:00:00,,2020-02-13,0
3,0,0,3,2020-02-12 21:30:00,,2020-02-12,0
3,0,0,3,2020-02-11 23:00:00,,2020-02-11,0
3,0,0,3,2020-02-10 22:30:00,,2020-02-10,0
3,0,0,3,2020-02-09 23:00:00,,2020-02-09,0
3,0,0,3,2020-02-08 22:00:00,,2020-02-08,0
3,0,0,3,2020-02-07 23:00:00,,2020-02-07,0
3,0,0,3,2020-02-06 21:30:00,,2020-02-06,1
2,0,0,2,2020-02-05 23:00:00,,2020-02-05,0
2,0,0,2,2020-02-04 20:00:00,,2020-02-04,0
2,0,0,2,2020-02-03 20:00:00,,2020-02-03,0
2,0,0,2,2020-02-02 22:00:00,,2020-02-02,0
2,0,0,2,2020-02-01 23:00:00,,2020-02-01,0
2,0,0,2,2020-01-31 19:00:00,,2020-01-31,0
2,0,0,2,2020-01-30 21:30:00,,2020-01-30,0
