Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
916,303,13,600,2020-04-22 16:22:00,2020-04-22,37
879,287,10,582,2020-04-21 17:14:00,2020-04-21,32
847,260,9,578,2020-04-20 16:35:00,2020-04-20,46
801,239,8,554,2020-04-19 16:30:00,2020-04-19,113
688,193,6,489,2020-04-18 15:07:00,2020-04-18,0
688,193,6,489,2020-04-17 22:01:00,2020-04-17,34
654,146,6,502,2020-04-16 21:38:00,2020-04-16,16
638,114,6,518,2020-04-15 20:35:00,2020-04-15,12
626,89,6,531,2020-04-14 23:37:00,2020-04-14,52
574,85,5,484,2020-04-13 21:50:00,2020-04-13,41
533,58,4,471,2020-04-12 21:08:00,2020-04-12,53
480,54,3,423,2020-04-11 07:00:00,2020-04-11,0
480,54,3,423,2020-04-10 22:00:00,2020-04-10,36
444,52,3,389,2020-04-09 22:00:00,2020-04-09,60
384,48,3,333,2020-04-08 23:00:00,2020-04-08,35
349,41,3,305,2020-04-07 23:00:00,2020-04-07,26
323,41,3,279,2020-04-06 23:00:00,2020-04-06,62
261,37,3,221,2020-04-05 23:00:00,2020-04-05,16
245,25,1,219,2020-04-04 23:50:00,2020-04-04,27
218,19,1,198,2020-04-03 23:30:00,2020-04-03,24
194,15,1,178,2020-04-02 23:30:00,2020-04-02,4
190,9,1,180,2020-04-01 23:00:00,2020-04-01,11
179,7,1,171,2020-03-31 23:30:00,2020-03-31,11
168,6,1,161,2020-03-30 22:30:00,2020-03-30,3
165,4,1,160,2020-03-29 23:10:00,2020-03-29,64
101,3,0,98,2020-03-28 23:30:00,2020-03-28,0
101,3,0,98,2020-03-27 23:30:00,2020-03-27,5
96,3,0,93,2020-03-26 22:40:00,2020-03-26,16
80,3,0,77,2020-03-25 22:00:00,2020-03-25,7
73,2,0,71,2020-03-24 22:30:00,2020-03-24,48
25,2,0,23,2020-03-23 23:40:00,2020-03-23,11
14,1,0,13,2020-03-22 22:30:00,2020-03-22,0
14,1,0,13,2020-03-21 23:30:00,2020-03-21,5
9,1,0,8,2020-03-20 22:45:00,2020-03-20,0
9,1,0,8,2020-03-19 23:30:00,2020-03-19,0
9,1,0,8,2020-03-18 23:30:00,2020-03-18,5
4,0,0,4,2020-03-17 22:30:00,2020-03-17,0
4,0,0,4,2020-03-16 22:00:00,2020-03-16,0
4,0,0,4,2020-03-15 23:30:00,2020-03-15,2
2,0,0,2,2020-03-14 22:30:00,2020-03-14,1
1,0,0,1,2020-03-13 22:00:00,2020-03-13,0
1,0,0,1,2020-03-12 22:00:00,2020-03-12,0
1,0,0,1,2020-03-11 22:30:00,2020-03-11,1
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
