Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
223,27,6,190,2020-04-22 01:23:00,2020-04-22,0
223,27,6,190,2020-04-21 17:14:00,2020-04-21,27
196,27,5,164,2020-04-20 16:35:00,2020-04-20,23
173,25,5,143,2020-04-19 16:30:00,2020-04-19,10
163,25,5,133,2020-04-18 15:07:00,2020-04-18,20
143,25,5,113,2020-04-17 22:01:00,2020-04-17,18
125,21,5,99,2020-04-16 21:38:00,2020-04-16,20
105,21,5,79,2020-04-15 20:35:00,2020-04-15,32
73,19,4,50,2020-04-14 23:37:00,2020-04-14,1
72,16,4,52,2020-04-13 21:50:00,2020-04-13,3
69,13,4,52,2020-04-12 21:08:00,2020-04-12,4
65,13,4,48,2020-04-11 07:00:00,2020-04-11,0
65,13,4,48,2020-04-10 22:00:00,2020-04-10,2
63,13,4,46,2020-04-09 22:00:00,2020-04-09,0
63,10,4,49,2020-04-08 23:00:00,2020-04-08,0
63,9,3,51,2020-04-07 23:00:00,2020-04-07,4
59,8,3,48,2020-04-06 23:00:00,2020-04-06,1
58,8,3,47,2020-04-05 23:00:00,2020-04-05,3
55,7,3,45,2020-04-04 23:50:00,2020-04-04,2
53,7,3,43,2020-04-03 23:30:00,2020-04-03,6
47,2,3,42,2020-04-02 23:30:00,2020-04-02,3
44,2,3,39,2020-04-01 23:00:00,2020-04-01,6
38,2,2,34,2020-03-31 23:30:00,2020-03-31,2
36,2,1,33,2020-03-30 22:30:00,2020-03-30,4
32,2,1,29,2020-03-29 23:10:00,2020-03-29,0
32,2,1,29,2020-03-28 23:30:00,2020-03-28,2
30,2,1,27,2020-03-27 23:30:00,2020-03-27,4
26,2,1,23,2020-03-26 22:40:00,2020-03-26,0
26,2,1,23,2020-03-25 22:00:00,2020-03-25,1
25,2,1,22,2020-03-24 22:30:00,2020-03-24,6
19,2,1,16,2020-03-23 23:40:00,2020-03-23,0
19,2,1,16,2020-03-22 22:30:00,2020-03-22,0
19,2,1,16,2020-03-21 23:30:00,2020-03-21,0
19,2,1,16,2020-03-20 22:45:00,2020-03-20,4
15,2,1,12,2020-03-19 23:30:00,2020-03-19,0
15,2,1,12,2020-03-18 23:30:00,2020-03-18,2
13,2,0,11,2020-03-17 22:30:00,2020-03-17,-2
15,2,0,13,2020-03-16 22:00:00,2020-03-16,5
10,2,0,8,2020-03-15 23:30:00,2020-03-15,2
8,0,0,8,2020-03-14 22:30:00,2020-03-14,0
8,0,0,8,2020-03-13 22:00:00,2020-03-13,6
2,0,0,2,2020-03-12 22:00:00,2020-03-12,0
2,0,0,2,2020-03-11 22:30:00,2020-03-11,1
1,0,0,1,2020-03-10 23:00:00,2020-03-10,1
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
